(((Internet-of-Things) AND Internet of Things) AND Health)
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Heterogeneous Distributed Shared Memory for Lightweight Internet of Things Devices","B. Kim; S. Heo; G. Lee; S. Park; H. Kim; J. Kim","Pohang University of Science and Technology","IEEE Micro","20161202","2016","36","6","16","24","Despite the promising applicability of the Internet of Things (IoT), such as for home automation and health monitoring, it is laborious to develop an IoT application, because programmers should explicitly manipulate communication for shared data across heterogeneous distributed IoT devices. Recent proposals simplify the communication management with graphical views or language extensions but still require programmers to explicitly manage communication. To liberate programmers from explicit communication management, this article revisits heterogeneous distributed shared memory (HDSM) for IoT devices and proposes a compiler-runtime cooperative HDSM framework, called IoT-HDSM. The framework's compiler unifies heterogeneous memory layouts of different IoT devices, and the runtime system provides a shared memory view for the devices. To support lightweight devices that cannot execute the runtime, the compiler automatically inserts explicit communication instructions into the IoT application. Moreover, to efficiently control concurrent memory accesses without locks, the authors also propose a new annotation called the memory branch, which provides a memory snapshot for each device. This article describes the implementation of three IoT services with IoT-HDSM and shows that IoT-HDSM simplifies shared data management without harming QoS.","0272-1732;02721732","","10.1109/MM.2016.103","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7765242","Internet of Things;heterogeneous distributed shared memory;memory branch","Biomedical monitoring;Distributed processing;Heterogeneous networks;Home automation;Internet of things;Memory management;Runtime","Internet of Things;computer network management;concurrency control;distributed shared memory systems;program compilers","IoT-HDSM;communication management;compiler-runtime cooperative HDSM framework;concurrent memory access control;heterogeneous distributed shared memory;heterogeneous memory layouts;lightweight Internet of Things devices;memory branch;shared data management","","2","","","","","","Nov.-Dec. 2016","","IEEE","IEEE Journals & Magazines"
"Remote health monitoring system through IoT","A. M. Ghosh; D. Halder; S. K. A. Hossain","Computer Science and Engineering Discipline, Khulna University, Khulna, Bangladesh","2016 5th International Conference on Informatics, Electronics and Vision (ICIEV)","20161201","2016","","","921","926","Remote health caring of patients at home is increasing with the popularity of various nature of mobile devices that has developed to enable remotely caring. The cloud as well as IoT (Internet of Things) and the mobile technologies make it easier to monitor the patients health conditions by sharing the health information to health care teams such as doctors, nurses and specialists. However the guardians of the patients can be anxious about their patients when they are in work. By ensuring guidance awareness about the patients, it can bring more liability of the hospital management. We have demonstrated a health care system for hospital management to allow guardians along with doctors to remotely monitor health conditions of patients via internet. Remote monitoring and guidance awareness by sharing information in a authenticated manner are the main focus.","","Electronic:978-1-5090-1269-5; POD:978-1-5090-1270-1","10.1109/ICIEV.2016.7760135","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7760135","Arduino;Health Monitoring;IoT;Phidgets Sensors;e-Health Sensor","Hospitals;Internet;Monitoring;Temperature measurement;Temperature sensors","Internet;Internet of Things;cloud computing;health care;medical information systems;mobile computing;patient monitoring;telemedicine","Internet of Things;IoT;guidance awareness;health information sharing;hospital management;mobile devices;mobile technologies;remote health care;remote health monitoring system;remotely caring","","2","","","","","","13-14 May 2016","","IEEE","IEEE Conferences"
"Monitoring stress level parameters of frequent computer users","P. Wasnik; A. Jeyakumar","Electrical Engineering Department, Veermata Jijabai Technological Institute, Mumbai, India","2016 International Conference on Communication and Signal Processing (ICCSP)","20161124","2016","","","1753","1757","The Growth in computer technology in all the facets of the world, and life are growing to the point that everyone needs a computer to carry out their work in everyday life. While using the computer for long hours, little is cared about posture, resulting in body ache and some harmful everlasting effects on the body. Computer users can protect themselves from those health risks by implementing proper workplace design and good posture. Ergonomics is the science of designing the workplace, with respect to the capabilities and limitations of the worker. Computer vision syndrome is a term used specifically to describe vision related problems and the other symptoms caused by continuous computer use. Work stress also results in an increased risk for cardiovascular diseases. Remotely monitoring a patient's health condition is now easily possible with the use of sensors, actuators and mobile communication devices, combined together called as Internet of Things for Medical Devices. The Arduino Yun is a Microcontroller board having built-in Ethernet and Wi-Fi support and can be connected to a vast array of web-based Resource and services with the use of Temboo, a cloud-based platform with processes for APIs, databases, and more. The parameters considered under Ergonomic workspace like distance between user and computer, angle with which the computer screen should be positioned can be analysed using Ultrasonic and Accelerometer sensors; while pulse sensor to analyse heart rate under work pressure. The Microcontroller board processes the received sensor data and can alert the user through an SMS or mail to take certain precautionary measures if the desired threshold limit is not satisfied.","","CD:978-1-5090-0395-2; Electronic:978-1-5090-0396-9; POD:978-1-4673-8549-7","10.1109/ICCSP.2016.7754467","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7754467","Arduino Yun;Sensor;Temboo;Wi-Fi","Acoustics;Computers;IEEE 802.11 Standard;Microcontrollers;Sensors;Software;Stress","Internet of Things;accelerometers;cardiology;ergonomics;health care;medical computing;microcomputers;microcontrollers;patient monitoring;risk analysis;sensors;wireless LAN","Arduino Yun;Internet of Things;Temboo;Web-based Resource;WiFi support;accelerometer sensors;built-in ethernet;cardiovascular diseases;cloud-based platform;computer users;computer vision syndrome;ergonomics;health risks;medical devices;microcontroller board;patient health monitoring;stress level parameter monitoring;ultrasonic sensor","","1","","","","","","6-8 April 2016","","IEEE","IEEE Conferences"
"Implementation of E-health care system using web services and cloud computing","U. Dhanaliya; A. Devani","Electronics and Communication, Shantilal Shah Engineering College, Bhavnagar, Gujarat, India","2016 International Conference on Communication and Signal Processing (ICCSP)","20161124","2016","","","1034","1036","For economical, technological and social development of any country needs enhanced health care system. Development of health care system necessitates large no of manpower, especially when a patients needs continuous monitoring. Power of information and communication technology provided efficient and effective solution to health care system. Using Internet of Things (IoT) condition of a patient can be monitored and controlled remotely. In this paper we present E-Health care system by using cloud computing and web services. Use of cloud computing made remote monitoring and controlling possible. It provides automatic update of measured parameter of patient as well as it sends alert mail by using SMTP (Simple Mail Transfer Protocol).","","CD:978-1-5090-0395-2; Electronic:978-1-5090-0396-9; POD:978-1-4673-8549-7","10.1109/ICCSP.2016.7754306","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7754306","E-health care system;SMTP;cloud computing;monitoring and controlling","Biomedical monitoring;Blood pressure;Cloud computing;Medical services;Monitoring;Receivers;ZigBee","Internet of Things;Web services;cloud computing;electronic health records;electronic mail;health care;patient monitoring","Internet of Things;IoT;SMTP;Web services;cloud computing;e-health care system;patient monitoring;simple mail transfer protocol","","1","","","","","","6-8 April 2016","","IEEE","IEEE Conferences"
"Sensing as a service approach in health monitoring","G. Neagu; V. Florian; A. Stanciu; S. Preda","Department of Systems Engineering, National Institute for Research and Development in Informatics Bucharest, Romania","2016 15th RoEduNet Conference: Networking in Education and Research","20161124","2016","","","1","5","There is an obvious interest for the integration of the Internet of Things (IoT) with Cloud computing due to mutual benefits generated by the complementarities between these technologies. This interest is illustrated by a large variety of approaches and research and development projects in various IoT specific application domains. The paper provides an overview of Cloud-IoT approaches and specific emerging services enabled by this integration. Then the Sensing as a service model is introduced and current views on its functional configuration are outlined. The main architectural decisions in developing the IoT platform for health monitoring are shortly presented, since the platform is used for the implementation of this model into a project for chronic disease monitoring. Finally the paper details the model requirements in terms of main roles and operation rules to be considered for the next phases of project development.","","Electronic:978-1-5090-5398-8; POD:978-1-5090-5399-5","10.1109/RoEduNet.2016.7753240","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7753240","Cloud computing;Internet of Things;IoT platform;health monitoring;sensing as a service","","Internet of Things;cloud computing;diseases;health care;patient monitoring","Cloud-IoT approach;Internet of Things;IoT platform;IoT specific application domain;chronic disease monitoring;cloud computing;health monitoring;sensing as a service approach","","","","","","","","7-9 Sept. 2016","","IEEE","IEEE Conferences"
"A standalone wireless 6 degree-of-freedom motion sensing module and its applications in health care","W. Y. Lin; W. Z. Chou; M. Y. Lee","Department of Electrical Engineering, Chang Gung University, No. 259, Wen-Hwa 1st Rd., Kwei-Shan, Tao-Yuan, 333, Taiwan","2016 International Conference On Communication Problem-Solving (ICCP)","20161124","2016","","","1","2","A standalone wireless motion sensing module, which provides total of 6 Degree-of-Freedom (DoF) motion information with a 3-axis accelerometer, is presented in this paper. It is a BLEenabled Accelerometer-based Sensing In a Chip-packaging (BASIC) module with patented CORDIC-based tilting angle transformation algorithm implemented. As the results, the device provides not only the 3-axis acceleration data but also the 3-axis tilting angles wirelessly through BLE technology. It has the features of low cost, low energy, small form-factor, digitized information for easy system integration and standalone battery operation with wireless data communication capability. Hence, it is suitable for a wide variety of applications, such as Internet of Things (IoT), electro-mechanical equipment in industry, consumer electronic products, express delivery, and especially on health care applications.","","Electronic:978-1-5090-1383-8; POD:978-1-5090-1384-5","10.1109/ICCPS.2016.7751116","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7751116","","Accelerometers;Medical services;Monitoring;Robot sensing systems;Wireless communication;Wireless sensor networks","acceleration measurement;accelerometers;biomedical transducers;electronics packaging;health care;motion measurement;transforms;wireless sensor networks","3-axis accelerometer;BASIC module;BLE-enabled accelerometer-based sensing in a chip-packaging module;Bluetooth low energy technology;DoF;Internet of Things;IoT;consumer electronic product;electromechanical equipment;express delivery;health care application;patented CORDIC-based tilting angle transformation algorithm;wireless 6 degree-of-freedom motion sensing module;wireless data communication capability","","","","","","","","7-9 Sept. 2016","","IEEE","IEEE Conferences"
"Health 4.0: The case of multiple sclerosis","N. Grigoriadis; C. Bakirtzis; C. Politis; K. Danas; C. Thuemmler","B' Dept. of Neurology and the Multiple Sclerosis Center, AHEPA University Hospital, Faculty of Medicine, Aristotle, University of Thessaloniki, Thessaloniki, Central. Macedonia, Greece","2016 IEEE 18th International Conference on e-Health Networking, Applications and Services (Healthcom)","20161121","2016","","","1","5","Multiple sclerosis is a chronic and variable disease in matters of symptoms, clinical course and outcome. The ultimate goal of currently used drugs and therapeutic strategies is the control of disease activity and the delay of the ongoing disability. During the last decades, a number of disease-modifying drugs (DMDs), all products of advanced biotechnology are being used. However, these DMDs are yet partially effective since the ongoing disability progression may hardly be prevented. There is growing evidence that these DMDs might be more effective if more accurate monitoring of the disease itself throughout a period of time might be available. In the new era of MS treatment and on the basis of our current knowledge about MS management, it became pretty clear that the overall therapeutic strategy should always be scheduled on strictly individualized basis. To this, MS patients should be encouraged to take control over their own disease and collaborate more effectively with their doctors. The advent of the IoT (Internet of Things) and 5G mobile technologies can support patients in this direction. Since a snapshot of the overall patient's condition during a regular follow-up visit may not represent the every day reality of the patient, the advice given under these conditions may not be that effective. However, if hard data on the patient's motoric and cognitive performance were available “theragnostics” might be much more effective and efficient and a typical flare-up of the condition might be recognized much earlier - or even anticipated. Health 4.0 is the translation of Industrie 4.0 design principles into the health domain [36]. Health 4.0 is based on the utilization of the Internet of Things (IoT) and the use of cyber-physical systems to connect the physical and the virtual world. The use of smart pharmaceuticals bio-sensors and cyber-physical systems in the management of MS could optimize the accuracy and allow for a preci- e mapping of symptoms over time which is an inevitable prerequisite for personalization of care. Ideally captured data would be processed in real time in order to flag problems up to the care team and on an individual basis anticipate motoric and / or cognitive deficits in an attempt to compensate for neurological deficits. 5G networks are expected to provide the infrastructure and ease in supporting various parameters recording on a real time basis. Relevant clinical studies may further highlight the need of information communication technology in MS management, thus contributing to the overall improvement of patent's quality of life (QoL). This is an absolute necessity for a variable, fluctuating and largely unpredictable disease such as MS.","","Electronic:978-1-5090-3370-6; POD:978-1-5090-3371-3","10.1109/HealthCom.2016.7749437","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7749437","5G networks;Cyber-physical systems;Health 4.0;Individualized Medicine;IoT;Multiple Sclerosis;Smart pharmaceuticals;Theragnostics;e/m-Health","","5G mobile communication;Internet of Things;biotechnology;cognition;cyber-physical systems;diseases;health care;neurophysiology;patient monitoring;patient treatment","(DMDs);5G mobile technologies;5G networks;Health 4.0:;Internet of Things;IoT;MS management;MS patients;MS treatment;QoL;advanced biotechnology;cyber-physical systems;disability progression;disease monitoring;disease- modifying drugs;neurological deficits;overall therapeutic strategy;patient cognitive performance;patient motoric performance;quality-of-life;smart pharmaceuticals bio-sensors","","","","","","","","14-16 Sept. 2016","","IEEE","IEEE Conferences"
"A new approach towards IoT by using health care-IoT and food distribution IoT","S. Bhushan; B. Bohara; P. Kumar; V. Sharma","CSE Department","2016 2nd International Conference on Advances in Computing, Communication, & Automation (ICACCA) (Fall)","20161121","2016","","","1","7","Many areas of today's living standard are covered by global sensing techniques using wireless sensor network approaches. It is the network that consist physical objects embedded with software, sensors, electronics. It provides connectivity that is used to enable things to exchange data with the manufacturer and other operator device which is based on the international global standards. It creates the capability to compute, conclude and understand environmental measure, from elegant ecologies. We can create IoT by distributing the work of devices in the communicating network. Using this approach we can get the way to combine actuators and sensing devices in a smooth way and common operating picture (COP) are developed by sharing information over the platforms. In this paper we show the vision, provocation, possible usage scenarios and the steps to build the Internet of Things. IP stacks and web servers technological developments are used for smart every day objects. This paper describes how IOT can be implemented in the realistic way to invoke the vision. The contents which we can use in IOT can come into picture from a big area of devices such as heart monitoring implants, biochip transponders, electric clams in coastal water automobiles with the help of built in sensors among them. If we want to develop a fully integrated future internet then IOT is steeped out by enable and using the technologies which is based on wireless such as RFID tokens and attached from nodes of actuator and sensing devices. If we talk about the present scenario then the present generation of technology of the Internet-of-Things (IoT) offers two applications Distribution of Food hierarchy and Healthcare to involve human health and well-being. These two applications show the technologies and architectures of the IoT and to solve the problems arisen in the wireless sensor network architectures and the architectures to integrate the system. At the system level, we have improved integration o- distributed devices and their technologies; we also have EIS and integration of information in architectures such as prediction of shelf life and real time distribution hierarchy for food distribution IOT and distribution of health care at home.","","Electronic:978-1-5090-3480-2; POD:978-1-5090-3481-9","10.1109/ICACCAF.2016.7748955","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7748955","FSC;IHH;IOS;IOT;WSN","","Internet of Things;health care;telecommunication computing;wireless sensor networks","COP;EIS;Internet-of-Things;IoT;common operating picture;food distribution;global sensing techniques;health care;international global standards;wireless sensor network approaches","","1","","","","","","Sept. 30 2016-Oct. 1 2016","","IEEE","IEEE Conferences"
"IoT modelling and runtime suite for e-Health","P. Stelmach; L. Falas; G. Kasiukiewicz; P. Kwaénicka; P. Światek","Dept. of Computer Science and Management, Wroclaw University of Science and Technology, Wroclaw, Poland","2016 IEEE 18th International Conference on e-Health Networking, Applications and Services (Healthcom)","20161121","2016","","","1","5","E-Health services are a topic of many Internet of Things (IoT) related research. In this paper a model-centric platform for Internet of Things and e-Health scenarios is presented. Multiple e-Health scenarios showcase the ability of the platform to model, support configuration and gathering data at runtime for multiple use cases at the same time, often with option to share Tools for creating metamodels, ontologies and IoT and service repositories are presented and their role in the proposed IoT platform discussed.","","Electronic:978-1-5090-3370-6; POD:978-1-5090-3371-3","10.1109/HealthCom.2016.7749433","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7749433","Internet of Things;IoT;SaaS;Software as a Service;modelling;ontology;services","Data models;Internet of Things;Mobile communication;Ontologies;Sensors;Training;Unified modeling language","Internet of Things;data handling;health care;medical computing;ontologies (artificial intelligence)","Internet of Things;IoT modelling;e-health;model centric platform;ontologies;service repositories;support configuration","","","","","","","","14-16 Sept. 2016","","IEEE","IEEE Conferences"
"A low cost georeferenced air-pollution measurement system used as early warning tool","D. Marquez-Viloria; J. S. Botero-Valencia; J. Villegas-Ceballos","Grupo AEyCC, Facultad de Ingenier&#x00ED;as, Instituto Tecnol&#x00F3;gico Metropolitano ITM, Carrera 31 No. 54-10, Medell&#x00ED;n, Colombia","2016 XXI Symposium on Signal Processing, Images and Artificial Vision (STSIVA)","20161117","2016","","","1","6","The consequences of the exploitation of natural resources are evident in the current bad environmental conditions. For this reason, governments have implemented realtime environmental measurement systems and they have applied strategies focused to restrict the physical activities and avoid futures health problem. Even, in critical cases, the governments take measures to stop the movement of motor vehicles when the threshold of World Health Organization (WHO) is exceeded. The governmental measurement systems are limited because of high cost and they are typically located in big cities with few points of measure losing a lot of information in the uncovered areas. This work presents the development and implementation of a low cost georeferenced air-pollution measurement system that offers information of particulate measurement PM1, PM2.5 y PM10 by scatter. In addition, the system measures the levels of ozone concentration, and atmospheric variables such as temperature, humidity and barometric pressure. The whole system is connected to a low cost microprocessor with integrated Wi-Fi allowing to send the data to the cloud in real-time using MQTTprotocol, and thus the data can be georeferenced and published on an open access platform, used to the Internet of Things (IoT), for the acquisition and visualization of the data. In this way, the information is public and the residents of a particular area can look for the nearest measure of the environmental conditions. This work proposes a simple and cheap way to implement a measurement system allowing it to be easily replicated. The consequences for the health because of exposition to pollutants are serious, it implies a public policy issues with direct effect in the economy and development of cities. Because of all this, the air-pollution measurement systems should be improved and available in many more points. Governments can make public policy decisions about the environment using the information from systems like the prop- sed in this work.","","Electronic:978-1-5090-3797-1; POD:978-1-5090-3798-8","10.1109/STSIVA.2016.7743366","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7743366","","Atmospheric measurements;Monitoring;Particle measurements;Pollution measurement;Temperature measurement;Temperature sensors","Internet of Things;air pollution measurement;alarm systems;cloud computing;data acquisition;data visualisation;electronic publishing;environmental management;government policies;health and safety;measurement systems;microcomputers;mobile computing;ozone;telemetry;wireless LAN","Internet of Things;IoT;MQTT protocol;WHO;Wi-Fi integration;World Health Organization;atmospheric variables;cloud;data acquisition;data georeferencing;data visualization;early warning tool;environmental conditions;governmental measurement systems;governments;health problem avoidance;low cost georeferenced air-pollution measurement system;low cost microprocessor;natural resource exploitation;open access platform publishing;ozone concentration level measurement;public information;public policy decisions;realtime environmental measurement systems","","","","","","","","Aug. 31 2016-Sept. 2 2016","","IEEE","IEEE Conferences"
"State of the art of technology in the food sector value chain towards the IoT","L. Ramundo; M. Taisch; S. Terzi","Department of Management, Economics and Industrial Engineering, Politecnico di Milano, via Lambruschini 4/B, 20156 Milan, Italy","2016 IEEE 2nd International Forum on Research and Technologies for Society and Industry Leveraging a better tomorrow (RTSI)","20161114","2016","","","1","6","The food sector is challenged to provide safe and qualitative food to consumers at affordable price and to feed appropriately increasing population using natural resources, like soil and water, in a sustainable way. Consumers awareness about food origin, nutritional and wellness properties, attention to processed meals ingredients, due to health issues, and requests of new customized portions formats and receipts, related to habits changes, are also demanding trends in the sector. Several technologies can help to address those responsibilities of efficient, safe and environmental respectful production, and strict communication and connection with the consumers. This paper provides a state of the art of smart and other emerging technologies framed in the whole food supply-chain, to create a picture of the added value that the technology can bring to the sector. Moreover, the evolutions towards the Internet of Things (IoT) paradigm adoption are presented.","","Electronic:978-1-5090-1131-5; POD:978-1-5090-1132-2","10.1109/RTSI.2016.7740612","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7740612","3D printing;IoT;additive manufacturing;food safety;food sector;precision agriculture;smart farming;smart packaging;smart technologies;supply-chain integration;traceability;virtualization","Agriculture;Business;Monitoring;Packaging;Production;Safety","Internet of Things;food safety;production engineering computing;supply chain management","Internet of Things;IoT;food safety;food sector value chain;food supply chain","","","","","","","","7-9 Sept. 2016","","IEEE","IEEE Conferences"
"Parallel processing of IoT health care applications","K. N. Devi; R. Muthuselvi","Dept. of Computer Science and Technology, KCET, Virudhunagar, India","2016 10th International Conference on Intelligent Systems and Control (ISCO)","20161103","2016","","","1","6","Health care is the hardest real time constrained domain. Queuing system, Delay in treatment, Difficult to treat rural people, Disability to do remote treatment are the major issues in current health care system. Internet of Things (IoT) allows caring of people from remote locations with the help of integration of wireless sensor network with internet. Different sensors are used to measure different health parameters. Processing of smart health care data in an efficient manner is necessary. Slight time variation causes severe effect such as loss of life. In IoT, delay occur in processing large volume of sensor data in real time. Energy spent by the sensors also affected by processing delay. Because sensors spent energy in idle state. To reduce delay in processing smart health care data, Multi core technology is included with IoT. SixLoWPAN is the technique used to connect low configured devices with internet. In this paper, Task Level Parallelism (TLP) is applied to process different health parameters in parallel. TLP utilizes the available resources in optimal way. It makes our system as more efficient. The proposed system improves performance upto 65.5%. Efficient system also reduces power consumption of the devices. This will increase the life time of the sensor network.","","","10.1109/ISCO.2016.7727039","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7727039","IoT;Multi core;SixloWPAN;Smart Healthcare;WSN","","Internet of Things;health care;parallel processing;power aware computing;queueing theory;wireless sensor networks","Internet of Things;IoT health care applications;SixLoWPAN;TLP;multicore technology;parallel processing;power consumption reduction;queuing system;remote locations;smart health care data;task level parallelism;treatment delay;wireless sensor network integration","","1","","","","","","7-8 Jan. 2016","","IEEE","IEEE Conferences"
"An IoT based patient monitoring system using raspberry Pi","R. Kumar; M. P. Rajasekaran","Department of Electronics and Communication Engineering, Kalasalingam University, Tamilnadu, India","2016 International Conference on Computing Technologies and Intelligent Data Engineering (ICCTIDE'16)","20161031","2016","","","1","4","In the recent development of, Internet of Things (IoT) makes all objects interconnected and it has been recognized as the next technical revolution. Some of the applications of Internet of Things are smart parking, smart home, smart city, smart environment, industrial places, agriculture fields and health monitoring process. One such application is in healthcare to monitor the patient health status Internet of Things makes medical equipments more efficient by allowing real time monitoring of patient health, in which sensor acquire data of patient's and reduces the human error. In Internet of Things patient's parameters get transmitted through medical devices via a gateway, where it is stored and analyzed. The significant challenges in the implementation of Internet of Things for healthcare applications is monitoring all patient's from various places. Thus Internet o Things in the medical field brings out the solution for effective patient monitoring at reduced cost and also reduces the trade-off between patient outcome and disease management. In this paper discuss about, monitoring patient's body temperature, respiration rate, heart beat and body movement using Raspberry Pi board.","","","10.1109/ICCTIDE.2016.7725378","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7725378","Accelerometer sensor;Heartbeat sensor;Internet of Things;Raspberry Pi board;Respiration sensor;Temperature sensor","","Internet of Things;health care;medical computing;patient monitoring","Internet of Things;IoT based patient monitoring system;Raspberry Pi board;disease management;health care;health monitoring process;patient body movement monitoring;patient body temperature monitoring;patient health monitoring;patient heart beat monitoring;patient respiration rate monitoring","","2","","","","","","7-9 Jan. 2016","","IEEE","IEEE Conferences"
"Smart home system based on Internet of Things","H. Verma; M. Jain; K. Goel; A. Vikram; G. Verma","Department of Electronics & Communication, Jaypee Institute of Information Technology, A-10, Sector-62, Noida (U.P.)-India","2016 3rd International Conference on Computing for Sustainable Global Development (INDIACom)","20161031","2016","","","2073","2075","Varity of appliances have been presented in a house with the development of social economy and rapid increase in the needs of the people. There is a problem in the management and control of these appliances so as to meet the comfort, health and security at home. To overcome this problem a smart control based system has been proposed. When we talk about Internet of things (IoT), there are large numbers of distinct devices which are connected throughout different systems. These systems provide open platform to all digital devices accessing data from such systems. So, it becomes quite difficult to design such a system for IoT which can handle large classification of devices and also technologies like link layer associated to it. To connect such a sophisticated network on IoT one need to have central server (server could be created over Wi-Fi network) which can facilitate all smart phones, tablets and other digital devices.","","","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7724631","AT mega controllers;Arduino;Home automation;IoT;Relay circuits;Wi-Fi shield","Conferences;Decision support systems;Handheld computers;Zirconium","Internet of Things;home computing","Internet of Things;IoT;smart home system","","","","","","","","16-18 March 2016","","IEEE","IEEE Conferences"
"Predicting proximity with ambient mobile sensors for non-invasive health diagnostics","S. O. Orimaye; F. C. Leong; C. H. Lee; E. C. H. Ng","Intelligent Health Research Group, School of Information Technology, Monash University, Malaysia","2015 IEEE 12th Malaysia International Conference on Communications (MICC)","20161031","2015","","","6","11","Modern smart phones are becoming helpful in the areas of Internet-Of-Things (IoT) and ambient health intelligence. By learning data from several mobile sensors, we detect nearness of the human body to a mobile device in a three-dimensional space with no physical contact with the device for non-invasive health diagnostics. We show that the human body generates wave patterns that interact with other naturally occurring ambient signals that could be measured by mobile sensors, such as, temperature, humidity, magnetic field, acceleration, gravity, and light. This interaction consequentially alters the patterns of the naturally occurring signals, and thus, exhibits characteristics that could be learned to predict the nearness of the human body to a mobile device, hence provide diagnostic information for medical practitioners. Our prediction technique achieved 88.75% accuracy and 88.3% specificity.","","","10.1109/MICC.2015.7725398","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7725398","","Acceleration;Magnetic sensors;Mobile communication;Mobile handsets;Performance evaluation;Temperature sensors","patient diagnosis;sensors;smart phones","3D space;Internet of Things;acceleration;ambient health intelligence;ambient mobile sensor;ambient signal;diagnostic information;gravity;human body;humidity;light;magnetic field;mobile device;noninvasive health diagnostics;physical contact;smart phone;temperature;wave pattern","","","","","","","","23-25 Nov. 2015","","IEEE","IEEE Conferences"
"Potential applications of IoT-based product lifecycle energy management","Y. Wang; M. Zhang; Y. Zuo","School of Computer and Communication Engineering, Northeastern University at Qinhuangdao, Qinhuangdao, China","2016 IEEE 11th Conference on Industrial Electronics and Applications (ICIEA)","20161024","2016","","","1999","2002","As a new emerging and fast growing technology, Internet of Things (loT) has been widely applied in many areas, such as health care, intelligent transportation and agriculture. However, in manufacturing, the IoT-based product lifecycle energy management (PLEM), which is still at its infant stage, has not caught enough attention yet. In order to better promote the development in this field, the framework and the potential applications of IoT-based PLEM are put forward in this paper, which aims at providing a roadmap to direct and guide the related research works in the future.","","","10.1109/ICIEA.2016.7603917","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7603917","Internet of Things(IoT);manufacturing;potential applications;product lifecycle energy management (PLEM)","","Internet of Things;energy consumption;energy management systems;product life cycle management;production engineering computing","Internet of Things;IoT-based PLEM;IoT-based product lifecycle energy management;manufacturing","","","","","","","","5-7 June 2016","","IEEE","IEEE Conferences"
"Air quality and health effects — How can wireless sensor networks contribute? A critical review","P. Breitegger; A. Bergmann","Institute of Electronic Sensor Systems, Graz, University of Technology, Graz, Austria","2016 International Conference on Broadband Communications for Next Generation Networks and Multimedia Applications (CoBCom)","20161020","2016","","","1","8","Also in western countries, air pollution is a big health risk, additionally resulting in huge economic damage. At present, air pollution is mainly monitored with highly accurate equipment but at extremely low spatial resolution. Overcoming the disadvantage of the low spatial resolution, and building a wireless network of sensors, can open doors to new applications, both to better understand the sources and the health effects of air pollution. We review selected state-of-the-art projects to supply the reader with an overview over current applications that were enabled by the use of new sensors, wireless sensor networks (WSNWs) and information technology. We will critically asses the spatial and temporal resolution, the sensor accuracy and the results. We will show that the crucial step, that is still to be done, is the development of dependable sensors. This can enable the breakthrough of existing applications. By introducing intelligent nodes, the capabilities of the Internet of Things (IoT) can trigger new use cases. We will conclude with an outlook on our future work, by presenting novel applications to better protect citizens from the adverse health effects of air pollution and to better understand those effects. We will show that these applications require dependable sensors and WSNWs.","","","10.1109/COBCOM.2016.7593507","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7593507","","Absorption;Air pollution;Atmospheric measurements;Monitoring;Pollution measurement;Spatial resolution;Wireless sensor networks","air pollution;air quality;atmospheric measuring apparatus;atmospheric techniques;remote sensing;wireless sensor networks","WSNW;air pollution;air quality;economic damage;health risk;information technology;intelligent node;internet-of-thing;sensor accuracy;spatial resolution;state-of-the-art projects;western countries;wireless sensor networks;wireless sensors, network","","","","","","","","14-16 Sept. 2016","","IEEE","IEEE Conferences"
