(((Internet-of-Things) AND Internet of Things) AND Healthcare)
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Hidden Markov model and Internet of Things hybrid driven smart hospital","D. Seth; D. Chakraborty","Electronics and Communication Engineering, Future Institute of Engineering and Management, Kolkata, India","2017 8th International Conference on Computing, Communication and Networking Technologies (ICCCNT)","20171214","2017","","","1","7","Based on the advancements in pervasive healthcare our perception of healthcare is changing quite fast. For any standard existing Hospital Information System (HIS) there are several major problems that hinders automation like, fixed information point or inflexible networking mode. In our paper, Internet of Things (IOT) based platform has been used for a better automation and faster decision making related executions in the smart hospital. Hidden Markov Models (HMM) offers scope for better predictive analysis for its dynamic probabilistic nature and helped us developing a dense sensing approach based on traces of activities in a hospital. A need-based HMM-IOT hybrid has been used for the smart hospital scheme proposed here, and it continuously synchronizes itself with the current spectral analysis data of the bio-signals of the admitted patients acquired by non-invasive processes like Electroencephalogram, Electromyogram, Electrocardiogram etc. The results of the experimentation are really promising.","","Electronic:978-1-5090-3038-5; POD:978-1-5090-3039-2","10.1109/ICCCNT.2017.8204069","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8204069","Hidden Markov Models;Hospital Information System;Internet of Things;Smart hospitals;Spectral Analysis","Electroencephalography;Electromyography;Hidden Markov models;Hospitals;Internet of Things;Synchronization","Internet of Things;hidden Markov models;hospitals;medical information systems;probability","HMM-IOT hybrid;Hospital Information System;Internet of Things;current spectral analysis data;dynamic probabilistic nature;hidden Markov model;hybrid driven smart hospital;predictive analysis","","","","","","","","3-5 July 2017","","IEEE","IEEE Conferences"
"Design of Secure User Authenticated Key Management Protocol for Generic IoT Networks","M. Wazid; A. K. Das; V. Odelu; N. Kumar; M. Conti; M. Jo","Center for Security, Theory and Algorithmic Research, International Institute of Information Technology, Hyderabad 500 032, India.","IEEE Internet of Things Journal","","2017","PP","99","1","1","In recent years, the research in generic Internet of Things (IoT) attracts a lot of practical applications including smart home, smart city, smart grid, industrial internet, connected healthcare, smart retail, smart supply chain and smart farming. The hierarchical IoT network (HIoTN) is a special kind of the generic IoT network, which is composed of the different nodes such as the gateway node, cluster head nodes and sensing nodes organized in a hierarchy In HIoTN, there is a need where a user can directly access the real-time data from the sensing nodes for a particular application in generic IoT networking environment. This paper emphasizes on the design of a new secure lightweight three-factor remote user authentication scheme for HIoTNs, called the user authenticated key management protocol (UAKMP). The three factors used in UAKMP are the user smart card, password and personal biometrics. The security of the scheme is thoroughly analyzed under the formal security in the widely-accepted Real-Or-Random (ROR) model, the informal security as well as the formal security verification using the widely-accepted AVISPA (Automated Validation of Internet Security Protocols and Applications) tool. UAKMP offers several functionality features including offline sensing node registration, freely password and biometric update facility, user anonymity and sensing node anonymity compared to other related existing schemes. In addition, UAKMP is also comparable in computation and communication costs as compared to other existing schemes.","","","10.1109/JIOT.2017.2780232","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8168328","AVISPA simulation.;Generic IoT network;authentication;hierarchical IoT network;key management;security","Authentication;Internet of Things;Protocols;Sensors;Wireless sensor networks","","","","","","","","","20171206","","","IEEE","IEEE Early Access Articles"
"Highly secure and efficient architectural model for iot based health care systems","P. K. Binu; K. Thomas; N. P. Varghese","Dept of Computer Science and Applications Amrita School of Engineering, Amritapuri Amrita Vishwa Vidyapeetham Amrita University India","2017 International Conference on Advances in Computing, Communications and Informatics (ICACCI)","20171204","2017","","","487","493","Internet of Things (IoT) can be perceived as enabling user-specific interoperable communication services by integration of sensing and actuation technologies with other leading technologies, such as telecommunication, networking, security and cloud computing etc. Application of the ubiquitous IoT technologies to augment healthcare systems inadvertently exposes the latter to unpredictable, disruptive cyber-attacks. Information and communication security is of utmost important as medical devices or sensors deployed to monitor and collect personal medical data are highly vulnerable to malicious hacker attacks. Moreover, compliance with industry standards and government regulations mandate security and privacy protection of health and medical information. In this paper we introduce a smart gateway which safeguards the entire system using modified Host Identity Protocol Diet EXchange (HIP-DEX) key exchange protocol and a new key exchange scheme based on Low Energy Adaptive Clustering Hierarchy (LEACH) routing protocol. Our proposed IoT based healthcare framework is designed to provide end-to-end privacy and protection from security breaches.","","Electronic:978-1-5090-6367-3; POD:978-1-5090-6368-0; USB:978-1-5090-6366-6","10.1109/ICACCI.2017.8125887","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8125887","Android;Arduino;Bluemix Cloud;Host Identity Protocol Diet Exchange;Internet of things;Leach","Cloud computing;Logic gates;Medical services;Monitoring;Protocols;Security;Sensors","Internet of Things;cryptographic protocols;data privacy;health care;medical information systems;routing protocols","Host Identity Protocol Diet EXchange key exchange protocol;IoT based healthcare framework;Low Energy Adaptive Clustering Hierarchy routing protocol;communication security;enabling user-specific interoperable communication services;end-to-end privacy;healthcare systems;industry standards;iot based health care systems;malicious hacker attacks;medical devices;medical information;personal medical data;privacy protection;security breaches;ubiquitous IoT technologies","","","","","","","","13-16 Sept. 2017","","IEEE","IEEE Conferences"
"Identifying Technology Advancements and Their Linkages in the Field of Robotics Research","T. Kose; I. Sakata","Dept. of Technol. Manage. of Innovation, Univ. of Tokyo, Tokyo, Japan","2017 Portland International Conference on Management of Engineering and Technology (PICMET)","20171130","2017","","","1","10","Robots have been developed and merged various sophisticated technologies such as mechanical engineering, control systems, electronics, and software for about half a century, and have played a significant role on automation of manufacturing industries and substantial improvement of productivity. Artificial Intelligence (AI) has also been developed rapidly and is expected to apply to various fields including robot technologies. The recent rapid advancement of information and communication technology (ICT) and emergence of the Internet of Things and Artificial Intelligence (AI), are expected to make robots more intelligent as well as more autonomous, and to contribute to healthcare, construction, logistics, agriculture, and other service sectors. The purpose of this paper is to detect trends of technology advancements and their linkages between the field of robotics research and that of AI, and to identify main areas where Robot has contributed to scientific sectors, and has put impacts on by applying a citation network analysis.","","Electronic:978-1-890843-36-6; POD:978-1-5386-2915-4","10.23919/PICMET.2017.8125283","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8125283","","Artificial intelligence;Biomedical imaging;Couplings;Market research;STEM;Service robots","citation analysis;health care;intelligent robots;mobile robots","AI;Artificial Intelligence;Internet of Things;citation network analysis;control systems;information and communication technology;mechanical engineering;robot technologies;robotics research;scientific sectors;technology advancements","","","","","","","","9-13 July 2017","","IEEE","IEEE Conferences"
"Developing Disruptive Innovations for Sustainability: A Review on Impact of Internet of Things (IOT)","M. Nasiri; N. Tura; V. Ojanen","Sch. of Bus. & Manage., Lappeenranta Univ. of Technol., Lappeenranta, Finland","2017 Portland International Conference on Management of Engineering and Technology (PICMET)","20171130","2017","","","1","10","Demands towards sustainable choices in business operations are increasing and more influential solutions are required. This means changes and development of innovations that allow the creation of new markets and value networks by combining new set of sustainability -driven values- finding disruptive innovations for sustainability. Increased digitalization is seen to provide multiple value creation mechanisms and possibilities by enhancing the more effective use of resources. The emergence of IOT (Internet of Things) has connected objects (e.g. physical devices, buildings and vehicles) to existing network of information. IOT can work as a trigger for creation of new markets and value networks by connecting existing information, networked economies and societies together in a new way. Expectations towards IOT solutions are high and they are expected to revolutionize the business markets by promoting the emergence of disruptive innovations for sustainability e.g. in healthcare and transportation solutions, smart cities, intelligent energy services and circular economy. The study focuses on reviewing the impact of IOT in developing these innovations aiming to foster disruptive sustainable change.","","Electronic:978-1-890843-36-6; POD:978-1-5386-2915-4","10.23919/PICMET.2017.8125369","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8125369","","Biological system modeling;Companies;Industries;Internet of Things;Sustainable development;Technological innovation","Internet of Things;business data processing;innovation management;sustainable development","IOT solutions;Internet of Things;business markets;business operations;connecting existing information;disruptive innovations;disruptive sustainable change;healthcare;increased digitalization;influential solutions;multiple value creation mechanisms;networked economies;societies;sustainability;transportation solutions","","","","","","","","9-13 July 2017","","IEEE","IEEE Conferences"
"Graphene oxide — Nylon ECG sensors for wearable IoT healthcare","N. G. Hallfors; M. A. Jaoude; K. Liao; M. Ismail; A. F. Isakovic","Khalifa University of Science and Technology, Abu Dhabi, UAE 127788","2017 Sensors Networks Smart and Emerging Technologies (SENSET)","20171130","2017","","","1","4","The Internet of Things (IoT) presents opportunities to address a variety of systemic, metabolic healthcare issues. Cardiovascular disease and diabetes are among the greatest contributors to premature death worldwide. Wireless wearable continuous monitoring systems (CMS) such as ECG sensors connected to the Internet of Things can greatly decrease the risk of death related to cardiac issues by providing valuable long-term information to physicians, as well as immediate contact with emergency services in the event of a heart attack or stroke. In this report we discuss the fabrication, characterization and validation of composite fabric ECG sensors made from Nylon coated with reduced graphene oxide (rGO<sub>x</sub>) as part of a self-powered wearable IoT sensor. We utilize an electronic probing station to measure electrical properties, take live ECG data to measure signal reliability, and provide detailed surface characterization through scanning electron microscopy (SEM). Finally, bonding between the layers of the composite and between composite and the Nylon is analyzed by Fourier transform Infrared (FTIR) spectroscopy.","","Electronic:978-1-5090-6011-5; POD:978-1-5090-6012-2","10.1109/SENSET.2017.8125034","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8125034","Conductive Fabric;ECG Sensor;IoT Sensors;Reduced Graphene Oxide","Coatings;Diabetes;Electrocardiography;Electrodes;Fabrics;Graphene;Sensors","Fourier transform infrared spectra;Internet of Things;biomedical electronics;biomedical telemetry;body sensor networks;cardiovascular system;diseases;electrocardiography;graphene;health care;nanocomposites;nanofabrication;nanomedicine;nanosensors;patient monitoring;scanning electron microscopy","FTIR spectroscopy;Fourier transform infrared spectroscopy;Internet of Things;composite fabric ECG sensors;diabetes;electronic probing station;emergency services;graphene oxide-Nylon ECG sensors;heart attack;live ECG data;reduced graphene oxide;scanning electron microscopy;self-powered wearable IoT sensor;wearable IoT healthcare;wireless wearable continuous monitoring systems","","","","","","","","12-14 Sept. 2017","","IEEE","IEEE Conferences"
"A novel deployment of smart Cold Chain system using 2G-RFID-Sys temperature monitoring in medicine Cold Chain based on Internet of Things","S. Monteleone; M. Sampaio; R. F. Maia","School of Industrial Engineering, Centro Universit&#x00E1;rio FEI, S&#x00E3;o Bernardo do Campo (S&#x00E3;o Paulo), Brazil","2017 IEEE International Conference on Service Operations and Logistics, and Informatics (SOLI)","20171130","2017","","","205","210","Temperature monitoring of medicines is essential for product quality and patient safety. Product quality is influenced by temperature perturbations and time delays in interventions. Thanks to Internet of Things (IoT) considerable progress has been made in recent years in the improvement of temperature monitoring devices. However, temperature monitoring in medicine Cold Chain remains challenging. In this paper it is presented a conceptual model aiming at overcoming challenges of medicine Cold Chain related to temperature monitoring. The major particularity of our model is that it considers the complete Cold Chain according to two perspectives of pharmaceutical and healthcare industries in a single study. Besides this model can be applied also in vaccine Cold Chain and in temperature-controlled logistics of laboratory medicine. Our conceptual model supports the development of a smart Cold Chain system for temperature monitoring based on IoT. Our smart Cold Chain system can be used to improve Cold Chain responsiveness by studying weaknesses and deciding what Cold Chain characteristics to improve.","","Electronic:978-1-5090-5847-1; POD:978-1-5090-5848-8; USB:978-1-5090-5846-4","10.1109/SOLI.2017.8120995","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8120995","2G-RFID-Sys;Cold Chain;Conceptual model;IoT;Medicine;Temperature monitoring","Monitoring;Pharmaceuticals;Radiofrequency identification;Temperature;Temperature measurement;Temperature sensors;Wireless sensor networks","Internet of Things;cold storage;computerised monitoring;health care;logistics;pharmaceutical industry;radiofrequency identification;supply chain management","2G-RFID-Sys temperature monitoring;Internet of Things;cold chain characteristics;cold chain responsiveness;conceptual model;healthcare industries;medicine Cold Chain;pharmaceutica industries;product quality;smart cold chain system;temperature monitoring devices;temperature perturbations;temperature-controlled logistics;vaccine Cold Chain","","","","","","","","18-20 Sept. 2017","","IEEE","IEEE Conferences"
"Smartphone-Powered Electrochemical Biosensing Dongle for Emerging Medical IoTs Application","J. Guo","School of Electronic Engineering, niversity of Electronic Science and Technology of China, Chengdu, Sichuan China 611731 (e-mail: guojinhong@uestc.edu.cn)","IEEE Transactions on Industrial Informatics","","2017","PP","99","1","1","Nowadays, the market of healthcare is experiencing a rapid growth and is believed to be dramatically massive due to the upcoming global aging. The medical internet of things (IoTs) is endowed with expectation to fulfil the rigid demand, which requires the all kinds of digital medical devices linked and accessed to the internet to acquire all the parameters related to the personalized health, such as medical images, biochemical and biophysical parameters. The acquisition and transmission of the tremendous amount of biomedical information required high bandwidth and fast speed. The next generation communication technology-5G is capable of providing the suitable information infrastructure for the emerging IoTs application. The ubiquitous smartphone is the best information transfer station and considered as the point of personalized medical data acquisition. In this manuscript, we presented a medical dongle powered by the smartphone as a miniaturized electrochemical analyzer for blood glucose and uric acid monitoring. The family doctor can access the related biomedical information of his patient and give the precise, personalized and preventive healthcare consults. In addition, the accuracy and reliability of the proposed system were verified with good agreement as compared to the bulky biochemical analyzer in clinical use. In the emerging medical IoTs application, the proposed system is significantly promising solution since it united the biosensors, internet communication, information processing and family doctor together to provide the completed health care for each user.","1551-3203;15513203","","10.1109/TII.2017.2777145","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8119541","5G health care;Smartphone;electrochemical biosensor;medical internet of things","Blood;Computer peripherals;Medical diagnostic imaging;Medical services;Strips;Sugar","","","","","","","","","20171123","","","IEEE","IEEE Early Access Articles"
"IoTA: IoT automated SIP-based emergency call triggering system for general eHealth purposes","F. Andriopoulou; T. Orphanoudakis; T. Dagiuklas","School of Science and Technology, Hellenic Open University, Patras, 26335, Greece","2017 IEEE 13th International Conference on Wireless and Mobile Computing, Networking and Communications (WiMob)","20171123","2017","","","362","369","The expansion of Internet of Things (IoT) and the evolution in communication technologies have enabled homes, cars even whole cities to be network connected. However, during an emergency incident, IoT devices have not been used to trigger emergency calls directly to healthcare providers mainly due to their constrained capabilities and lack of support session-oriented communications. Moreover, emergency services are currently offered by public safety stakeholders that do not support call triggering by IoT devices. This paper proposes IoTA framework which enables IoT devices to generate automatically emergency calls and support bi-directional communication sessions between healthcare providers and end users. The IoTA framework incorporates intelligent algorithms for processing and evaluating emergency events from various devices and performs emergency calls immediately after the occurrence of an event. The healthcare providers can interact with the IoTA framework requesting continuous real-time sensor data. A prototype implementation and initial evaluation results are presented as a proof of concept for people suffering from diverse chronic diseases. Experimental results have shown that the proposed framework can be considered as a promising solution for detecting, reporting emergency events, eliminating the hoax calls and responding swiftly saving lives.","","Electronic:978-1-5386-3839-2; POD:978-1-5386-3840-8; USB:978-1-5386-3838-5","10.1109/WiMOB.2017.8115830","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8115830","IP communication session;Internet of Things;IoT;SIP based calls;eHealth;emergency calls;seizure;sensor devices","Conferences;Emergency services;Medical services;Monitoring;Real-time systems;Wireless communication;Wireless sensor networks","Internet;Internet of Things;diseases;emergency services;health care","IoT automated SIP;IoT devices;IoTA framework;automatically emergency calls;bi-directional communication sessions;communication technologies;emergency call triggering system;emergency events;emergency incident;emergency services;general eHealth;healthcare providers;public safety stakeholders;support session-oriented communications","","","","","","","","9-11 Oct. 2017","","IEEE","IEEE Conferences"
"A Review of Ultra-Low-Power and Low-Cost Transceiver Design","T. Schumacher; M. Stadelmayer; T. Faseth; H. Pretl","Inst. for Integrated Circuits, Johannes Kepler Univ., Linz, Austria","2017 Austrochip Workshop on Microelectronics (Austrochip)","20171120","2017","","","29","34","This paper reviews trends for ultra-low-power wireless transceiver system and integrated circuit design under the perspective of using cost-effective CMOS technology nodes. These efficient transceiver structures typically find application in devices such as fitness monitors and other wearable healthcare devices, Internet of Things (IoT) devices and generic sensor nodes. A brief overview of State-of-the-Art (SoA) architectures, techniques, and performance metrics of ultra-low-power transmitter and receiver structures is presented. The often conflicting demands of communication range, data rate, reliability, and energy consumption are examined and a typical case study of a transceiver for medical sensor nodes is presented.","","Electronic:978-1-5386-3583-4; POD:978-1-5386-3584-1","10.1109/Austrochip.2017.15","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8114744","link budget;low-cost;transceiver;ultra-low-power;wireless architectures","Frequency shift keying;Oscillators;Power demand;Receivers;Sensitivity;Transceivers;Transmitters","CMOS integrated circuits;integrated circuit design;low-power electronics;radio transceivers","cost-effective CMOS technology nodes;integrated circuit design;low-cost transceiver design;medical sensor nodes;receiver structures;state-of-the-art architectures;transceiver structures;ultra-low-power transmitter;ultra-low-power wireless transceiver system","","","","","","","","12-12 Oct. 2017","","IEEE","IEEE Conferences"
"Study of Internet-of-Things Messaging Protocols Used for Exchanging Data with External Sources","A. Chaudhary; S. K. Peddoju; K. Kadarla","Dept. of Comput. Sci. & Eng., Indian Inst. of Technol. Roorkee, Roorkee, India","2017 IEEE 14th International Conference on Mobile Ad Hoc and Sensor Systems (MASS)","20171116","2017","","","666","671","Internet-of-Things (IoT) is emerging as one of the popular technologies influencing every aspect of human life. The IoT devices equipped with sensors are changing every domain of the world to become smarter. In particular, the majorly benifited service sectors are agriculture, industries, healthcare, control & automation, retail & logistics, and power & energy. The data generated in these areas is massive requiring bigger storage and stronger compute. On the other hand, the IoT devices are limited in processing and storage capabilities and can not store and process the sensed data locally. Hence, there is a dire need to integrate these devices with the external data sources for effective utilisation and assessment of the collected data. Several existing well-known message exchange protocols like Message Queuing Telemetry Transport (MQTT), Advanced Message Queuing Protocol (AMQP), and Constrained Application Protocol (CoAP) are applicable in IoT communications. However, a thorough study is required to understand their impact and suitability in IoT scenario for the exchange of information between external data sources and IoT devices. In this paper, we designed and implemented an application layer framework to test and understand the behavior of these protocols and conducted the experiments on a realistic test bed using wired, wifi and 2/3/4G networks. The results revealed that MQTT and AMQP perform well on wired and wireless connections whereas CoAP performs consistently well and is less network dependent. On the lossy networks, CoAP generates low traffic as compared to MQTT and AMQP. The low memory footprint of MQTT and CoAP has made them a better choice over AMQP.","","Electronic:978-1-5386-2324-4; POD:978-1-5386-2325-1; USB:978-1-5386-2323-7","10.1109/MASS.2017.85","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8108818","AMQP;Application Layer Protocols;COAP;Internet of Things;IoT;IoT Protocols;IoT applications;MQTT;MQTT-SN","Bandwidth;Cloud computing;Monitoring;Performance evaluation;Protocols;Servers;Telemetry","Internet of Things;protocols","2/3/4G networks;AMQP;Advanced Message Queuing Protocol;CoAP;Constrained Application Protocol;Internet-of-Things messaging protocols;IoT communications;IoT devices;MQTT;Message Queuing Telemetry Transport;Wi-Fi network;application layer framework;data collection;external data sources;message exchange protocols;sensors;wired network","","","","","","","","22-25 Oct. 2017","","IEEE","IEEE Conferences"
"Fundamentals of the extremely green, flexible, and profitable 5G M2M ubiquitous communications for remote e-healthcare and other social e-Applications","A. Markhasin","Department of Telecommunication Networks, Siberian Telecommunications University, Novosibirsk, Russia","2017 International Multi-Conference on Engineering, Computer and Information Sciences (SIBIRCON)","20171116","2017","","","292","297","The revolutionary trend of the up-to-date medicine can be formulated as wide introduction into basic medicine fields of electronic (e-health) and mobile (m-health) healthcare services and information applications. Unfortunately, all list of qualified m/e-healthcare services can be provided cost-effectively only in urban areas very good covered by broadband 4G/5G wireless communications. Unacceptably high investments are required into deployment of the optic core infrastructure for ubiquitous wide covering of sparsely populated rural, remote, and difficult for access (RRD) areas using the recent (4G) and forthcoming (5G) broadband radio access (RAN) centralized techniques, characterized by short cells ranges, because their profitability boundary exceeds several hundred residents per square km. Furthermore, the unprecedented requirements and new features of the forthcoming Internet of Things (IoT), machine-to-machine (M2M), and many other machine type IT-systems lead to a breakthrough in designing extremely green, flexible, and cost-effective technologies for future 5G wireless systems which will be able to reach in real time the performance extremums, tradeoff optimums and fundamental limits. This paper examines the 5G PHY-MAC fundamentals and extremely approaches to creation of the profitable ubiquitous remote e/m-health services and telemedicine as the main innovation technology of popular healthcare and other social e-Applications for RRD territories. Proposed approaches lean on summarizing and develop the results of our previous works on RRD-adapted profitable ubiquitous green 4G/5G wireless multifunctional technologies.","","CD:978-1-5386-1595-9; Electronic:978-1-5386-1596-6; POD:978-1-5386-1597-3","10.1109/SIBIRCON.2017.8109891","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8109891","5G M2M;e/m-Healthcare;extremely;flexible;green;profitable;remote;rural;social e/m-Applications;ubiquitous","","4G mobile communication;5G mobile communication;Internet of Things;broadband networks;health care;machine-to-machine communication;medical computing;mobile computing;radio access networks;telemedicine","5G M2M ubiquitous communications;5G PHY-MAC fundamentals;5G broadband radio access centralized techniques;Internet of Things;RRD areas;cost-effective technologies;e-health;electronic healthcare services;future 5G wireless systems;information applications;machine type IT-systems;machine-to-machine;mobile healthcare services;optic core infrastructure;popular healthcare;profitability boundary;profitable ubiquitous green 4G/5G wireless multifunctional technologies;profitable ubiquitous remote e/m-health services;remote e-healthcare;rural remote and difficult to access areas;social e-Applications;telemedicine;up-to-date medicine","","","","","","","","18-22 Sept. 2017","","IEEE","IEEE Conferences"
"A Simulation Study of Response Times in Cloud Environment for IoT-Based Healthcare Workloads","K. Kadarla; S. C. Sharma; T. Bhardwaj; A. Chaudhary","Dept. of Comput. Sci. & Eng., Indian Inst. of Technol. Roorkee, Roorkee, India","2017 IEEE 14th International Conference on Mobile Ad Hoc and Sensor Systems (MASS)","20171116","2017","","","678","683","Internet-of-Things (IoT) is revolutionizing the healthcare by providing high-quality services, lowering the costs, and increasing the efficiency of management by allowing the physical objects to integrate with computer systems to collect the sensed data and process as per the need. Healthcare industries will also get benefited due to reduced investments and management, automated services, better disease diagnosis/analysis, and minimum operations and maintenance. Wireless Body Area Network (WBAN), an element of IoT, enables several sensor nodes attached to a body that generates enormous volumes of healthcare data over the period of a patient. In life-critical pervasive healthcare applications, the data rates from the WBAN is unpredictable, requiring uneven resources in short time intervals to provide qualitative services. Cloud is abundant with pooled resources ready to meet such unpredictable workloads and rapidly deployable to handle massive amounts of data. This paper presents a mechanism that assesses the default resource allocation strategy regarding its response time in simulated IoT healthcare workloads which will raise irregular requirements of the resources from the cloud to handle massive amounts of data. Several experiments are conducted to study the optimal virtual machine allocation to meet the irregular resource requirements from cloud to suit to WBAN, the IoT scenario. Finally, the paper concludes with the reported results.","","Electronic:978-1-5386-2324-4; POD:978-1-5386-2325-1; USB:978-1-5386-2323-7","10.1109/MASS.2017.65","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8108820","Cloud Computing;Healthcare;Internet-of-Things;IoT;Response Time;Uneven Workloads;Virtual Resource Allocation;Wireless Body Area Network;Wireless Sensor Networks","Cloud computing;Heart rate;Medical services;Resource management;Temperature measurement;Time factors;Wireless communication","Internet of Things;body area networks;cloud computing;health care;resource allocation;virtual machines;wireless sensor networks","IoT scenario;WBAN;Wireless Body Area Network;automated services;cloud environment;computer systems;data rates;default resource allocation strategy;disease diagnosis/analysis;healthcare data;healthcare industries;high-quality services;internet-of-Things;life-critical pervasive healthcare applications;physical objects;response time;sensed data;sensor nodes;simulated IoT healthcare workloads","","","","","","","","22-25 Oct. 2017","","IEEE","IEEE Conferences"
"On mobile personalized healthcare services for human involvement into prevention, therapy, mutual support, and social rehabilitation","D. G. Korzun; A. Y. Meigal; A. V. Borodin; L. I. Gerasimova-Meigal","Petrozavodsk State University (PetrSU), Petrozavodsk, Russia","2017 International Multi-Conference on Engineering, Computer and Information Sciences (SIBIRCON)","20171116","2017","","","276","281","Many digital healthcare services now follow the cybermedicine approach. The Internet is used to deliver such services as medical consultations, diagnosis, and prescriptions. Mobile services provide end-users (patients) with online and personalized access to consultations and treatment with other end-users (medical professionals). Services become social, taking into account the activity of patients and their collaborative work (in participation with medical professionals and other interested parties). In this paper, we discuss the opportunities that Internet of Things (IoT) provides to the cybermedicine development. Parkinson's disease (PD) serves as a case study, which we use to motivate the effective IoT use for human involvement into healthcare processes such as disease progress prevention, therapy, people mutual support, and social patient rehabilitation. We define several research problems for developing new models, algorithms, and methods within overlapping domains of healthcare, data engineering, and IoT technology.","","CD:978-1-5386-1595-9; Electronic:978-1-5386-1596-6; POD:978-1-5386-1597-3","10.1109/SIBIRCON.2017.8109888","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8109888","","Diseases;Internet;Medical diagnostic imaging;Medical treatment;Mobile communication;Psychology","Internet of Things;diseases;groupware;health care;medical computing;mobile computing;patient rehabilitation;telemedicine","Internet of Things;IoT;Parkinson's disease;collaborative work;cybermedicine approach;digital healthcare services;disease progress prevention;healthcare processes;human involvement;mobile personalized healthcare services;mutual support;social patient rehabilitation;therapy","","","","","","","","18-22 Sept. 2017","","IEEE","IEEE Conferences"
"Security and Privacy in the Internet of Medical Things: Taxonomy and Risk Assessment","F. Alsubaei; A. Abuhussein; S. Shiva","Comput. Sci. Dept., Univ. of Memphis, Memphis, TN, USA","2017 IEEE 42nd Conference on Local Computer Networks Workshops (LCN Workshops)","20171116","2017","","","112","120","As the number of devices (things) connected to the Internet (Internet of things: IoT) is growing, achieving robust security and privacy (S&P) is becoming increasingly challenging. With the heavy use of medical things (MT), the S&P in the medical domain poses a serious issue that continues to grow. Due to the criticality and sensitivity of the data in the healthcare domain, ensuring the S&P of the Internet of medical things (IoMT) makes matters even more problematic. Lack of proper S&P in IoMT will not only leave patients' privacy at risk but may also put patients' lives at risk. In this paper, we provide a taxonomy of the S&P issues of IoMT. We also provide an approach to quantify IoMT risks and demonstrate how to assess risks in two IoMT devices. This work aims to increase the S&P awareness among IoMT stakeholders by enabling them to identify and quantify potential IoMT S&P risks.","","Electronic:978-1-5090-6584-4; POD:978-1-5090-6585-1; USB:978-1-5090-6583-7","10.1109/LCN.Workshops.2017.72","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8110212","Internet of medical things;IoMT;IoT;Sensors;healthcare;privacy;risk assessment;security;security metrics.;taxonomy","Biomedical monitoring;Medical services;Monitoring;Security;Temperature measurement;Temperature sensors","Internet of Things;data privacy;health care;medical computing;risk management;security of data","Internet of Medical Things;IoMT risks;S&P issues;health care;medical domain;patient privacy;risk assessment;security;taxonomy","","","","","","","","9-9 Oct. 2017","","IEEE","IEEE Conferences"
