Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Legal/Regulatory Issues for MMBD in IoT","Multimedia Big Data Computing for IoT Applications","","","","10.1007/978-981-13-8759-3_14","Prateek PandeyRatnesh Litoriya","2020","http://link.springer.com/chapter/10.1007/978-981-13-8759-3_14","Chapter"
"Becoming Smart","Sustainable Urbanism in Digital Transitions","","","","10.1007/978-3-030-25947-1_4","Dr. Mary J. ThornbushOleg Golubchikov","2020","http://link.springer.com/chapter/10.1007/978-3-030-25947-1_4","Chapter"
"From Smart City to Smart Engagement: Exploring Digital and Physical Interactions for Playful City-Making","Making Smart Cities More Playable","","","","10.1007/978-981-13-9765-3_6","Joel Fredericks","2020","http://link.springer.com/chapter/10.1007/978-981-13-9765-3_6","Chapter"
"A Secured Architecture for IoT Healthcare System","Proceeding of the International Conference on Computer Networks, Big Data and IoT (ICCBI - 2018)","","","","10.1007/978-3-030-24643-3_106","A. Vithya VijayalakshmiL. Arockiam","2020","http://link.springer.com/chapter/10.1007/978-3-030-24643-3_106","Chapter"
"Real-Time Low-Cost Active and Assisted Living for the Elderly","Ambient Intelligence – Software and Applications –,10th International Symposium on Ambient Intelligence","","","","10.1007/978-3-030-24097-4_19","António Henrique AlmeidaIvo SantosJoel RodriguesLuis FrazãoJosé RibeiroFernando SilvaAntónio Pereira","2020","http://link.springer.com/chapter/10.1007/978-3-030-24097-4_19","Chapter"
"The Convenient City: Smart Urbanism for a Resilient City","Data-driven Multivalence in the Built Environment","","","","10.1007/978-3-030-12180-8_2","Rob Roggema","2020","http://link.springer.com/chapter/10.1007/978-3-030-12180-8_2","Chapter"
"IoT Cloud Platform Based on Asynchronous Processing for Reliable Multi-user Health Monitoring","Complex, Intelligent, and Software Intensive Systems","","","","10.1007/978-3-030-22354-0_29","Nur Hakim ArifNico Surantha","2020","http://link.springer.com/chapter/10.1007/978-3-030-22354-0_29","Chapter"
"Smart Cities Applications of Blockchain","Smart Cities in Application","","","","10.1007/978-3-030-19396-6_6","Joe MoormanMichael Stricklen","2020","http://link.springer.com/chapter/10.1007/978-3-030-19396-6_6","Chapter"
"Life at Ease with Technologies-Study on Smart Home Technologies","Intelligent Communication Technologies and Virtual Mobile Networks","","","","10.1007/978-3-030-28364-3_52","M. S. MeghanaK. PavithraS. SahanaN. ShubhaK. Panimozhi","2020","http://link.springer.com/chapter/10.1007/978-3-030-28364-3_52","Chapter"
"Intelligent Fall Detection with Wearable IoT","Complex, Intelligent, and Software Intensive Systems","","","","10.1007/978-3-030-22354-0_35","Farhad AhamedSeyed ShahrestaniHon Cheung","2020","http://link.springer.com/chapter/10.1007/978-3-030-22354-0_35","Chapter"
"Grey Smart Societies: Supporting the Social Inclusion of Older Adults by Smart Spatial Design","Data-driven Multivalence in the Built Environment","","","","10.1007/978-3-030-12180-8_8","Nienke MoorMasi Mohammadi","2020","http://link.springer.com/chapter/10.1007/978-3-030-12180-8_8","Chapter"
"Computational Intelligence for Simulating a LiDAR Sensor","Sensor Systems Simulations","","","","10.1007/978-3-030-16577-2_5","Fernando CastañoGerardo BeruvidesAlberto VillalongaRodolfo E. Haber","2020","http://link.springer.com/chapter/10.1007/978-3-030-16577-2_5","Chapter"
"A Review on IOT Based Health Care Monitoring System","ICCCE 2019","","","","10.1007/978-981-13-8715-9_12","Pravin KshirsagarAkshay PoteK. K. PaliwalVaibhav HendrePranav ChippalkattiNikhil Dhabekar","2020","http://link.springer.com/chapter/10.1007/978-981-13-8715-9_12","Chapter"
"Responsive Infrastructure and Service Provision Initiatives Framing Smart Environment Attainment in Nairobi","Smart Environment for Smart Cities","","","","10.1007/978-981-13-6822-6_11","Romanus O. OpiyoSilas M. MukethaWilfred O. OmolloDennis Mwaniki","2020","http://link.springer.com/chapter/10.1007/978-981-13-6822-6_11","Chapter"
"Cloud Service for Edge Configuration in Home-Based Healthcare Context","Proceedings of the 8th International Conference on Sciences of Electronics, Technologies of Information and Telecommunications (SETIT’18), Vol.2","","","","10.1007/978-3-030-21009-0_42","Imen Ben IdaAbderrazak Jemai","2020","http://link.springer.com/chapter/10.1007/978-3-030-21009-0_42","Chapter"
"A Study of Vehicular Parking Systems","ICICCT 2019 – System Reliability, Quality Control, Safety, Maintenance and Management","","","","10.1007/978-981-13-8461-5_23","Srishti NeneShivani MundleSakshi MahajanSamrudhi YeginwarLeena Panchal","2020","http://link.springer.com/chapter/10.1007/978-981-13-8461-5_23","Chapter"
"The Sustainable Playable City: Making Way for the Playful Citizen","Making Smart Cities More Playable","","","","10.1007/978-981-13-9765-3_5","Miriam Börjesson RiveraTina RingensonDaniel Pargman","2020","http://link.springer.com/chapter/10.1007/978-981-13-9765-3_5","Chapter"
"Design and Implementation of Cloud Service System Based on Face Recognition","Complex, Intelligent, and Software Intensive Systems","","","","10.1007/978-3-030-22354-0_56","Hao WuHe XuPeng Li","2020","http://link.springer.com/chapter/10.1007/978-3-030-22354-0_56","Chapter"
"Evaluation of User Preference Criteria on Smart Technologies for Smart Buildings","Intelligent and Fuzzy Techniques in Big Data Analytics and Decision Making","","","","10.1007/978-3-030-23756-1_85","Irem Ucal SariDoruk Karlikaya","2020","http://link.springer.com/chapter/10.1007/978-3-030-23756-1_85","Chapter"
"Alexa/Google Home Forensics","Digital Forensic Education","","","","10.1007/978-3-030-23547-5_7","Sean TristanShally SharmaRobert Gonzalez","2020","http://link.springer.com/chapter/10.1007/978-3-030-23547-5_7","Chapter"
"Smart and Pervasive Health Systems—Challenges, Trends, and Future Directions","Advances in Information and Communication","","","","10.1007/978-3-030-12388-8_29","Ramesh Rajagopalan","2020","http://link.springer.com/chapter/10.1007/978-3-030-12388-8_29","Chapter"
"D-CARE: A Non-invasive Glucose Measuring Technique for Monitoring Diabetes Patients","Proceedings of International Joint Conference on Computational Intelligence","","","","10.1007/978-981-13-7564-4_38","Md. Mahbub AlamSwapnil SahaProshib SahaFernaz Narin NurNazmun Nessa MoonAsif KarimSami Azam","2020","http://link.springer.com/chapter/10.1007/978-981-13-7564-4_38","Chapter"
"Meaningful Age-Friendly Design. Case Studies on Enabling Assistive Technology","Advances in Usability and User Experience","","","","10.1007/978-3-030-19135-1_76","Matteo ZallioDamon BerryLarry J. Leifer","2020","http://link.springer.com/chapter/10.1007/978-3-030-19135-1_76","Chapter"
"Green Buildings in Makassar, Indonesia","Green Building in Developing Countries","","","","10.1007/978-3-030-24650-1_6","Felix Kin Peng HuiPutri Fatkhiyatul UlyaSally WilsonAnna MeyliawatiLu Aye","2020","http://link.springer.com/chapter/10.1007/978-3-030-24650-1_6","Chapter"
"An Intelligent Children Healthcare System by Using Ensemble Technique","Proceedings of International Joint Conference on Computational Intelligence","","","","10.1007/978-981-13-7564-4_12","Nishargo NigarLinkon Chowdhury","2020","http://link.springer.com/chapter/10.1007/978-981-13-7564-4_12","Chapter"
"Smart Ageing: Are We Succeeding?","CMBEBIH 2019","","","","10.1007/978-3-030-17971-7_58","Jasmina Baraković HusićSabina BarakovićEnida Cero Dinarević","2020","http://link.springer.com/chapter/10.1007/978-3-030-17971-7_58","Chapter"
"Space Technology Drivers of Change","Disruptive Space Technologies and Innovations","","","","10.1007/978-3-030-22188-1_5","Scott Madry","2020","http://link.springer.com/chapter/10.1007/978-3-030-22188-1_5","Chapter"
"From Smart Concept to User Experience Practice a Synthetic Model of Reviewed and Organized Issues to Conceive Qualified Interactions","Advances in Information and Communication","","","","10.1007/978-3-030-12388-8_25","Cristina Caramelo Gomes","2020","http://link.springer.com/chapter/10.1007/978-3-030-12388-8_25","Chapter"
"Disability and Home Automation: Insights and Challenges Within Organizational Settings","Exploring Digital Ecosystems","","","","10.1007/978-3-030-23665-6_5","Luisa VarrialePaola BrigantiStefania Mele","2020","http://link.springer.com/chapter/10.1007/978-3-030-23665-6_5","Chapter"
"Smart Environment for Smart and Sustainable Hong Kong","Smart Environment for Smart Cities","","","","10.1007/978-981-13-6822-6_2","Sujata S. GovadaTimothy RodgersLeon ChengHillary Chung","2020","http://link.springer.com/chapter/10.1007/978-981-13-6822-6_2","Chapter"
"Bluetooth Tracking Approach for User Assistance Based in Sequential Patterns Analysis","Human Systems Engineering and Design II","","","","10.1007/978-3-030-27928-8_10","Aitor Arribas VelascoJohn McGroryDamon Berry","2020","http://link.springer.com/chapter/10.1007/978-3-030-27928-8_10","Chapter"
"A Survey on Accessible Context-Aware Systems","Technological Trends in Improved Mobility of the Visually Impaired","","","","10.1007/978-3-030-16450-8_2","Iyad Abu DoushIssam DamajMohammed Azmi Al-BetarMohammed A. AwadallahRa’ed M. Al-khatibAlaa Eddin AlchalabiAsaju L. Bolaji","2020","http://link.springer.com/chapter/10.1007/978-3-030-16450-8_2","Chapter"
"Smart Urban Green Spaces for Smart Chandigarh","Smart Environment for Smart Cities","","","","10.1007/978-981-13-6822-6_4","Prabh BediMahavirNeha Goel Tripathi","2020","http://link.springer.com/chapter/10.1007/978-981-13-6822-6_4","Chapter"
"ICT, Data and Design Issues","Technological Paradigms and Digital Eras","","","","10.1007/978-3-030-26199-3_1","Giacomo Chiesa","2020","http://link.springer.com/chapter/10.1007/978-3-030-26199-3_1","Chapter"
"Digital Support in Logistics of Home-Care Nurses for Disabled and Elderly People","Human Interaction and Emerging Technologies","","","","10.1007/978-3-030-25629-6_87","Karin ReinholdPiia TintAda TraumannPiret TammeViiu TuulikSilja-Riin Voolma","2020","http://link.springer.com/chapter/10.1007/978-3-030-25629-6_87","Chapter"
"Introduction to Digital Ecosystem","Exploring Digital Ecosystems","","","","10.1007/978-3-030-23665-6_1","Alessandra LazazzaraFrancesca RicciardiStefano Za","2020","http://link.springer.com/chapter/10.1007/978-3-030-23665-6_1","Chapter"
"Social Dimensions of the Internet Economy","The Internet Society in China","","","","10.1007/978-981-13-8237-6_1","Jianmin WangChunjin Wang","2020","http://link.springer.com/chapter/10.1007/978-981-13-8237-6_1","Chapter"
"Quantum Inspired High Dimensional Conceptual Space as KID Model for Elderly Assistance","Intelligent Systems Design and Applications","","","","10.1007/978-3-030-16660-1_10","M. S. IshwaryaCh. Aswani Kumar","2020","http://link.springer.com/chapter/10.1007/978-3-030-16660-1_10","Chapter"
"Talker Quality in Interactive Scenarios","Talker Quality in Human and Machine Interaction","","","","10.1007/978-3-030-22769-2_3","Benjamin Weiss","2020","http://link.springer.com/chapter/10.1007/978-3-030-22769-2_3","Chapter"
"The Usability of Interactive Interfaces Design of Intelligent Household Appliances: Take Smart Sweeping Robots as an Example","Advances in Usability and User Experience","","","","10.1007/978-3-030-19135-1_29","Na LinTong ShenChaoyi Zhao","2020","http://link.springer.com/chapter/10.1007/978-3-030-19135-1_29","Chapter"
"New Urban Agenda in Asia-Pacific: Governance for Sustainable and Inclusive Cities","New Urban Agenda in Asia-Pacific","","","","10.1007/978-981-13-6709-0_1","Bharat DahiyaAshok Das","2020","http://link.springer.com/chapter/10.1007/978-981-13-6709-0_1","Chapter"
"Comprehensive Survey on Detection of Living or Dead Humans and Animals Using Different Approaches","Proceeding of the International Conference on Computer Networks, Big Data and IoT (ICCBI - 2018)","","","","10.1007/978-3-030-24643-3_10","C. A. PoojaP. VamshikaRithika B. JainVishal K. JainH. T. Chethana","2020","http://link.springer.com/chapter/10.1007/978-3-030-24643-3_10","Chapter"
"GEST-DC: Unifying Transportation and Air Quality Information in an mHealth Application","Advances in Usability and User Experience","","","","10.1007/978-3-030-19135-1_38","Vivian Genaro MottiNiloofar KalantariPattiya MahapasuthanonHui Zheng","2020","http://link.springer.com/chapter/10.1007/978-3-030-19135-1_38","Chapter"
"Interactive Narrative Design for Geographically Dispersed Points of Interest","Making Smart Cities More Playable","","","","10.1007/978-981-13-9765-3_12","Tonguc SezenIdo IurgelNicolas FischöderDigdem Sezen","2020","http://link.springer.com/chapter/10.1007/978-981-13-9765-3_12","Chapter"
"Advantages and Disadvantages of Automated Control Systems (ACS)","Digital Age: Chances, Challenges and Future","","","","10.1007/978-3-030-27015-5_50","M. VochozkaJ. HorákT. Krulický","2020","http://link.springer.com/chapter/10.1007/978-3-030-27015-5_50","Chapter"
"A Survey on Human Activity Recognition Based on Temporal Signals of Portable Inertial Sensors","The International Conference on Advanced Machine Learning Technologies and Applications (AMLTA2019)","","","","10.1007/978-3-030-14118-9_72","Reda ElbasionyWalid Gomaa","2020","http://link.springer.com/chapter/10.1007/978-3-030-14118-9_72","Chapter"
"Research on Human-Computer Interaction Design of Bed Rehabilitation Equipment for the Elderly","Advances in Ergonomics in Design","","","","10.1007/978-3-030-20227-9_25","Zhijuan ZhuWenzhen PanXin AiRenjun Zhen","2020","http://link.springer.com/chapter/10.1007/978-3-030-20227-9_25","Chapter"
"Active City for Healthy Ageing and Anti-globesity","Advances in Human Factors in Architecture, Sustainable Urban Planning and Infrastructure","","","","10.1007/978-3-030-20151-7_27","Cristiana CellucciMichele Di Sivo","2020","http://link.springer.com/chapter/10.1007/978-3-030-20151-7_27","Chapter"
"A Framework and Indicators of Resilience","Resilient Policies in Asian Cities","","","","10.1007/978-981-13-8600-8_1","Kenshi BabaYu NagataShun KawakuboMitsuru Tanaka","2020","http://link.springer.com/chapter/10.1007/978-981-13-8600-8_1","Chapter"
"Implementation of Traffic Priority Aware Medium Access Control Protocol for Wireless Body Area Networks","Design Frameworks for Wireless Networks","","","","10.1007/978-981-13-9574-1_16","Kanhu Charan GoudaSubhra Priyadarshini BiswalSourabh DebnathSagar Kumar Sahu","2020","http://link.springer.com/chapter/10.1007/978-981-13-9574-1_16","Chapter"
"Cloud Video Guidance as “Deus ex Machina” for the Visually Impaired","Technological Trends in Improved Mobility of the Visually Impaired","","","","10.1007/978-3-030-16450-8_6","Thanasis LoukopoulosMaria KoziriNatalia PanagouPanos K. PapadopoulosDimitris K. Iakovidis","2020","http://link.springer.com/chapter/10.1007/978-3-030-16450-8_6","Chapter"
"In Love and War with Service Robots: The Passionate Deployment, Challenges and National Policy Implications","RITA 2018","","","","10.1007/978-981-13-8323-6_30","Esyin Chew","2020","http://link.springer.com/chapter/10.1007/978-981-13-8323-6_30","Chapter"
"Entrepreneurship: Nation as a Context","Methodological Issues in Social Entrepreneurship Knowledge and Practice","","","","10.1007/978-981-13-9769-1_11","Archana SinghSatyajit Majumdar","2020","http://link.springer.com/chapter/10.1007/978-981-13-9769-1_11","Chapter"
"Prescribe and Monitor Physical Activity Through a Community-Based eHealth Program: MOVIDA Platform","CMBEBIH 2019","","","","10.1007/978-3-030-17971-7_3","Rui Fonseca-PintoRui RijoPedro AssunçãoMaria Alexandra SecoMaria P. GuarinoCátia Braga-PontesDulce GomesBruno CarreiraPedro CorreiaLuís OliveiraGabriel PiresCatarina LeitãoAlexandre AntunesFilipa JanuárioRicardo Martinho","2020","http://link.springer.com/chapter/10.1007/978-3-030-17971-7_3","Chapter"
