Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Building Self-adaptive Services for Ambient Assisted Living","Distributed Computing, Artificial Intelligence, Bioinformatics, Soft Computing, and Ambient Assisted Living","","","","10.1007/978-3-642-02481-8_112","Pau GinerCarlos CetinaJoan FonsVicente Pelechano","2009","http://link.springer.com/chapter/10.1007/978-3-642-02481-8_112","Chapter"
"Towards evolutionary ambient assisted living systems","Journal of Ambient Intelligence and Humanized Computing","","1","1","10.1007/s12652-009-0003-5","Michael J. O’GradyConor MuldoonMauro DragoneRichard TynanGregory M. P. O’Hare","2010","http://link.springer.com/article/10.1007/s12652-009-0003-5","Article"
"Service composition to support ambient assisted living solutions for the elderly","XII Mediterranean Conference on Medical and Biological Engineering and Computing 2010","","","","10.1007/978-3-642-13039-7_197","V. MoumtziC. WillsA. Koumpis","2010","http://link.springer.com/chapter/10.1007/978-3-642-13039-7_197","Chapter"
"Home Care Technologies for Ambient Assisted Living","11th Mediterranean Conference on Medical and Biomedical Engineering and Computing 2007","","","","10.1007/978-3-540-73044-6_101","Ratko Magjarevic","2007","http://link.springer.com/chapter/10.1007/978-3-540-73044-6_101","Chapter"
"IP Multimedia Subsystem Technology for Ambient Assisted Living","Ambient Assistive Health and Wellness Management in the Heart of the City","","","","10.1007/978-3-642-02868-7_36","Pedro Antonio MorenoMa. Elena HernandoAntoine de PoorterRuth PallaresEnrique J. Gómez","2009","http://link.springer.com/chapter/10.1007/978-3-642-02868-7_36","Chapter"
"Design and evaluation of an ambient assisted living system based on an argumentative multi-agent system","Personal and Ubiquitous Computing","","15","4","10.1007/s00779-010-0361-1","Andrés MuñozJuan Carlos AugustoAna VillaJuan Antonio Botía","2011","http://link.springer.com/article/10.1007/s00779-010-0361-1","Article"
"ElderCare: An Interactive TV-based Ambient Assisted Living Platform","Activity Recognition in Pervasive Intelligent Environments","","","","10.2991/978-94-91216-05-3_5","Diego López-de-IpiñaSergio BlancoXabier LaisecaIgnacio Díaz-de-Sarralde","2011","http://link.springer.com/chapter/10.2991/978-94-91216-05-3_5","Chapter"
"Formal Modeling Techniques for Ambient Assisted Living","Ageing International","","36","2","10.1007/s12126-010-9086-8","Guido ParenteChristopher D. NugentXin HongMark P. DonnellyLiming ChenEnrico Vicario","2011","http://link.springer.com/article/10.1007/s12126-010-9086-8","Article"
"A Smart Solution for Elders in Ambient Assisted Living","Bioinspired Applications in Artificial and Natural Computation","","","","10.1007/978-3-642-02267-8_11","Nayat Sánchez-PiJosé Manuel Molina","2009","http://link.springer.com/chapter/10.1007/978-3-642-02267-8_11","Chapter"
"Towards a Framework for the Development of Adaptive Multimodal User Interfaces for Ambient Assisted Living Environments","Universal Access in Human-Computer Interaction. Intelligent and Ubiquitous Interaction Environments","","","","10.1007/978-3-642-02710-9_18","Marco BlumendorfSahin Albayrak","2009","http://link.springer.com/chapter/10.1007/978-3-642-02710-9_18","Chapter"
"Taxonomy-Based Assessment of Personal Health Monitoring in Ambient Assisted Living","Ambient Assisted Living","","","","10.1007/978-3-642-27491-6_15","Gunnar Nußbeck","2012","http://link.springer.com/chapter/10.1007/978-3-642-27491-6_15","Chapter"
"The DFKI Competence Center for Ambient Assisted Living","Ambient Intelligence","","","","10.1007/978-3-642-16917-5_37","Jochen FreyChristoph StahlThomas RöferBernd Krieg-BrücknerJan Alexandersson","2010","http://link.springer.com/chapter/10.1007/978-3-642-16917-5_37","Chapter"
"A Non-intrusive Monitoring System for Ambient Assisted Living Service Delivery","Impact Analysis of Solutions for Chronic Disease Prevention and Management","","","","10.1007/978-3-642-30779-9_19","Willy AllègreThomas BurgerPascal BerruetJean-Yves Antoine","2012","http://link.springer.com/chapter/10.1007/978-3-642-30779-9_19","Chapter"
"Security System Technologies Applied to Ambient Assisted Living","Knowledge Management, Information Systems, E-Learning, and Sustainability Research","","","","10.1007/978-3-642-16318-0_46","Juan J. VillacortaLara del ValMa Isabel JimenezAlberto Izquierdo","2010","http://link.springer.com/chapter/10.1007/978-3-642-16318-0_46","Chapter"
"Service-Oriented Device Integration for Ubiquitous Ambient Assisted Living Environments","Distributed Computing, Artificial Intelligence, Bioinformatics, Soft Computing, and Ambient Assisted Living","","","","10.1007/978-3-642-02481-8_128","Javier Andréu PérezJuan Antonio ÁlvarezAlejandro Fernández-MontesJuan Antonio Ortega","2009","http://link.springer.com/chapter/10.1007/978-3-642-02481-8_128","Chapter"
"Useful Research Tools for Human Behaviour Understanding in the Context of Ambient Assisted Living","Ambient Intelligence - Software and Applications","","","","10.1007/978-3-642-28783-1_25","Pau Climent-PérezAlexandros Andre ChaaraouiFrancisco Flórez-Revuelta","2012","http://link.springer.com/chapter/10.1007/978-3-642-28783-1_25","Chapter"
"A Legal View of Ambient Assisted Living Developments","Trends in Practical Applications of Agents and Multiagent Systems","","","","10.1007/978-3-642-12433-4_74","J. P. PedrazaM. A. PatricioA. De AsísJ. M. Molina","2010","http://link.springer.com/chapter/10.1007/978-3-642-12433-4_74","Chapter"
"Variabilities of Wireless and Actuators Sensor Network Middleware for Ambient Assisted Living","Distributed Computing, Artificial Intelligence, Bioinformatics, Soft Computing, and Ambient Assisted Living","","","","10.1007/978-3-642-02481-8_129","Flávia C. DelicatoLidia FuentesNadia GámezPaulo F. Pires","2009","http://link.springer.com/chapter/10.1007/978-3-642-02481-8_129","Chapter"
"Benchmarking Results of Semantic Reasoners Applied to an Ambient Assisted Living Environment","Impact Analysis of Solutions for Chronic Disease Prevention and Management","","","","10.1007/978-3-642-30779-9_45","David AusínFederico CastanedoDiego López-de-Ipiña","2012","http://link.springer.com/chapter/10.1007/978-3-642-30779-9_45","Chapter"
"Informatics as Semiotics Engineering: Lessons Learned from Design, Development and Evaluation of Ambient Assisted Living Applications for Elderly People","Universal Access in Human-Computer Interaction. Context Diversity","","","","10.1007/978-3-642-21666-4_21","Andreas HolzingerGig SearleAndreas AuingerMartina Ziefle","2011","http://link.springer.com/chapter/10.1007/978-3-642-21666-4_21","Chapter"
"Relieved commissioning and human behavior detection in Ambient Assisted Living Systems","e & i Elektrotechnik und Informationstechnik","","129","4","10.1007/s00502-012-0015-2","Dietmar BrucknerGuo Qing YinArmin Faltinger","2012","http://link.springer.com/article/10.1007/s00502-012-0015-2","Article"
"Telecare and Social Link Solution for Ambient Assisted Living Using a Robot Companion with Visiophony","Innovations in Computing Sciences and Software Engineering","","","","10.1007/978-90-481-9112-3_39","Thibaut VarènePaul HillereauThierry Simonnet","2010","http://link.springer.com/chapter/10.1007/978-90-481-9112-3_39","Chapter"
"A Statistical-Relational Activity Recognition Framework for Ambient Assisted Living Systems","Ambient Intelligence and Future Trends-International Symposium on Ambient Intelligence (ISAmI 2010)","","","","10.1007/978-3-642-13268-1_34","Rim HelaouiMathias NiepertHeiner Stuckenschmidt","2010","http://link.springer.com/chapter/10.1007/978-3-642-13268-1_34","Chapter"
"Ambient Assisted Living","3rd Symposium of Ubiquitous Computing and Ambient Intelligence 2008","","","","10.1007/978-3-540-85867-6_10","Ricardo CostaDavide CarneiroPaulo NovaisLuís LimaJosé MachadoAlberto MarquesJosé Neves","2009","http://link.springer.com/chapter/10.1007/978-3-540-85867-6_10","Chapter"
"Gestures in Assisted Living Environments","Gesture and Sign Language in Human-Computer Interaction and Embodied Communication","","","","10.1007/978-3-642-34182-3_1","Dimitra Anastasiou","2012","http://link.springer.com/chapter/10.1007/978-3-642-34182-3_1","Chapter"
"Intelligent Mixed Reality for the Creation of Ambient Assisted Living","Progress in Artificial Intelligence","","","","10.1007/978-3-540-77002-2_27","Ricardo CostaJosé NevesPaulo NovaisJosé MachadoLuís LimaCarlos Alberto","2007","http://link.springer.com/chapter/10.1007/978-3-540-77002-2_27","Chapter"
"Attitudes and Requirements of Elderly People Towards Assisted Living Solutions","Constructing Ambient Intelligence","","","","10.1007/978-3-540-85379-4_25","Jonas GrauelAnnette Spellerberg","2008","http://link.springer.com/chapter/10.1007/978-3-540-85379-4_25","Chapter"
"An Approach to and Evaluations of Assisted Living Systems Using Ambient Intelligence for Emergency Monitoring and Prevention","Universal Access in Human-Computer Interaction. Intelligent and Ubiquitous Interaction Environments","","","","10.1007/978-3-642-02710-9_23","Thomas KleinbergerAndreas JedlitschkaHolger StorfSilke Steinbach-NordmannStephan Prueckner","2009","http://link.springer.com/chapter/10.1007/978-3-642-02710-9_23","Chapter"
"AAL 4 ALL – A Matter of User Experience","Aging Friendly Technology for Health and Independence","","","","10.1007/978-3-642-13778-5_24","Gerhard LeitnerAnton Josef Fercher","2010","http://link.springer.com/chapter/10.1007/978-3-642-13778-5_24","Chapter"
"Platforms for AAL Applications","Smart Sensing and Context","","","","10.1007/978-3-642-16982-3_14","Gunnar FagerbergAntonio KungReiner WichertMohammad-Reza TazariBruno Jean-BartGerald BauerGottfried ZimmermannFrancesco FurfariF. PotortìS. ChessaM. HellenschmidtJ. GormanJan AlexanderssonJürgen BundEduardo CarrascoGorka Epelde","2010","http://link.springer.com/chapter/10.1007/978-3-642-16982-3_14","Chapter"
"AAL and the Mainstream of Digital Home","Bio-Inspired Systems: Computational and Ambient Intelligence","","","","10.1007/978-3-642-02478-8_134","Esteban Pérez-CastrejónJuan J. Andrés-Gutiérrez","2009","http://link.springer.com/chapter/10.1007/978-3-642-02478-8_134","Chapter"
"Two Steps Forward and One Step Back? on the Acceptance and Use of AAL Technology in Households","Ambient Assisted Living","","","","10.1007/978-3-642-27491-6_14","Lynn SchelischAnnette Spellerberg","2012","http://link.springer.com/chapter/10.1007/978-3-642-27491-6_14","Chapter"
"Reducing the Entry Threshold of AAL Systems: Preliminary Results from Casa Vecchia","Computers Helping People with Special Needs","","","","10.1007/978-3-642-31522-0_106","Gerhard LeitnerAnton Josef FercherAlexander FelfernigMartin Hitz","2012","http://link.springer.com/chapter/10.1007/978-3-642-31522-0_106","Chapter"
"Between Innovation and Daily Practice in the Development of AAL Systems: Learning from the Experience with Today’s Systems","Electronic Healthcare","","","","10.1007/978-3-642-23635-8_14","Shirley BeulLars KlackKai KasugaiChristian MoelleringCarsten RoeckerWiktoria WilkowskaMartina Ziefle","2012","http://link.springer.com/chapter/10.1007/978-3-642-23635-8_14","Chapter"
"Towards Universal Access to Home Monitoring for Assisted Living Environment","Universal Access in Human-Computer Interaction. Intelligent and Ubiquitous Interaction Environments","","","","10.1007/978-3-642-02710-9_22","Rezwan IslamSheikh I. AhamedChowdhury S. HasanMohammad Tanviruzzaman","2009","http://link.springer.com/chapter/10.1007/978-3-642-02710-9_22","Chapter"
"A Presence-Aware Smart Home System (PASH)","Ambient Assisted Living","","","","10.1007/978-3-642-21303-8_22","Ernesto Garcia DavisAnna Calveras Augé","2011","http://link.springer.com/chapter/10.1007/978-3-642-21303-8_22","Chapter"
"Semantic Reasoning in Context-Aware Assistive Environments to Support Ageing with Dementia","The Semantic Web – ISWC 2012","","","","10.1007/978-3-642-35173-0_14","Thibaut TiberghienMounir MokhtariHamdi AloulouJit Biswas","2012","http://link.springer.com/chapter/10.1007/978-3-642-35173-0_14","Chapter"
"Theme issue: “ubiquitous computing and ambient intelligence”","Personal and Ubiquitous Computing","","15","4","10.1007/s00779-010-0358-9","José BravoLidia FuentesDiego López de Ipiña","2011","http://link.springer.com/article/10.1007/s00779-010-0358-9","Article"
"Conjoint PERSONA – SOPRANO Workshop","Constructing Ambient Intelligence","","","","10.1007/978-3-540-85379-4_51","Elena AvatangelouRochi Febo DommarcoMichael KleinSonja MüllerClaus F. NielsenMa Pilar Sala SorianoAndreas SchmidtMohammad-Reza TazariReiner Wichert","2008","http://link.springer.com/chapter/10.1007/978-3-540-85379-4_51","Chapter"
"Smart Environments: Introduction to the Special Thematic Session","Computers Helping People with Special Needs","","","","10.1007/978-3-540-70540-6_149","Gerhard Nussbaum","2008","http://link.springer.com/chapter/10.1007/978-3-540-70540-6_149","Chapter"
"Detecting Activities for Assisted Living","Constructing Ambient Intelligence","","","","10.1007/978-3-540-85379-4_28","Dorothy MonekossoPaolo Remagnino","2008","http://link.springer.com/chapter/10.1007/978-3-540-85379-4_28","Chapter"
"VirtualECare: Intelligent Assisted Living","Electronic Healthcare","","","","10.1007/978-3-642-00413-1_17","Ricardo CostaPaulo NovaisLuís LimaDavide CarneiroDário SamicoJoão OliveiraJosé MachadoJosé Neves","2009","http://link.springer.com/chapter/10.1007/978-3-642-00413-1_17","Chapter"
"A Remote Mutual Situation-Aware Model by Detecting Entrance and Exit Behaviors in Smart Home","Advances in Electric and Electronics","","","","10.1007/978-3-642-28744-2_23","Mengqiao ZhangJunbo WangZixue ChengLei JingYongping ChenKaoru YamagishiSong GuoAnh T. Pham","2012","http://link.springer.com/chapter/10.1007/978-3-642-28744-2_23","Chapter"
"Addressing the Needs of an Aging Population: An Experiment for Monitoring Behaviour in a Domestic Environment","Computer Safety, Reliability, and Security","","","","10.1007/978-3-642-33675-1_41","Marte E. B. SkjønsfjellAslak R. NormannDag SjongAmund Skavhaug","2012","http://link.springer.com/chapter/10.1007/978-3-642-33675-1_41","Chapter"
"Overview of Indoor Positioning Technologies for Context Aware AAL Applications","Ambient Assisted Living","","","","10.1007/978-3-642-18167-2_19","Corina K. SchindhelmAsa MacWilliams","2011","http://link.springer.com/chapter/10.1007/978-3-642-18167-2_19","Chapter"
"Concept and Design of an AAL Home Monitoring System Based on a Personal Computerized Assistive Unit","Constructing Ambient Intelligence","","","","10.1007/978-3-540-85379-4_27","Matthias BrinkmannMartin FloeckLothar Litz","2008","http://link.springer.com/chapter/10.1007/978-3-540-85379-4_27","Chapter"
"System Approach to AAL Applications: A Case Study","Ambient Assisted Living","","","","10.1007/978-3-642-21303-8_21","Lenka LhotskaJan HavlikPetr Panyrek","2011","http://link.springer.com/chapter/10.1007/978-3-642-21303-8_21","Chapter"
"Internet of Things Applied in the Home-Based Caring System for the Aged","Advances in Electronic Commerce, Web Application and Communication","","","","10.1007/978-3-642-28655-1_74","Qingying ZhangZhimin ChenPeng Zhang","2012","http://link.springer.com/chapter/10.1007/978-3-642-28655-1_74","Chapter"
"Smart Cities at the Forefront of the Future Internet","The Future Internet","","","","10.1007/978-3-642-20898-0_32","José M. Hernández-MuñozJesús Bernat VercherLuis MuñozJosé A. GalacheMirko PresserLuis A. Hernández GómezJan Pettersson","2011","http://link.springer.com/chapter/10.1007/978-3-642-20898-0_32","Chapter"
"Living longer independently – a healthcare interoperability perspective","e & i Elektrotechnik und Informationstechnik","","127","7 - 8","10.1007/s00502-010-0748-8","R. RogersY. PeresW. Müller","2010","http://link.springer.com/article/10.1007/s00502-010-0748-8","Article"
"Regulatory Model for AAL","Soft Computing Models in Industrial and Environmental Applications, 6th International Conference SOCO 2011","","","","10.1007/978-3-642-19644-7_20","Juanita PedrazaMiguel Angel PatricioAgustin de AsísJose Manuel Molina","2011","http://link.springer.com/chapter/10.1007/978-3-642-19644-7_20","Chapter"
"A Device Middleware-Based Smart Home Environment for Ambient Health Care","Global Trends in Computing and Communication Systems","","","","10.1007/978-3-642-29219-4_17","Veeramuthu VenkateshPethuru RajV. Vaithayanathan","2012","http://link.springer.com/chapter/10.1007/978-3-642-29219-4_17","Chapter"
"universAAL – An Open and Consolidated AAL Platform","Ambient Assisted Living","","","","10.1007/978-3-642-18167-2_10","Sten HankeChristopher MayerOliver HoeftbergerHenriette BoosReiner WichertMohammed-R. TazariPeter WolfFrancesco Furfari","2011","http://link.springer.com/chapter/10.1007/978-3-642-18167-2_10","Chapter"
"The REMOTE AAL Project: Remote Health and Social Care for Independent Living of Isolated Elderly with Chronic Conditions","Universal Access in Human-Computer Interaction. Context Diversity","","","","10.1007/978-3-642-21666-4_15","Angelos BekiarisAlexandros MourouzisNicos Maglaveras","2011","http://link.springer.com/chapter/10.1007/978-3-642-21666-4_15","Chapter"
"Ambient Monitoring from an Elderly-Centred Design Perspective: What, Who and How","Ambient Intelligence","","","","10.1007/978-3-642-25167-2_45","Marije KanisSean AlizadehJesse GroenMilad KhaliliSaskia RobbenSander BakkesBen Kröse","2011","http://link.springer.com/chapter/10.1007/978-3-642-25167-2_45","Chapter"
"3D Interaction in AAL Environments Based on Ontologies","Ambient Assisted Living","","","","10.1007/978-3-642-27491-6_21","Alexander MarincCarsten StockloewSaied Tazari","2012","http://link.springer.com/chapter/10.1007/978-3-642-27491-6_21","Chapter"
"Requirements and Ethical Issues for Sensor-Augmented Environments in Elderly Care","Universal Acess in Human Computer Interaction. Coping with Diversity","","","","10.1007/978-3-540-73279-2_99","Erwin FuggerBarbara PrazakSten HankeSiegfried Wassertheurer","2007","http://link.springer.com/chapter/10.1007/978-3-540-73279-2_99","Chapter"
"The PERSONA Service Platform for AAL Spaces","Handbook of Ambient Intelligence and Smart Environments","","","","10.1007/978-0-387-93808-0_43","Mohammad-Reza TazariFrancesco FurfariJuan-Pablo Lázaro RamosErina Ferro","2010","http://link.springer.com/chapter/10.1007/978-0-387-93808-0_43","Chapter"
"Using IoT Technologies to Resolve the Food Safety Problem – An Analysis Based on Chinese Food Standards","Web Information Systems and Mining","","","","10.1007/978-3-642-33469-6_50","Yun GuWeili HanLirong ZhengBo Jin","2012","http://link.springer.com/chapter/10.1007/978-3-642-33469-6_50","Chapter"
"A Rule Based Approach for Mapping Sensor Data to Ontological Models in AAL Environments","Advances in Conceptual Modeling","","","","10.1007/978-3-642-33999-8_2","Mario BuchmayrWerner KurschlJosef Küng","2012","http://link.springer.com/chapter/10.1007/978-3-642-33999-8_2","Chapter"
"Gestures Used by Intelligent Wheelchair Users","Computers Helping People with Special Needs","","","","10.1007/978-3-642-31534-3_58","Dimitra AnastasiouChristoph Stahl","2012","http://link.springer.com/chapter/10.1007/978-3-642-31534-3_58","Chapter"
"ATHENA: Smart Process Management for Daily Activity Planning for Cognitive Impairment","Ambient Assisted Living","","","","10.1007/978-3-642-21303-8_9","Eva HidalgoLuis CastilloR. Ignacio MadridÓscar García-PérezM. R. CabelloJ. Fdez-Olivares","2011","http://link.springer.com/chapter/10.1007/978-3-642-21303-8_9","Chapter"
"User Acceptance of a Mobile LED Projector on a Socially Assistive Robot","Ambient Assisted Living","","","","10.1007/978-3-642-27491-6_6","Paul PanekGeorg EdelmayerPeter MayerChristian BeckMarjo Rauhala","2012","http://link.springer.com/chapter/10.1007/978-3-642-27491-6_6","Chapter"
"Understanding the Older User of Ambient Technologies","Human-Computer Interaction. Ambient, Ubiquitous and Intelligent Interaction","","","","10.1007/978-3-642-02580-8_56","Andrew Sixsmith","2009","http://link.springer.com/chapter/10.1007/978-3-642-02580-8_56","Chapter"
"Smart Home Technologies: Insights into Generation-Specific Acceptance Motives","HCI and Usability for e-Inclusion","","","","10.1007/978-3-642-10308-7_22","Sylvia GaulMartina Ziefle","2009","http://link.springer.com/chapter/10.1007/978-3-642-10308-7_22","Chapter"
"Sensing, Actuation Triggering and Decision Making for Service Robots Deployed in Smart Homes","Ambient Intelligence","","","","10.1007/978-3-642-25167-2_34","Mortaza S. BarghMelvin IskenDietwig LowetNiels SnoeckBenjamin HebgenHenk Eertink","2011","http://link.springer.com/chapter/10.1007/978-3-642-25167-2_34","Chapter"
"Perceptions, Preferences, and Acceptance of Information and Communication Technologies in Older-Adult Community Care Settings in Ireland: A Case-Study and Ranked-Care Program Analysis","Ageing International","","36","1","10.1007/s12126-010-9075-y","Kieran WalshAoife Callan","2011","http://link.springer.com/article/10.1007/s12126-010-9075-y","Article"
"Future Care Floor: A Sensitive Floor for Movement Monitoring and Fall Detection in Home Environments","Wireless Mobile Communication and Healthcare","","","","10.1007/978-3-642-20865-2_27","Lars KlackChristian MölleringMartina ZiefleThomas Schmitz-Rode","2011","http://link.springer.com/chapter/10.1007/978-3-642-20865-2_27","Chapter"
"Multimodal Classification of Activities of Daily Living Inside Smart Homes","Distributed Computing, Artificial Intelligence, Bioinformatics, Soft Computing, and Ambient Assisted Living","","","","10.1007/978-3-642-02481-8_103","Vit LibalBhuvana RamabhadranNadia ManaFabio PianesiPaul ChippendaleOswald LanzGerasimos Potamianos","2009","http://link.springer.com/chapter/10.1007/978-3-642-02481-8_103","Chapter"
"Internet of Things: Applications and Challenges in Technology and Standardization","Wireless Personal Communications","","58","1","10.1007/s11277-011-0288-5","Debasis BandyopadhyayJaydip Sen","2011","http://link.springer.com/article/10.1007/s11277-011-0288-5","Article"
"When Your Living Space Knows What You Do: Acceptance of Medical Home Monitoring by Different Technologies","Information Quality in e-Health","","","","10.1007/978-3-642-25364-5_43","Martina ZiefleSimon HimmelWiktoria Wilkowska","2011","http://link.springer.com/chapter/10.1007/978-3-642-25364-5_43","Chapter"
"“Maybe It Becomes a Buddy, But Do Not Call It a Robot” – Seamless Cooperation between Companion Robotics and Smart Homes","Ambient Intelligence","","","","10.1007/978-3-642-25167-2_44","Claire HuijnenAtta BadiiHerjan van den HeuvelPraminda Caleb-SollyDaniel Thiemert","2011","http://link.springer.com/chapter/10.1007/978-3-642-25167-2_44","Chapter"
"Design and Modelling of the Nocturnal AAL Care System","Ambient Intelligence - Software and Applications","","","","10.1007/978-3-642-19937-0_14","J. C. AugustoH. ZhengM. MulvennaH. WangW. CarswellP. Jeffers","2011","http://link.springer.com/chapter/10.1007/978-3-642-19937-0_14","Chapter"
"Biometric Access Control System for AAL","Distributed Computing, Artificial Intelligence, Bioinformatics, Soft Computing, and Ambient Assisted Living","","","","10.1007/978-3-642-02481-8_123","Begoña GarcíaAmaia MéndezIbon RuizJavier Vicente","2009","http://link.springer.com/chapter/10.1007/978-3-642-02481-8_123","Chapter"
"Activity Recognition: Approaches, Practices and Trends","Activity Recognition in Pervasive Intelligent Environments","","","","10.2991/978-94-91216-05-3_1","Liming ChenIsmail Khalil","2011","http://link.springer.com/chapter/10.2991/978-94-91216-05-3_1","Chapter"
"A survey on situation-aware ambient intelligence systems","Journal of Ambient Intelligence and Humanized Computing","","2","3","10.1007/s12652-011-0055-1","Mario BuchmayrWerner Kurschl","2011","http://link.springer.com/article/10.1007/s12652-011-0055-1","Article"
"Avatars@Home","HCI and Usability for e-Inclusion","","","","10.1007/978-3-642-10308-7_25","Martin M. MorandellAndreas HochgattererBernhard WöcklSandra DittenbergerSascha Fagel","2009","http://link.springer.com/chapter/10.1007/978-3-642-10308-7_25","Chapter"
"Ambient Intelligence and Smart Environments: A State of the Art","Handbook of Ambient Intelligence and Smart Environments","","","","10.1007/978-0-387-93808-0_1","Juan Carlos AugustoHideyuki NakashimaHamid Aghajan","2010","http://link.springer.com/chapter/10.1007/978-0-387-93808-0_1","Chapter"
"Service personalization for assistive living in a mobile ambient healthcare-networked environment","Personal and Ubiquitous Computing","","14","6","10.1007/s00779-009-0278-8","Dimitrios D. Vergados","2010","http://link.springer.com/article/10.1007/s00779-009-0278-8","Article"
"Electronics in Medicine","Springer Handbook of Medical Technology","","","","10.1007/978-3-540-74658-4_74","Paulo M. MendesCelso P. FigueiredoMariana FernandesÓscar S. Gama","2011","http://link.springer.com/chapter/10.1007/978-3-540-74658-4_74","Chapter"
"From the Internet of Computers to the Internet of Things","From Active Data Management to Event-Based Systems and More","","","","10.1007/978-3-642-17226-7_15","Friedemann MatternChristian Floerkemeier","2010","http://link.springer.com/chapter/10.1007/978-3-642-17226-7_15","Chapter"
"A Small but Significant Difference – The Role of Gender on Acceptance of Medical Assistive Technologies","HCI in Work and Learning, Life and Leisure","","","","10.1007/978-3-642-16607-5_6","Wiktoria WilkowskaSylvia GaulMartina Ziefle","2010","http://link.springer.com/chapter/10.1007/978-3-642-16607-5_6","Chapter"
"A Videophone Prototype System Evaluated by Elderly Users in the Living Lab Schwechat","HCI and Usability for e-Inclusion","","","","10.1007/978-3-642-10308-7_24","Johannes OberzaucherKatharina WernerHarald P. MairböckChristian BeckPaul PanekWalter HlauschekWolfgang L. Zagler","2009","http://link.springer.com/chapter/10.1007/978-3-642-10308-7_24","Chapter"
