"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Large Scale Environmental Monitoring and Maintaining Sensing Coverage in Sensor Networks","F. Bajaber","NA","2014 International Conference on Future Internet of Things and Cloud","","2014","","","253","257","","","","10.1109/FiCloud.2014.47","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6984203","Sensor networks;Energy efficiency;Clustering","Sensors;Protocols;Wireless sensor networks;Base stations;Clustering algorithms;Energy dissipation;Energy efficiency","protocols;redundancy;telecommunication power management;wireless sensor networks","data redundancy;overlapping coverage;protocol design;limited energy resource;science field;retail field;monitoring field;healthcare field;education field;wireless sensor network energy saving;sensing coverage maintainance;large scale environmental monitoring","","","","","","","","","IEEE","IEEE Conferences"
"Building smart cities applications using IoT and cloud-based architectures","M. J. Kaur; P. Maheshwari","Department of Engineering, Amity University Dubai, Dubai International Academic City, UAE; Department of Engineering, Amity University Dubai, Dubai International Academic City, UAE","2016 International Conference on Industrial Informatics and Computer Systems (CIICS)","","2016","","","1","5","","","","10.1109/ICCSII.2016.7462433","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7462433","smart cities;Internet of things;cloud computing;intelligent community forum","Smart cities;Cloud computing;Protocols;Sensors","cloud computing;Internet of Things;mobile computing;smart cities;smart phones;software architecture;user interfaces","smart city;Internet of Things;IoT-based architecture;cloud computing;software architecture;user interface;smart phone","","","","","","","","","IEEE","IEEE Conferences"
"Internet of Thing based healthcare monitoring system","S. Chaudhury; D. Paul; R. Mukherjee; S. Haldar","Department of Computer Science and Engineering, University of Engineering and Management, Kolkata, India; Department of Computer Science and Engineering, University of Engineering and Management, Kolkata, India; Department of Computer Science and Engineering, University of Engineering and Management, Kolkata, India; Department of Computer Science and Engineering, University of Engineering and Management, Kolkata, India","2017 8th Annual Industrial Automation and Electromechanical Engineering Conference (IEMECON)","","2017","","","346","349","","","","10.1109/IEMECON.2017.8079620","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8079620","Internet of Thing(IoT);Atmega328p microcontroller;GSM Modem;ECG Sensor;Temperature Sensor (LM35);Heartbeat Sensor;Wi-Fi module(ESP 8266);L.C.D;Wireless Body Sensor Network(WBSN);Graphical User Interface(GUI)","Medical services;Monitoring;Wireless fidelity;Temperature sensors;Temperature measurement;Microcontrollers;Wireless sensor networks","cloud computing;computer network security;health care;Internet of Things;medical information systems;open systems;patient monitoring;telemedicine;wireless LAN","physical devices;transmit data;data interoperability methods;wireless communication;Wi-Fi module;quality healthcare;Internet of Things;healthcare monitoring system;remote monitoring system;healthcare communication method;IoT","","","","","","","","","IEEE","IEEE Conferences"
"A novel indoor healthcare with time hopping-based visible light communication","J. An; W. Chung","Team for Next Generation u-Healthcare Technology Development, Pukyong National University, Busan, South Korea; Department of Electronic Engineering, Pukyong National University, Busan, South Korea","2016 IEEE 3rd World Forum on Internet of Things (WF-IoT)","","2016","","","19","23","","","","10.1109/WF-IoT.2016.7845438","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7845438","Indoor Healthcare;Time hopping (TH);Visible Light Communication (VLC);light emitting diode (LED);BioMedical Signal","Monitoring;Data communication;Medical services;Electrocardiography;Optical transmitters;Light emitting diodes;Receivers","demodulation;electrocardiography;free-space optical communication;indoor communication;optical receivers;patient care;photodiodes","time hopping-based visible light communication;TH VLC system;electromagnetic wave free indoor healthcare;biomedical signal;electrocardiography;ECG;emergency patient saving;multiple medical data transmission;optical detector;photodiode;TH demodulator;medical care","","","","","","","","","IEEE","IEEE Conferences"
"Internet of medical things: Architectural model, motivational factors and impediments","M. Irfan; N. Ahmad","Dept. of Computer Science, King Khaild University, Abha, Kingdom of Saudi Arabia; Dept. of Information System, King Khaild University, Abha, Kingdom of Saudi Arabia","2018 15th Learning and Technology Conference (L&T)","","2018","","","6","13","","","","10.1109/LT.2018.8368495","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8368495","Internet of Things;Internet of Medical Things (IoMT);Motivational Factors for IoMT;Impediments for IoMT;Architecture of IoMT","Medical services;Internet of Things;Security;Computer architecture;Protocols;Logic gates;Cloud computing","data privacy;health care;Internet of Things;medical computing","medical professionals;architectural model;motivational factors;medical field;innovation adoption;content analysis;Internet of medical things;IoMT security;healthcare industry","","","","","","","","","IEEE","IEEE Conferences"
"Multidisciplinary approaches to achieving efficient and trustworthy eHealth monitoring systems","A. Sawand; S. Djahel; Z. Zhang; F. Naït-Abdesselam","Paris Descartes University, Paris, France; University College Dublin, Dublin, Ireland; TELECOM Lille, France; Paris Descartes University, Paris, France","2014 IEEE/CIC International Conference on Communications in China (ICCC)","","2014","","","187","192","","","","10.1109/ICCChina.2014.7008269","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7008269","Wireless body area network;eHealthcare;Cyber Physical Systems;Mobile Crowd Sensing","Monitoring;Sensors;Security;Medical diagnostic imaging;Wireless sensor networks;Privacy;Wireless communication","body area networks;cloud computing;data handling;health care;Internet of Things;patient monitoring;trusted computing","multidisciplinary approach;efficient eHealth monitoring systems;trustworthy eHealth monitoring systems;rapid technological convergence;Internet of Things;IoT;wireless body area networks;WBAN;cloud computing;e-health care;medical care;patient-centric health monitoring;architectural framework;data collection;secure patient-centric monitoring schemes","","","","","","","","","IEEE","IEEE Conferences"
"Towards Improving Robotic-Assisted Gait Training: Can Big Data Analysis Help us?","L. Carnevale; R. S. Calabrò; A. Celesti; A. Leo; M. Fazio; P. Bramanti; M. Villari","MIFT, University of Messina, Contrada di Dio 1, S. Agata, 98166, Messina, Italy.; IRCCS Centro Neurolesi “Bonino-Pulejo”, S.S.113 C/da Casazza, Messina, Italy.; MIFT, University of Messina, Contrada di Dio 1, S. Agata, 98166, Messina, Italy, and also with the IRCCS Centro Neurolesi “Bonino-Pulejo”, S.S.113 C/da Casazza, Messina, Italy.; MIFT, University of Messina, Contrada di Dio 1, S. Agata, 98166, Messina, Italy, and also with the IRCCS Centro Neurolesi “Bonino-Pulejo”, S.S.113 C/da Casazza, Messina, Italy.; MIFT, University of Messina, Contrada di Dio 1, S. Agata, 98166, Messina, Italy.; MIFT, University of Messina, Contrada di Dio 1, S. Agata, 98166, Messina, Italy, and also with the IRCCS Centro Neurolesi “Bonino-Pulejo”, S.S.113 C/da Casazza, Messina, Italy.; MIFT, University of Messina, Contrada di Dio 1, S. Agata, 98166, Messina, Italy, and also with the IRCCS Centro Neurolesi “Bonino-Pulejo”, S.S.113 C/da Casazza, Messina, Italy.","IEEE Internet of Things Journal","","2018","PP","99","1","1","","","","10.1109/JIOT.2018.2855937","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8410669","Big Data;ehealth;rehabilitation;lokomat.","Open area test sites;Big Data;Legged locomotion;Hip;Medical treatment","","","","","","","","","","","IEEE","IEEE Early Access Articles"
"A review on home automation system","M. Jerabandi; M. M. Kodabagi","School of C &amp; IT, REVA University, Bengaluru, Karnataka, India; School of C &amp; IT, REVA University, Bengaluru, Karnataka, India","2017 International Conference On Smart Technologies For Smart Nation (SmartTechCon)","","2017","","","1411","1415","","","","10.1109/SmartTechCon.2017.8358597","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8358597","Internet of Things (IoT);Smart Home System;Sensor Networks;Security;Auto-Configuration;Communication Protocol;Access Control;Device Management;Auto-Monitoring and Control;Context-Aware Adaption Scheme;Data Analysis and Visualization","Smart homes;Security;Internet of Things;Home appliances;Monitoring;Protocols","authorisation;home automation;Internet;Internet of Things;Linux","IoT applications;smart home applications;generic framework;IoT based smart home system;Objects Access Control;home automation system;physical objects/devices;virtual objects/devices;environmental monitoring;military applications;industrial applications;healthcare monitoring;transport systems;IoT frameworks","","","","","","","","","IEEE","IEEE Conferences"
"When Mobile Blockchain Meets Edge Computing","Z. Xiong; Y. Zhang; D. Niyato; P. Wang; Z. Han","NA; NA; NA; NA; NA","IEEE Communications Magazine","","2018","56","8","33","39","","","","10.1109/MCOM.2018.1701095","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8436042","","Edge computing;Cloud computing;Data mining;Bitcoin;Servers;Heterogeneous networks;Internet of Things;Multiaccess communication","electronic money;Internet of Things;mobile computing","mobile edge computing enabled blockchain systems;future mobile Internet-of-Things systems;decentralized data management framework;Bitcoin digital currency;blockchain applications;resource-limited mobile devices;mobile services;edge computing resource management;proof-of-work puzzles;multiple access mobile edge computing","","","","","","","","","IEEE","IEEE Journals & Magazines"
"Channel characterisation for wearable LoRaWAN monitors","P. A. Catherwood; S. McComb; M. Little; J. A. D. McLaughlin","Ulster University, School of Engineering, Northern Ireland, UK; Ulster University, School of Engineering, Northern Ireland, UK; RFproximity Ltd, Queens Rd, Northern Ireland Science Park, Northern Ireland, UK; Ulster University, School of Engineering, Northern Ireland, UK","Loughborough Antennas & Propagation Conference (LAPC 2017)","","2017","","","1","4","","","","10.1049/cp.2017.0273","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8364385","Internet of Things;Healthcare;LoRaWAN;Propagation;wearables","","Nakagami channels;radio transceivers;statistical distributions;wide area networks","low power wide area network;gateway location;wearable wireless technology;Nakagami distribution;Akaike information criterion;received signal strength measurements;body-shadowing effect;anechoic measurements;wearable LoRa transceiver device;body-centric LoRaWAN transceiver;empirical characterisation;radio channel;mathematic modelling;wearable LoRaWAN monitors;channel characterisation","","","","","","","","","IET","IET Conferences"
"A Flexible Architecture for Cognitive Sensing of Activities in Ambient Assisted Living","R. Zgheib; A. D. Nicola; M. L. Villani; E. Conchon; R. Bastide","NA; NA; NA; NA; NA","2017 IEEE 26th International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises (WETICE)","","2017","","","284","289","","","","10.1109/WETICE.2017.41","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8003834","Cognitive Sensing;Activity Detection;Message Oriented Middleware;Sensors Ontology","Semantics;Ontologies;Sensors;Method of moments;Middleware;Computer architecture;Ambient assisted living","assisted living;data acquisition;health care;inference mechanisms;Internet of Things;middleware;ontologies (artificial intelligence);open systems;sensor fusion","cognitive sensing;ambient assisted living;flexible architecture;human activity detection application;IoT-based monitoring;semantic message oriented middleware;SeMoM;IoT healthcare systems;technical interoperability;semantic interoperability;data acquisition;heterogeneous devices;reasoning mechanism;expert knowledge;expert logic;cognitive sensors;sensor data annotation;cognitive semantic sensor network ontology;CoSSN ontology;formal representation;semantic activity detection","","","","","","","","","IEEE","IEEE Conferences"
"Context-Sensitive Access in Industrial Internet of Things (IIoT) Healthcare Applications","F. Al-Turjman; S. Alturjman","Antalya Bilim University, Antalya, Turkey; Antalya Bilim University, Antalya, Turkey","IEEE Transactions on Industrial Informatics","","2018","14","6","2736","2744","","","","10.1109/TII.2018.2808190","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8295246","Mutual authentication;security;wireless medical sensor network (WMSN)","Authentication;Intelligent sensors;Wireless sensor networks;Medical services;Cloud computing","5G mobile communication;biomedical communication;cryptography;health care;Internet of Things;telecommunication security;wireless sensor networks","context-sensitive access;embedded sensors;IIoT applications;healthcare systems;evolving 5G technology;secure wireless medical sensor networks;seamless secure manner;security richness;healthcare system performance;context-sensitive seamless identity provisioning framework;secure mutual authentication approach;security goals;industrial Internet of Things healthcare applications;5G-inspired IIoT paradigm;5G networks;real time wireless sensor network systems;CSIP;global assertion value","","","","","","","","","IEEE","IEEE Journals & Magazines"
"Untraceable Sensor Movement in Distributed IoT Infrastructure","P. Gope; T. Hwang","Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan; Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan","IEEE Sensors Journal","","2015","15","9","5340","5348","","","","10.1109/JSEN.2015.2441113","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7120086","Internet of things;Privacy;Anonymity;Untraceability;Wireless sensor network;Internet of Things;privacy;anonymity;untraceability;wireless sensor network","Sensors;Authentication;Tin;Wireless sensor networks;Computer architecture;Protocols","biosensors;Internet of Things;radiofrequency identification;wireless sensor networks","untraceable sensor movement;distributed Internet of Things infrastructure;anonymous authentication scheme;sensor anonymity;sensor untraceability;replay attacks;cloning attacks;radio-frequency identification;biosensor;healthcare system","","","","","","","","","IEEE","IEEE Journals & Magazines"
"Smart health methodology and services powered by leading edge cognitive services consumed in the cloud","M. Avalos; P. Salazar; V. M. Larios; H. Durán-Limón","IBM Systems Storage, IBM de Mexico, Guadalajara, Mexico; IBM Systems Storage, IBM de Mexico, Guadalajara, Mexico; Information Systems Department, CUCEA Universidad de Guadalajara, Guadalajara, Mexico; Information Systems Department, CUCEA Universidad de Guadalajara, Guadalajara, Mexico","2016 IEEE International Smart Cities Conference (ISC2)","","2016","","","1","6","","","","10.1109/ISC2.2016.7580862","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7580862","s-Health;Cognitive Systems & Methodologies;Smart Cities;Cloud Computing;Information Technologies","Cloud computing;Smart cities;Prototypes;Internet of things;Breast cancer","cancer;cloud computing;cognition;health care;hospitals;mobile computing;smart cities","smart health methodology;smart health services;cognitive solutions;healthcare processes;s-health services;Guadalajara smart city;mobile mammography service units;Hospital Civil de Guadalajara;Mexico;Universidad de Guadalajara;s-health solution;IBM Watson cloud cognitive services;breast cancer detection;IT;information technology;breast cancer test","","","","","","","","","IEEE","IEEE Conferences"
"Goo9: A wireless sensor network system for wet diaper detection","M. Wen","Department of Commercial Design and Management, National Taipei University of Business, Taiwan","2017 International Conference on Applied System Innovation (ICASI)","","2017","","","893","895","","","","10.1109/ICASI.2017.7988580","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7988580","internet of things (IoT);healthcare;smart device","Pediatrics;Humidity;Temperature sensors;Databases;Wireless sensor networks;Temperature measurement;Mobile handsets","cloud computing;database management systems;health care;Internet of Things;wireless sensor networks","wireless sensor network system;wet diaper detection;Goo9 system;detection sensor module;data processing module;cloud-based database;baby profile module;humidity sensor;temperature sensor;emoticons;Android mobile phones;iOS mobile phones;IoT technologies","","","","","","","","","IEEE","IEEE Conferences"
"On Delay-Sensitive Healthcare Data Analytics at the Network Edge Based on Deep Learning","Z. M. Fadlullah; A. K. Pathan; H. Gacanin","Graduate School of Information Sciences, Tohoku University, Sendai, Japan; Department of CSE, Southeast University, Dhaka, Bangladesh; Access Laboratory, Nokia Bell Labs, Antwerp, Belgium","2018 14th International Wireless Communications & Mobile Computing Conference (IWCMC)","","2018","","","388","393","","","","10.1109/IWCMC.2018.8450475","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8450475","","Medical services;Machine learning;Delays;Cloud computing;Senior citizens;Sensors;Aging","","","","","","","","","","","IEEE","IEEE Conferences"
"Internet of Things services for healthcare systems","A. Krania; M. Statiri; A. Kanavos; A. Tsakalidis","Computer Engineering and Informatics Department, University of Patras, Patras, Hellas; Computer Engineering and Informatics Department, University of Patras, Patras, Hellas; Computer Engineering and Informatics Department, University of Patras, Patras, Hellas; Computer Engineering and Informatics Department, University of Patras, Patras, Hellas","2017 8th International Conference on Information, Intelligence, Systems & Applications (IISA)","","2017","","","1","6","","","","10.1109/IISA.2017.8316435","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8316435","Internet of Things;Healthcare;Services;Technologies;Architectures;Platforms;Challenges","Monitoring;Internet of Things;Diseases;Biomedical monitoring;Europe","health care;Internet of Things","advanced healthcare services;technological breakthroughs;health sector;health problems;Internet of Things;health issues","","","","","","","","","IEEE","IEEE Conferences"
"MeFoRE: QoE based resource estimation at Fog to enhance QoS in IoT","M. Aazam; M. St-Hilaire; C. Lung; I. Lambadaris","Department of Systems and Computer Engineering, Carleton University, Ottawa, Canada; Department of Systems and Computer Engineering, Carleton University, Ottawa, Canada; Department of Systems and Computer Engineering, Carleton University, Ottawa, Canada; Department of Systems and Computer Engineering, Carleton University, Ottawa, Canada","2016 23rd International Conference on Telecommunications (ICT)","","2016","","","1","5","","","","10.1109/ICT.2016.7500362","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7500362","IoT;Cloud of Things;Fog computing;Edge computing;Amazon EC2;resource management","Internet of things;Cloud computing;Resource management;Quality of service;Estimation;Mobile communication;Multimedia communication","cloud computing;contracts;Internet of Things;quality of experience;quality of service;resource allocation;vehicular ad hoc networks","Fog computing;Amazon EC2 resource pricing;CloudSim;NPS records;net promoter score records;quality-of-experience;RR;relinquish rate;media Fog resource estimation;quality-of-service;SLA management;service level agreement management;resource consumption;latency minimization;quick response time;remote monitoring;remote healthcare;VANET;vehicular ad hoc networks;resource management;Internet of Things;IoT;QoS;QoE-based resource estimation;MeFoRE","","","","","","","","","IEEE","IEEE Conferences"
"Embedded policing and policy enforcement approach for future secure IoT technologies","F. Siddiqui; M. Hagan; S. Sezer","Center for Secure Information Systems (CSIT), Queen's University Belfast, UK; Center for Secure Information Systems (CSIT), Queen's University Belfast, UK; Center for Secure Information Systems (CSIT), Queen's University Belfast, UK","Living in the Internet of Things: Cybersecurity of the IoT - 2018","","2018","","","1","10","","","","10.1049/cp.2018.0010","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8379697","FPGA;MPSoC;Root-of-trust;ARM TrustZone","","authorisation;computer network security;embedded systems;Internet of Things","platform module;secure IoT technologies;malicious application;hardware security policy engine;embedded applications;software security technologies;embedded hardware;SPE approach;policy violation;system communication bus;system resources;pro-active policy;zero-day attacks;potential technical vulnerabilities;additional threats;end users;authentication mechanisms;chain-of-trust;commercial building management;IoT applications;attack vectors;business operations;supply chain efficiencies;quality control","","","","","","","","","IET","IET Conferences"
