"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Complexity of Cyber Security Architecture for IoT Healthcare Industry: A Comparative Study","A. K. Alharam; W. El-madany","NA; NA","2017 5th International Conference on Future Internet of Things and Cloud Workshops (FiCloudW)","","2017","","","246","250","","","","10.1109/FiCloudW.2017.100","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8113801","Cyber-Security;Xilinx IP cores;Encryption;AES;Healthcare;IoT","Algorithm design and analysis;Complexity theory;Medical services;Read only memory;Field programmable gate arrays;IP networks;Encryption","health care;Internet of Things;medical information systems;security of data","cyber security architecture;IoT healthcare industry;wearable IoT healthcare applications;wearable devices;patient personal information;cyber attacks;IoT based healthcare devices;personal health;patient wellness information;Xilinx Zynq-7000;XC7Z030 - 3fbg676 FPGA device","","","","","","","","","IEEE","IEEE Conferences"
"Heterogeneous Integration Technology Demonstrations for Future Healthcare, IoT, and AI Computing Solutions","J. Knickerbocker; R. Budd; B. Dang; Q. Chen; E. Colgan; L. W. Hung; S. Kumar; K. W. Lee; M. Lu; J. W. Nah; R. Narayanan; K. Sakuma; V. Siu; B. Wen","NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA","2018 IEEE 68th Electronic Components and Technology Conference (ECTC)","","2018","","","1519","1528","","","","10.1109/ECTC.2018.00231","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8429744","Heterogeneous Integration;Healthcare;IoT;Artificial Intelligence (AI)","Substrates;Silicon;Tools;Artificial intelligence;Sensors;Cancer","cancer;data analysis;health care;Internet of Things;kidney;learning (artificial intelligence);medical diagnostic computing;patient care;patient diagnosis;patient monitoring;patient treatment","heterogeneous integration technology demonstrations;IoT;AI computing solutions;data analysis;medical industry;personalized human health monitoring;fluidic diagnostic monitoring;noninvasive sensors;electronic health sensors;implanted health sensors;personalized solutions;health risks;chronic diseases;cardiovascular disease;kidney disease;healthcare applications;innovative healthcare diagnostic tools;environmental sensors;data trending;AI systems;health professionals;disease progression delay;medical diagnostics;personalized care;data streams;substrate technologies;healthcare diagnostic tools;artificial intelligence learning-recommendations;diabetes;oncology;cancer;Parkinson-Huntington Diseases;elder care;medication treatments;quality of life;differentiating electronics;precision handling thinned wafers;multidie subcomponents;multicomponent assembly;injection molded solder technology;interconnection;recision laser micromachining,;welding technology;flexible multichannel microfluidic systems;cutting;smart sensing;point of care diagnostics;current industry standard solutions;microfluidic systems;AI Systems;molded solder technology;system solution;technology advancements;healthcare professionals;smart personalized healthcare guidance;precision diagnostic data;sensor monitoring;healthcare diagnostics","","","","","","","","","IEEE","IEEE Conferences"
"FoG Assisted Secure De-duplicated Data Dissemination in Smart Healthcare IoT","A. Ullah; I. Sehr; M. Akbar; H. Ning","NA; NA; NA; NA","2018 IEEE International Conference on Smart Internet of Things (SmartIoT)","","2018","","","166","171","","","","10.1109/SmartIoT.2018.00038","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8465544","Internet of Things (IoT), Healthcare, FoG Computing, De-duplication, Data collection","Medical services;Servers;Intelligent sensors;Microsoft Windows;Monitoring;Data collection","electronic data interchange;health care;Internet of Things;medical information systems;mobile computing;patient care;patient monitoring;private key cryptography;telecommunication security","smart Healthcare IoT;smart devices;blood pressure;patient mobility;medial sensing devices;cell phone;central repositories;data aggregation process;secure data exchange;FoG servers;symmetric key based encryption mechanism;healthcare data exchange;health parameters;FoG assisted secure de-duplicated data dissemination;healthcare Internet of Thing;patient health monitoring;lightweight de-duplication mechanism;adaptive chunking algorithm;symmetric key based encryption;NS-2.35 simulation;cut-point identification failure","","","","","","","","","IEEE","IEEE Conferences"
"Security and privacy framework for ubiquitous healthcare IoT devices","E. Al Alkeem; C. Y. Yeun; M. J. Zemerly","Khalifa University, Electrical and Computer Engineering Department, PO Box 127788, Abu Dhabi, UAE; Khalifa University, Electrical and Computer Engineering Department, PO Box 127788, Abu Dhabi, UAE; Khalifa University, Electrical and Computer Engineering Department, PO Box 127788, Abu Dhabi, UAE","2015 10th International Conference for Internet Technology and Secured Transactions (ICITST)","","2015","","","70","75","","","","10.1109/ICITST.2015.7412059","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7412059","Security;Privacy;WSN;IoT;WBANs;RBAC","Security;Biomedical monitoring;Diabetes;Surgery;Sensors;Internet","biomedical equipment;data privacy;health care;Internet of Things;medical computing;patient monitoring","security framework;Privacy Framework;ubiquitous healthcare IoT devices;wearable device;remote home monitoring","","","","","","","","","IEEE","IEEE Conferences"
"A data replica placement scheme for cloud storage under healthcare IoT environment","B. Zhang; X. Wang; M. Huang","College of Information Science and Engineering, Northeastern University, Shenyang, China; College of Information Science and Engineering, Northeastern University, Shenyang, China; College of Information Science and Engineering, Northeastern University, Shenyang, China","2014 11th International Conference on Fuzzy Systems and Knowledge Discovery (FSKD)","","2014","","","542","547","","","","10.1109/FSKD.2014.6980892","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6980892","IoT;cloud storage;multiple data replica;replica placement;MOX;SA","Algorithm design and analysis;Cloud computing;Mathematical model;Optimization;Vectors;Software algorithms;Medical services","cloud computing;health care;Internet of Things;medical administrative data processing;replicated databases;resource allocation;simulated annealing;storage management","data replica placement scheme;healthcare IoT environment;health care data;medical data;cloud storage system;research and development;p-median model;optimization objective;MOX algorithm;mosquitoes oviposition mating algorithm;optimal data replica placement solution;simulated annealing algorithm;SA algorithm;user access request assignment;CloudSim;load balancing;system scalability;system reliability","","","","","","","","","IEEE","IEEE Conferences"
"Introducing the Internet of Things Department","P. A. Laplante; B. Amaba","Penn State; IBM Corporation","IT Professional","","2018","20","1","15","18","","","","10.1109/MITP.2018.011311147","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8291788","IOT;healthcare;internet of things;IOT healthcare;internet of things for healthcare;IOT applications;healthcare applications;healthcare technology","Medical services;Internet of Things;Medical diagnostic imaging;Computer security","","","","","","","","","","","IEEE","IEEE Journals & Magazines"
"Interconnected Personal Health Record Ecosystem Using IoT Cloud Platform and HL7 FHIR","J. Hong; P. Morris; J. Seo","NA; NA; NA","2017 IEEE International Conference on Healthcare Informatics (ICHI)","","2017","","","362","367","","","","10.1109/ICHI.2017.82","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8031175","PHR;healthcare;IoT;cloud;ARTIK;HL7;FHIR","Cloud computing;Hospitals;Mobile applications;Biomedical imaging;Ecosystems;Information systems","Big Data;biomedical communication;cloud computing;cryptography;data analysis;electronic health records;health care;Internet of Things;internetworking;medical computing;mobile computing","interconnected personal health record ecosystem;IoT Cloud platform;HL7 FHIR;personal health record systems;interconnected PHR system;healthcare data communication standards;interoperable hospital information system;electronic medical records;public cloud;PHR gateway repository;IoT module;mobile application;healthcare communication standard;PHR ecosystem;healthcare big data analysis services;obesity management model;hospital-provided genomic data;diet logs;exercise logs;IoT Cloud based PHR ecosystem;encrypted data sharing;big data analysis services;life log data","","","","","","","","","IEEE","IEEE Conferences"
"A Model-based Approach for Managing Criticality Requirements in e-Health IoT Systems","C. Kotronis; M. Nikolaidou; G. Dimitrakopoulos; D. Anagnostopoulos; A. Amira; F. Bensaali","Department of Informatics & Telematics, Harokopio University of Athens, Athens, GREECE; Department of Informatics & Telematics, Harokopio University of Athens, Athens, GREECE; Department of Informatics & Telematics, Harokopio University of Athens, Athens, GREECE; Department of Informatics & Telematics, Harokopio University of Athens, Athens, GREECE; College of Engineering, Qatar University, Doha, QATAR; College of Engineering, Qatar University, Doha, QATAR","2018 13th Annual Conference on System of Systems Engineering (SoSE)","","2018","","","60","67","","","","10.1109/SYSOSE.2018.8428764","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8428764","Internet of Things;Healthcare;Model-Driven Engineering;SysML;Remote Elderly Monitoring;Criticalities;Requirements","Medical services;Monitoring;Sensors;Senior citizens;Cloud computing;Unified modeling language;Databases","cloud computing;formal specification;formal verification;geriatrics;health care;Internet of Things;patient monitoring;SysML;systems analysis","mixed-criticality System-of-Systems;model-based design;Systems Modeling Language;Remote Elderly Monitoring System;IoT technologies;system design;SysML requirements;model-based approach;e-Health IoT Systems;Internet-based solutions;healthcare domain;modeling tools;model-driven methodology;healthcare practices;Internet of Things;cloud computing;criticality requirements management","","","","","","","","","IEEE","IEEE Conferences"
"Behavior Analysis through Multimodal Sensing for Care of Parkinson’s and Alzheimer’s Patients","F. Alvarez; M. Popa; V. Solachidis; G. Hernández-Peñaloza; A. Belmonte-Hernández; S. Asteriadis; N. Vretos; M. Quintana; T. Theodoridis; D. Dotti; P. Daras","Universidad Politécnica de Madrid; Universiteit Maastricht; Centre for Research and Technology, Hellas; Universidad Politécnica de Madrid; Universidad Politécnica de Madrid; Universiteit Maastricht; Centre for Research and Technology, Hellas; Universidad Politécnica de Madrid; Centre for Research and Technology, Hellas; Universiteit Maastricht; Centre for Research and Technology, Hellas","IEEE MultiMedia","","2018","25","1","14","25","","","","10.1109/MMUL.2018.011921232","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8337828","sensor fusion;depth cues;wireless sensor networks;healthcare;IoT;Internet of Things;multimedia;multimedia in healthcare;sensors;sensing in healthcare;Alzheimers disease;Parkinsons disease","Sensors;Biomedical imaging;Wireless sensor networks;Calibration;Alzheimer's disease;Feature extraction;Patient monitoring;Behavioral sciences","data analysis;diseases;feature extraction;neurophysiology;patient monitoring;sensor fusion","user interactions;Alzheimers patients;data capturing;multimodal fusion;health monitoring environments;multimodal sensing;multimodal data;imaging sensors;Internet of Things devices;behavior analysis;Parkinsons patients;feature extraction;data analysis;time 10.0 week","","","","","","","","","IEEE","IEEE Journals & Magazines"
"Design and Verification of an NDN-Based Safety-Critical Application: A Case Study With Smart Healthcare","D. Saxena; V. Raychoudhury","Department of Computer Science and Engineering, Indian Institute of Technology Roorkee, Roorkee 247667, India.(e-mail: divya.saxena.2015@ieee.org); Department of Computer Science and Engineering, Indian Institute of Technology Roorkee, Roorkee 247667, India.","IEEE Transactions on Systems, Man, and Cybernetics: Systems","","2018","PP","99","1","15","","","","10.1109/TSMC.2017.2723843","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7990549","Context-aware data forwarding strategy;healthcare;Internet of Things (IoT);named data networking of things;NDN;NDNoT.","Medical services;Hidden Markov models;Internet;Servers;Prototypes;Senior citizens;Wireless communication","","","","","","","","","","","IEEE","IEEE Early Access Articles"
"Learning-Based Privacy-Aware Offloading for Healthcare IoT with Energy Harvesting","M. Min; X. Wan; L. Xiao; Y. Chen; M. Xia; D. Wu; H. Dai","Department of Communication Engineering, Xiamen University, Xiamen 361005, China.; Department of Communication Engineering, Xiamen University, Xiamen 361005, China.; Department of Communication Engineering, Xiamen University, Xiamen 361005, China.; Department of Communication Engineering, Xiamen University, Xiamen 361005, China.; School of Electronics and Information Technology, Sun Yat-Sen University, Guangzhou 510006, China.; Department of Computer Science, Sun Yat-Sen University, Guangzhou 510006, China.; Department of Electrical and Computer Engineering, NC state University, Raleigh, NC.","IEEE Internet of Things Journal","","2018","PP","99","1","1","","","","10.1109/JIOT.2018.2875926","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8491311","Internet of Things;healthcare systems;mobile edge offloading;energy harvesting;privacy;reinforcement learning.","Medical services;Privacy;Sensors;Energy consumption;Energy harvesting;Computational modeling;Task analysis","","","","","","","","","","","IEEE","IEEE Early Access Articles"
"IoT modelling and runtime suite for e-Health","P. Stelmach; L. Falas; G. Kasiukiewicz; P. Kwaénicka; P. Światek","Dept. of Computer Science and Management, Wroclaw University of Science and Technology, Wroclaw, Poland; Dept. of Computer Science and Management, Wroclaw University of Science and Technology, Wroclaw, Poland; Dept. of Computer Science and Management, Wroclaw University of Science and Technology, Wroclaw, Poland; Dept. of Computer Science and Management, Wroclaw University of Science and Technology, Wroclaw, Poland; Dept. of Computer Science and Management, Wroclaw University of Science and Technology Wroclaw, Poland","2016 IEEE 18th International Conference on e-Health Networking, Applications and Services (Healthcom)","","2016","","","1","5","","","","10.1109/HealthCom.2016.7749433","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7749433","Internet of Things;IoT;modelling;ontology;services;Software as a Service;SaaS","Data models;Sensors;Unified modeling language;Internet of Things;Ontologies;Training;Mobile communication","data handling;health care;Internet of Things;medical computing;ontologies (artificial intelligence)","e-health;IoT modelling;model centric platform;Internet of Things;support configuration;ontologies;service repositories","","","","","","","","","IEEE","IEEE Conferences"
"Self-Optimising Decentralised Service Placement in Heterogeneous Cloud Federation","E. Carlini; M. Coppola; P. Dazzi; M. Mordacchini; A. Passarella","NA; NA; NA; NA; NA","2016 IEEE 10th International Conference on Self-Adaptive and Self-Organizing Systems (SASO)","","2016","","","110","119","","","","10.1109/SASO.2016.17","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7774392","Cloud Federation;Service Placement;Distributed Models","Cloud computing;Resource management;Peer-to-peer computing;Optimization;Servers;Electronic mail","cloud computing;Markov processes;power aware computing;resource allocation","cloudlets;Markov-chain based modelling;service exchange mechanism;cloud services;self-adaptive solution;reduced overhead;context-aware solutions;resource providers;energy efficiency;distributed structure;data analytics;e-health;IoT;computational backends;business drivers;heterogeneous cloud federation;self-optimising decentralised service placement","","","","","","","","","IEEE","IEEE Conferences"
"Availability models for healthcare IoT systems: Classification and research considering attacks on vulnerabilities","A. Strielkina; V. Kharchenko; D. Uzun","Computer Systems, Networks and Cybersecurity Department, National Aerospace University “KhAI”, 17, Chkalova Street, Kharkiv, Ukraine, 61070; Computer Systems, Networks and Cybersecurity Department, National Aerospace University “KhAI”, 17, Chkalova Street, Kharkiv, Ukraine, 61070; Computer Systems, Networks and Cybersecurity Department, National Aerospace University “KhAI”, 17, Chkalova Street, Kharkiv, Ukraine, 61070","2018 IEEE 9th International Conference on Dependable Systems, Services and Technologies (DESSERT)","","2018","","","58","62","","","","10.1109/DESSERT.2018.8409099","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8409099","attack;failure;Internet of Things;healthcare;Markov model;security;vulnerability","Medical services;Markov processes;Security;Analytical models;Biological system modeling;Internet of Things;Safety","computer network security;health care;Internet of Things;Markov processes","preventive care;Markov model;healthcare IoT infrastructure;attacks;vulnerabilities;healthcare IoT system;availability models;networked medical healthcare devices;health monitoring;Internet of Medical Things;safety issues;security issues","","","","","","","","","IEEE","IEEE Conferences"
"A Self-Powered Supply-Sensing Biosensor Platform Using Bio Fuel Cell and Low-Voltage, Low-Cost CMOS Supply-Controlled Ring Oscillator With Inductive-Coupling Transmitter for Healthcare IoT","K. Niitsu; A. Kobayashi; Y. Nishio; K. Hayashi; K. Ikeda; T. Ando; Y. Ogawa; H. Kai; M. Nishizawa; K. Nakazato","Nagoya University, Nagoya, Japan; Nagoya University, Nagoya, Japan; Nagoya University, Nagoya, Japan; Nagoya University, Nagoya, Japan; Nagoya University, Nagoya, Japan; Nagoya University, Nagoya, Japan; Tohoku University, Sendai, Japan; Tohoku University, Sendai, Japan; Tohoku University, Sendai, Japan; Nagoya University, Nagoya, Japan","IEEE Transactions on Circuits and Systems I: Regular Papers","","2018","65","9","2784","2796","","","","10.1109/TCSI.2018.2791516","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8327508","Sugar monitoring;CMOS;healthcare;point-of-care testing;wearable computing","Fuel cells;Biosensors;Transmitters;Medical services;Immune system;Receivers;Anodes","biomedical electronics;biosensors;CMOS analogue integrated circuits;CMOS digital integrated circuits;fuel cells;health care;inductors;integrated circuit testing;low-power electronics;oscillators;transmitters","healthcare IoT;self-powered disposable supply-sensing biosensor platform;current-driven pulse-interval-modulated inductive-coupling transmitter;current-driven architecture;low voltage operation;cost-competitive legacy CMOS;disposable healthcare applications;lowest supply voltage;organic bio fuel cells;CMOS technology;inductive-coupling transmitter;Big-Data-based healthcare applications;zero threshold voltage all-digital CMOS supply-controlled ring oscillator;test chip;proximity transmitters;off-chip inductor;asynchronous inductive-coupling receiver;low-voltage low-cost CMOS supply-controlled ring oscillator;voltage 0.23 V;size 0.25 mum","","","","","","","","","IEEE","IEEE Journals & Magazines"
"A Secure Hybrid Cloud Enabled architecture for Internet of Things","A. Sharma; T. Goyal; E. S. Pilli; A. P. Mazumdar; M. C. Govil; R. C. Joshi","Department of Computer Science and Engineering, Malaviya National Institute of Technology, Jaipur, India; Department of Computer Science, Government Engineering College, Bikaner, India; Department of Computer Science and Engineering, Malaviya National Institute of Technology, Jaipur, India; Department of Computer Science and Engineering, Malaviya National Institute of Technology, Jaipur, India; Department of Computer Science and Engineering, Malaviya National Institute of Technology, Jaipur, India; Graphic Era University, Dehradun, India","2015 IEEE 2nd World Forum on Internet of Things (WF-IoT)","","2015","","","274","279","","","","10.1109/WF-IoT.2015.7389065","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7389065","IoT;Hybrid Cloud;Social IoT;Security;Scalability;Interoperability","Cloud computing;Computer architecture;Security;Intelligent sensors;Protocols;Wireless sensor networks","cloud computing;Internet of Things;open systems","Internet of Things;digitalization;World Wide Web;pervasive computing;ubiquitous computing;intelligent physical object;cloud computing;heterogeneous device;smart home;smart agriculture;healthcare;IoT-cloud architecture;secure hybrid cloud enabled architecture for IoT;SHCEI;public cloud;private cloud;interoperability","","","","","","","","","IEEE","IEEE Conferences"
"A DDoS prevention scheme for session resumption SEA architecture in healthcare IoT","A. Rajagopalan; M. Jagga; A. Kumari; S. T. Ali","Department of Computer Engineering, National Institute of Technology, Kurukshetra, Haryana - 136119; Department of Computer Engineering, National Institute of Technology, Kurukshetra, Haryana - 136119; Department of Computer Engineering, National Institute of Technology, Kurukshetra, Haryana - 136119; Department of Computer Engineering, National Institute of Technology, Kurukshetra, Haryana - 136119","2017 3rd International Conference on Computational Intelligence & Communication Technology (CICT)","","2017","","","1","5","","","","10.1109/CIACT.2017.7977361","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7977361","DDoS;DTLS;healthcare;Internet-of-Things;Smart e-Health Gateways","Intelligent sensors;Logic gates;Computer architecture;Medical services;Security;Databases","authorisation;biosensors;computer network security;Internet of Things;medical information systems","DDoS prevention scheme;session resumption SEA architecture;healthcare IoT;end-to-end security;healthcare Internet of Things;DTLS handshake;mutual authentication;smart e-health gateway;medical sensors;DDoS attacks;replay attacks;fog layer;resource-constrained medical sensors","","","","","","","","","IEEE","IEEE Conferences"
