"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Smartphone Medicine","P. M. Barrett; E. J. Topol","Scripps Translational Science Institute; Scripps Translational Science Institute","IT Professional","","2016","18","3","52","54","","","","10.1109/MITP.2016.46","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7478521","pervasive computing;mobile;distributed systems;smartphones;healthcare","Smart phones;Medical services;Medical diagnostic imaging;Genomics;Bioinformatics","health care;Internet of Things;medical computing;smart phones","smart phone medicine;health care;Internet of medical things","","","","","","","","","IEEE","IEEE Journals & Magazines"
"Smart energy efficient gateway for Internet of mobile things","I. Tcarenko; Y. Huan; D. Juhasz; A. M. Rahmani; Z. Zou; T. Westerlund; P. Liljeberg; L. Zheng; H. Tenhunen","Department of Information Technology, University of Turku, Turku, Finland; Department of Industrial and Medical Electronics, KTH Royal Institute of Technology, Stockholm, Sweden; Imsys AB, Stockholm, Sweden; Department of Information Technology, University of Turku, Turku, Finland; Department of Industrial and Medical Electronics, KTH Royal Institute of Technology, Stockholm, Sweden; Department of Information Technology, University of Turku, Turku, Finland; Department of Information Technology, University of Turku, Turku, Finland; Department of Industrial and Medical Electronics, KTH Royal Institute of Technology, Stockholm, Sweden; Department of Information Technology, University of Turku, Turku, Finland","2017 14th IEEE Annual Consumer Communications & Networking Conference (CCNC)","","2017","","","1016","1017","","","","10.1109/CCNC.2017.7983276","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7983276","Internet of Things;Internet of Mobile Things;Fog Computing;Smart Gateway;Energy Efficiency","Hardware;Mobile communication;Internet of Things;Energy consumption;Program processors;Computer architecture","cloud computing;Internet of Things;internetworking;mobile computing","smart energy efficient gateway;Internet of Mobile Things;IoMT Fog layer facilities","","","","","","","","","IEEE","IEEE Conferences"
"Adoption of Internet of Medical Things (IoMT) as an opportunity for improving public health in Latin America","M. Luna-delRisco; M. G. Palacio; C. A. A. Orozco; S. V. Moncada; L. G. Palacio; J. J. Q. Montealegre; I. Diaz-Forero","Energy Engineering Department University of Medellin, Medellín, Colombia; Telecommunications Engineering Department, Medellín, Colombia; Energy Engineering Department University of Medellin, Medellín, Colombia; Energy Engineering Department University of Medellin, Medellín, Colombia; Computer Science Engineering Department, Medellín, Colombia; Telecommunications Engineering Department, Medellín, Colombia; Center for Design and Manufacture of Leather, BIOMATIC Research Group Servicio Nacional de Aprendizaje - SENA, Medellín, Colombia","2018 13th Iberian Conference on Information Systems and Technologies (CISTI)","","2018","","","1","5","","","","10.23919/CISTI.2018.8399181","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8399181","healthcare;wearable;IoMT;Latin-America;adoption;barriers;challenges","Biomedical monitoring;Monitoring;Government;Security;Public healthcare;Real-time systems","data privacy;health care;Internet;Internet of Things;mobile computing","Latin America;geographical coverage;physical health stands;Latin American healthcare systems;Latin American governments;wearable technology adoption;healthcare wearable technology challenges;Internet of Medical Things;IoMT;healthcare wearable technology","","","","","","","","","IEEE","IEEE Conferences"
"Detection and recognition of hand gesture for wearable applications in IoMT","A. Yang; S. M. Chun; J. Kim","School of Electronics and Information Engineering, Korea Aerospace University, Korea; Insignal, Korea; School of Electronics and Information Engineering, Korea Aerospace University, Korea","2018 20th International Conference on Advanced Communication Technology (ICACT)","","2018","","","1046","1053","","","","10.23919/ICACT.2018.8323932","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8323932","MPEG Internet of Media-Things (IoMT);Smart Glasses;Hand Gesture Recognition;Hand Gesture Detection;Bézier curve","Transform coding;Metadata;Media;Smart glasses;Gesture recognition;Communications technology;Tools","gesture recognition;image colour analysis;image representation;image sequences;Internet of Things;stereo image processing","detection module;recognition module;hand gesture representation;hand gesture recognition;gesture commands;IoMT;detection method;media consumption;Internet of Media-Things;hand contour detection;stereo image sequences;skin color information;Bézier curve;hand contour recontruction","","","","","","","","","IEEE","IEEE Conferences"
"Health of Things Algorithms for Malignancy Level Classification of Lung Nodules","M. B. Rodrigues; R. V. M. Da Nóbrega; S. S. A. Alves; P. P. R. Filho; J. B. F. Duarte; A. K. Sangaiah; V. H. C. De Albuquerque","Laboratório de Processamento de Imagens e Simulação Computacional, Instituto Federal de Educação, Ciencia e Tecnologia do Ceará, Maracanau, Brazil; Laboratório de Processamento de Imagens e Simulação Computacional, Instituto Federal de Educação, Ciencia e Tecnologia do Ceará, Maracanau, Brazil; Laboratório de Processamento de Imagens e Simulação Computacional, Instituto Federal de Educação, Ciencia e Tecnologia do Ceará, Maracanau, Brazil; Laboratório de Processamento de Imagens e Simulação Computacional, Instituto Federal de Educação, Ciencia e Tecnologia do Ceará, Maracanau, Brazil; Programa de Pós-Graduação em Informática Aplicada, Universidade de Fortaleza, Fortaleza, Brazil; School of Computing Science and Engineering, Vellore Institute of Technology (VIT), Vellore, India; Programa de Pós-Graduação em Informática Aplicada, Universidade de Fortaleza, Fortaleza, Brazil","IEEE Access","","2018","6","","18592","18601","","","","10.1109/ACCESS.2018.2817614","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8322412","Computer-aided diagnosis;pulmonary nodules;lung cancer;textural features;structural co-occurrence matrix;malignancy classification","Feature extraction;Cancer;Lung;Computed tomography;Support vector machines;Gray-scale;Biomedical imaging","cancer;computerised tomography;feature extraction;image classification;image filtering;lung;matrix algebra;medical image processing;multilayer perceptrons;support vector machines","malignant nodules;benign nodules;lung image database consortium;image database resource initiative datasets;nodule positions;SCM;nodule images;lung nodules;malignancy level classification;lung cancer mortality rates;health of things algorithms;computer-aided diagnosis systems;structural co-occurrence matrix;feature extraction;computed tomography;grayscale unit images;Hounsfield unit images;image filtering;image filtering;Laplace filter;Gaussian filter;Sobel filter;image classification;multilayer perceptron;support vector machine;k-nearest neighbors algorithm;gray-level co-occurrence matrix;local binary patterns;central moments;F-Score metrics","","","","","","","","","IEEE","IEEE Journals & Magazines"
"Facial Expressions Recognition Based on Cognition and Mapped Binary Patterns","C. Qi; M. Li; Q. Wang; H. Zhang; J. Xing; Z. Gao; H. Zhang","Key Laboratory of Modern Teaching Technology of Ministry of Education, Engineering Laboratory of Teaching Information Technology of Shaanxi Province, School of Computer Science, Shaanxi Normal University, Xi&#x2019;an, China; Key Laboratory of Modern Teaching Technology of Ministry of Education, Engineering Laboratory of Teaching Information Technology of Shaanxi Province, School of Computer Science, Shaanxi Normal University, Xi&#x2019;an, China; AVIC Beijing Aeronautical Manufacturing Technology Research Institute, Beijing, China; Key Laboratory of Modern Teaching Technology of Ministry of Education, Engineering Laboratory of Teaching Information Technology of Shaanxi Province, School of Computer Science, Shaanxi Normal University, Xi&#x2019;an, China; D&#x00E9;partement de g&#x00E9;nie informatique et g&#x00E9;nie logiciel, &#x00C9;cole Polytechnique de Montr&#x00E9;al, Montr&#x00E9;al, QC, Canada; Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, Shenzhen, China; Information Engineering School, Guangzhou Medical University, Guangzhou, China","IEEE Access","","2018","6","","18795","18803","","","","10.1109/ACCESS.2018.2816044","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8322125","Facial expressions recognition;local binary patterns;human cognition;emotion model;machine learning","Feature extraction;Face recognition;Face;Education;Facial features;Principal component analysis;Cognition","emotion recognition;face recognition;feature extraction;support vector machines","facial expressions recognition;binary patterns;expression recognition approach;LBP operator;facial contours;pseudo3-D model;segment the face area;facial expression sub-regions;global facial expression images;mapped LBP method;feature extraction;classifications;support vector machine;softmax;emotion classification models the basic emotion model;circumplex emotion model;Cohn-Kanade facial expression data;test data;traditional emotional model;human cognition","","","","","","","","","IEEE","IEEE Journals & Magazines"
"Health Monitoring & Management using IoT devices in a Cloud Based Framework","A. Sharma; T. Choudhury; P. Kumar","Amity University Uttar Pradesh, Noida, India; University of Petroleum and Energy Studies, Dehradun, India; Amity University Uttar Pradesh, Noida, India","2018 International Conference on Advances in Computing and Communication Engineering (ICACCE)","","2018","","","219","224","","","","10.1109/ICACCE.2018.8441752","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8441752","IoMT;Cloud;IoT;Health Index;ThingSpeak;Smart Sensors;Arduino","Medical services;Indexes;Temperature sensors;Temperature measurement;Monitoring;Biomedical monitoring;Real-time systems","biosensors;cloud computing;health care;Internet of Things;medical computing;patient monitoring","cloud based framework;intelligent medical boxes;unobtrusive biosensors;textile-based wearable system technology;cloud computing architectural framework;wearable health technology;patient-healthcare provider interface;internet-of-medical-things;patient comfort;healthcare industry;health monitoring;IoT devices","","","","","","","","","IEEE","IEEE Conferences"
"Service Optimization of Internet of Manufacturing Things Based on Mixed Information Axioms","Y. Dong; X. Zhao; Y. Tong; D. Li","School of Mechanical Engineering, Nanjing University of Science and Technology, Nanjing, China; Aviation Science and Technology Key Laboratory of Aviation Mechanical and Electrical System, Nanjing, China; School of Mechanical Engineering, Nanjing University of Science and Technology, Nanjing, China; School of Mechanical Engineering, Nanjing University of Science and Technology, Nanjing, China","IEEE Access","","2018","6","","53254","53264","","","","10.1109/ACCESS.2018.2871252","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8468175","IOMT;QoS;service selection;mixed information axiom;fuzzy mathematics","Indexes;Manufacturing;Quality of service;Optimization;Uncertainty;Random variables;Internet of Things","","","","","","","","","","","IEEE","IEEE Journals & Magazines"
"Sensors data collection architecture in the Internet of Mobile Things as a service (IoMTaaS) platform","P. Maiti; B. Sahoo; A. K. Turuk; S. Satpathy","Department of Computer Science and Engineering, National Institute of Technology, Rourkela, Odisha, India; Department of Computer Science and Engineering, National Institute of Technology, Rourkela, Odisha, India; Department of Computer Science and Engineering, National Institute of Technology, Rourkela, Odisha, India; Department of Computer Science and Engineering, National Institute of Technology, Rourkela, Odisha, India","2017 International Conference on I-SMAC (IoT in Social, Mobile, Analytics and Cloud) (I-SMAC)","","2017","","","578","582","","","","10.1109/I-SMAC.2017.8058245","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8058245","Architecture;Cloud;Data collection;Distributed computing;Sensors;UML","Data collection;Mobile communication;Cloud computing;Logic gates;Intelligent sensors;Computer architecture","cloud computing;Internet of Things;middleware;mobile computing;smart phones;Unified Modeling Language;Zigbee","raw data;post processing;buffer space;communication bandwidth limitations;middleware;sensor data;Android data collection system;data collectors;smartphones;sensor message ordering;data alignment;multiple temporal data streams;data storage;sensor heterogeneity;sensors data collection architecture;smart object;information processing;communication capabilities;continuously environmental data;Raspberry Pi 3;open source software;decision-making system;Internet of Mobile Things as a service platform;IoMTaaS platform;ZigBee remote system;Unified Modeling Language;UML","","","","","","","","","IEEE","IEEE Conferences"
"A New Motor Imagery EEG Classification Method FB-TRCSP+RF Based on CSP and Random Forest","R. Zhang; X. Xiao; Z. Liu; W. Jiang; J. Li; Y. Cao; J. Ren; D. Jiang; L. Cui","School of Information Science and Engineering, Shandong University, Qingdao, China; Department of Nephrology, Qilu Hospital, Shandong University, Jinan, China; School of Information Science and Engineering, Shandong University, Qingdao, China; School of Information Science and Engineering, Shandong University, Qingdao, China; School of Information Science and Engineering, Shandong University, Qingdao, China; School of Information Science and Engineering, Shandong University, Qingdao, China; Department of Endocrinology, Qilu Hospital, Shandong University, Jinan, China; School of Electronic Information, Qingdao University, Qingdao, China; School of Software, Shandong University, Jinan, China","IEEE Access","","2018","6","","44944","44950","","","","10.1109/ACCESS.2018.2860633","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8421565","Classification;CSP;feature;FB-TRCSP+RF","Feature extraction;Electroencephalography;Classification algorithms;Training;Forestry;Spatial filters;Covariance matrices","","","","","","","","","","","IEEE","IEEE Journals & Magazines"
"Anarchy Versus Cooperation on Internet of Molecular Things","C. Koca; O. B. Akan","Department of Electrical and Electronics Engineering, Next-Generation and Wireless Communications Laboratory (NWCL), Koc University, Istanbul, Turkey; Department of Electrical and Electronics Engineering, Next-Generation and Wireless Communications Laboratory (NWCL), Koc University, Istanbul, Turkey","IEEE Internet of Things Journal","","2017","4","5","1445","1453","","","","10.1109/JIOT.2017.2709796","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7935509","Cooperative game;game theory;Nash equilibrium","Transmitters;Games;Molecular communication;Internet of Things;Nash equilibrium","cooperative communication;game theory;Internet of Things;molecular communication (telecommunication);radio transmitters","molecular communications;nanomachines;IoMT;nanomachine groups;anarchic transmitters;cooperative transmitters;state the possible transmitter personalities;ensuring cooperation;Internet of Molecular Things;MC game;game theoretic principles","","","","","","","","","IEEE","IEEE Journals & Magazines"
"DAMON: A Data Authenticity Monitoring System for Diabetes Management","W. Young; J. Corbett; M. S. Gerber; S. Patek; L. Feng","NA; NA; NA; NA; NA","2018 IEEE/ACM Third International Conference on Internet-of-Things Design and Implementation (IoTDI)","","2018","","","25","36","","","","10.1109/IoTDI.2018.00013","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8366974","Internet of Medical Things;Data Authenticity Monitoring;Type 1 Diabetes;Signal Temporal Logic","Monitoring;Diabetes;Insulin;Biomedical monitoring;Sugar;Medical diagnostic imaging","blood;diseases;drug delivery systems;Internet of Things;medical computing;medical control systems;probability;sugar;temporal logic","DAMON;Type 1 Diabetes;Signal Temporal Logic;system properties;system events;data authenticity monitoring system for diabetes management;Internet of Medical Things system;T1D treatment;glycemic variability;insulin delivery;suspicious meal events;retrospective analysis;posterior probabilities","","","","","","","","","IEEE","IEEE Conferences"
"A Workload Characterization for the Internet of Medical Things (IoMT)","A. Limaye; T. Adegbija","NA; NA","2017 IEEE Computer Society Annual Symposium on VLSI (ISVLSI)","","2017","","","302","307","","","","10.1109/ISVLSI.2017.60","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7987536","Internet of Things;edge computing;Internet of Medical Things;right-provisioned microprocessors;low-power embedded systems;workload characterization;medical devices;healthcare","Medical diagnostic imaging;Medical services;Edge computing;Biomedical monitoring;Monitoring;Transforms","Internet of Things;medical computing","workload characterization;Internet of Medical Things;medical applications;edge computing perspective;IoMT applications;medical image processing algorithms;inverse Radon transform;implantable heart monitors;embedded systems;MiBench","","","","","","","","","IEEE","IEEE Conferences"
"A Coupling System Design Based on the Internet of Things and Intelligent Decision Support System in Industrial Enterprises","H. Wan; L. Liao","NA; NA","2016 3rd International Conference on Information Science and Control Engineering (ICISCE)","","2016","","","753","757","","","","10.1109/ICISCE.2016.166","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7726263","internet of things;decision support system;small-world networks;IOMT","","decision support systems;information systems;Internet of Things;network theory (graphs);production engineering computing;small-world networks","Internet of Things;intelligent decision support system;industrial enterprises;coupling information system design;integration system;decision making layer;complex network theory;small-world network model;perception layer topology network;IOMT based manufacturing process;dynamic monitoring;production process;support real-time information;visual decision knowledge;real-time intelligent management","","","","","","","","","IEEE","IEEE Conferences"
"Wearables and Medical Interoperability: The Evolving Frontier","F. Hudson; C. Clark","Northeast Big Data Innovation Hub at Columbia University; Synopsys - Software Integrity Group","Computer","","2018","51","9","86","90","","","","10.1109/MC.2018.3620987","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8481273","standards;medical devices;wearables;implantable devices;IoT;IoMT;WAMI;TIPPSS","Wearable computing;Medical devices;Internet of Things;Implants;Standards","","","","","","","","","","","IEEE","IEEE Journals & Magazines"
