"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Voice Pathology Detection Using Deep Learning on Mobile Healthcare Framework","M. Alhussein; G. Muhammad","Department of Computer Engineering, College of Computer and Information Sciences, King Saud University, Riyadh, Saudi Arabia; Department of Computer Engineering, College of Computer and Information Sciences, King Saud University, Riyadh, Saudi Arabia","IEEE Access","","2018","6","","41034","41041","","","","10.1109/ACCESS.2018.2856238","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8411437","Mobile multimedia healthcare;voice pathology detection;deep learning;Saarbrucken voice database","Pathology;Medical services;Databases;Cloud computing;Machine learning;Feature extraction;Servers","","","","","","","","","","","IEEE","IEEE Journals & Magazines"
"On efficiency improvement of energy harvesting wireless sensor networks","V. Shakhov","Institute of Computational Mathematics and Mathematical Geophysics, Novosibirsk, 630090, Russia","2016 39th International Conference on Telecommunications and Signal Processing (TSP)","","2016","","","56","59","","","","10.1109/TSP.2016.7760828","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7760828","Wireless sensor networks;energy harvesting;reliability;fault tolerance","Sensors;Wireless sensor networks;Energy harvesting;Reliability;Batteries;Wireless communication;Communication system security","energy harvesting;Internet of Things;telecommunication network reliability;telecommunication power supplies;wireless sensor networks","energy harvesting wireless sensor networks;networked wireless devices;electronic appliances;Internet of Things;agricultural industry;environmental monitoring;medical diagnostics;transportation business;energy harvesting technology","","","","","","","","","IEEE","IEEE Conferences"
"Development of an automatic urine monitoring device using cross-selectivity sensing principle","B. Ioller; N. Miki","Department of Mechanical Engineering, Keio University, 3-4-1 Hiyoshi, Yokohama, Kanagawa 223-8522, Japan; Department of Mechanical Engineering, Keio University, 3-4-1 Hiyoshi, Yokohama, Kanagawa 223-8522, Japan","2018 International Conference on Electronics Packaging and iMAPS All Asia Conference (ICEP-IAAC)","","2018","","","324","327","","","","10.23919/ICEP.2018.8374315","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8374315","Urine Monitoring;Capillarity;Cross-sensing;IoT;ESP32","Sensors;Heating systems;Monitoring;Medical services;Conductivity;Fabrication;Image color analysis","capillarity;health care;Internet of Things;patient care;patient diagnosis;patient monitoring","healthcare application;automatic urine monitoring device;cross-selectivity sensing principle;IoT application;home care;healthcare service;urine remote analysis;bio-marker;capillarity effect;urine simulation;heatwave prevention;Japan;ESP32 module","","","","","","","","","IEEE","IEEE Conferences"
"Method for calculating relative performance of microprocessors for comparison under ideal state","J. Sharma; A. Kaur; T. Choudhury","Amity University, Uttar Pradesh; Amity University, Uttar Pradesh; Amity University, Uttar Pradesh","2016 International Conference on Information Technology (InCITe) - The Next Generation IT Summit on the Theme - Internet of Things: Connect your Worlds","","2016","","","67","71","","","","10.1109/INCITE.2016.7857592","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7857592","Microprocessors;Relative Performance;Ideal State;Moore's Law;World Revenue","Microprocessors;Transistors;Instruction sets;Cache memory;Computers","integrated circuits;microprocessor chips;performance evaluation","calculating relative performance;microprocessors;ideal state;digital data processing;advanced medical research analysis;music player;large hadron collider;LHC;initial integrated circuit;IC;Moore's Law;defined ideal state","","","","","","","","","IEEE","IEEE Conferences"
"Procedure Graph Model for Automatic RFID Data Processing Service Management","Y. Xu; B. Agyemang; S. Wu; M. Liu","School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, China","IEEE Internet of Things Journal","","2017","4","3","713","722","","","","10.1109/JIOT.2017.2661326","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7836312","Data integrity validation;distributed query processing;process modeling theory;radio frequency identification (RFID)","Data models;Data processing;RFID tags;Instruments;Internet of Things;Logic gates","data communication;graph theory;radiofrequency identification","procedure graph model;automatic RFID data processing service management;process management;radio frequency identification;process synthesis management;procedure graph;medical instruments","","","","","","","","","IEEE","IEEE Journals & Magazines"
"Dynamic Scheduling Policy for Patient Flow in a Smart Environment","X. Chen; J. Ding; N. Thomas","Jiangsu University, China; Yangzhou University, China; Newcastle University, UK","Chinese Journal of Electronics","","2017","26","3","530","536","","","","10.1049/cje.2017.01.003","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7935212","","","biomedical engineering;hospitals;Internet of Things;medical computing;scheduling","dynamic scheduling policy;smart environment;hospital;patient scheduling;Internet of Things;patient flow scenario;performance evaluation process algebra;PEPA","","","","","","","","","IET","IET Journals & Magazines"
"Internet of Thing based healthcare monitoring system","S. Chaudhury; D. Paul; R. Mukherjee; S. Haldar","Department of Computer Science and Engineering, University of Engineering and Management, Kolkata, India; Department of Computer Science and Engineering, University of Engineering and Management, Kolkata, India; Department of Computer Science and Engineering, University of Engineering and Management, Kolkata, India; Department of Computer Science and Engineering, University of Engineering and Management, Kolkata, India","2017 8th Annual Industrial Automation and Electromechanical Engineering Conference (IEMECON)","","2017","","","346","349","","","","10.1109/IEMECON.2017.8079620","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8079620","Internet of Thing(IoT);Atmega328p microcontroller;GSM Modem;ECG Sensor;Temperature Sensor (LM35);Heartbeat Sensor;Wi-Fi module(ESP 8266);L.C.D;Wireless Body Sensor Network(WBSN);Graphical User Interface(GUI)","Medical services;Monitoring;Wireless fidelity;Temperature sensors;Temperature measurement;Microcontrollers;Wireless sensor networks","cloud computing;computer network security;health care;Internet of Things;medical information systems;open systems;patient monitoring;telemedicine;wireless LAN","physical devices;transmit data;data interoperability methods;wireless communication;Wi-Fi module;quality healthcare;Internet of Things;healthcare monitoring system;remote monitoring system;healthcare communication method;IoT","","","","","","","","","IEEE","IEEE Conferences"
"The future of data privacy and security concerns in Internet of Things","Z. A. Solangi; Y. A. Solangi; S. Chandio; M. bt. S. Abd. Aziz; M. S. bin Hamzah; A. Shah","Kulliyah of Information and Communication Technology, International Islamic University Malaysia, Kuala Lumpur; Computer Science Department Shah Abdul University Khairpur Pakistan; Institute of Mathematics & Computer Science, University of Sindh Jamshoro, Pakistan; Kulliyah of Information and Communication Technology, International Islamic University Malaysia, Kuala Lumpur; Kulliyah of Information and Communication Technology, International Islamic University Malaysia, Kuala Lumpur; Kulliyah of Information and Communication Technology, International Islamic University Malaysia, Kuala Lumpur","2018 IEEE International Conference on Innovative Research and Development (ICIRD)","","2018","","","1","4","","","","10.1109/ICIRD.2018.8376320","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8376320","IoT Security;Internet of Health Things;Privacy;Trust;network security","Security;Internet of Things;Privacy;Medical services;Organizations;Data privacy","data privacy;Internet of Things;security of data","Internet of Medical Things;malicious attacks;Industrial Internet of Things;IoT devices;smart objects;IoT connectivity;laundry machines;smart home appliances;world-spanning information fabric;massive data centers;ambient network-computing environment;invisible network-computing environment;immersive network-computing environment;global network-computing environment;security concerns;data privacy","","","","","","","","","IEEE","IEEE Conferences"
"A novel indoor healthcare with time hopping-based visible light communication","J. An; W. Chung","Team for Next Generation u-Healthcare Technology Development, Pukyong National University, Busan, South Korea; Department of Electronic Engineering, Pukyong National University, Busan, South Korea","2016 IEEE 3rd World Forum on Internet of Things (WF-IoT)","","2016","","","19","23","","","","10.1109/WF-IoT.2016.7845438","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7845438","Indoor Healthcare;Time hopping (TH);Visible Light Communication (VLC);light emitting diode (LED);BioMedical Signal","Monitoring;Data communication;Medical services;Electrocardiography;Optical transmitters;Light emitting diodes;Receivers","demodulation;electrocardiography;free-space optical communication;indoor communication;optical receivers;patient care;photodiodes","time hopping-based visible light communication;TH VLC system;electromagnetic wave free indoor healthcare;biomedical signal;electrocardiography;ECG;emergency patient saving;multiple medical data transmission;optical detector;photodiode;TH demodulator;medical care","","","","","","","","","IEEE","IEEE Conferences"
"Internet of medical things: Architectural model, motivational factors and impediments","M. Irfan; N. Ahmad","Dept. of Computer Science, King Khaild University, Abha, Kingdom of Saudi Arabia; Dept. of Information System, King Khaild University, Abha, Kingdom of Saudi Arabia","2018 15th Learning and Technology Conference (L&T)","","2018","","","6","13","","","","10.1109/LT.2018.8368495","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8368495","Internet of Things;Internet of Medical Things (IoMT);Motivational Factors for IoMT;Impediments for IoMT;Architecture of IoMT","Medical services;Internet of Things;Security;Computer architecture;Protocols;Logic gates;Cloud computing","data privacy;health care;Internet of Things;medical computing","medical professionals;architectural model;motivational factors;medical field;innovation adoption;content analysis;Internet of medical things;IoMT security;healthcare industry","","","","","","","","","IEEE","IEEE Conferences"
"Multidisciplinary approaches to achieving efficient and trustworthy eHealth monitoring systems","A. Sawand; S. Djahel; Z. Zhang; F. Naït-Abdesselam","Paris Descartes University, Paris, France; University College Dublin, Dublin, Ireland; TELECOM Lille, France; Paris Descartes University, Paris, France","2014 IEEE/CIC International Conference on Communications in China (ICCC)","","2014","","","187","192","","","","10.1109/ICCChina.2014.7008269","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7008269","Wireless body area network;eHealthcare;Cyber Physical Systems;Mobile Crowd Sensing","Monitoring;Sensors;Security;Medical diagnostic imaging;Wireless sensor networks;Privacy;Wireless communication","body area networks;cloud computing;data handling;health care;Internet of Things;patient monitoring;trusted computing","multidisciplinary approach;efficient eHealth monitoring systems;trustworthy eHealth monitoring systems;rapid technological convergence;Internet of Things;IoT;wireless body area networks;WBAN;cloud computing;e-health care;medical care;patient-centric health monitoring;architectural framework;data collection;secure patient-centric monitoring schemes","","","","","","","","","IEEE","IEEE Conferences"
"Towards Improving Robotic-Assisted Gait Training: Can Big Data Analysis Help us?","L. Carnevale; R. S. Calabrò; A. Celesti; A. Leo; M. Fazio; P. Bramanti; M. Villari","MIFT, University of Messina, Contrada di Dio 1, S. Agata, 98166, Messina, Italy.; IRCCS Centro Neurolesi “Bonino-Pulejo”, S.S.113 C/da Casazza, Messina, Italy.; MIFT, University of Messina, Contrada di Dio 1, S. Agata, 98166, Messina, Italy, and also with the IRCCS Centro Neurolesi “Bonino-Pulejo”, S.S.113 C/da Casazza, Messina, Italy.; MIFT, University of Messina, Contrada di Dio 1, S. Agata, 98166, Messina, Italy, and also with the IRCCS Centro Neurolesi “Bonino-Pulejo”, S.S.113 C/da Casazza, Messina, Italy.; MIFT, University of Messina, Contrada di Dio 1, S. Agata, 98166, Messina, Italy.; MIFT, University of Messina, Contrada di Dio 1, S. Agata, 98166, Messina, Italy, and also with the IRCCS Centro Neurolesi “Bonino-Pulejo”, S.S.113 C/da Casazza, Messina, Italy.; MIFT, University of Messina, Contrada di Dio 1, S. Agata, 98166, Messina, Italy, and also with the IRCCS Centro Neurolesi “Bonino-Pulejo”, S.S.113 C/da Casazza, Messina, Italy.","IEEE Internet of Things Journal","","2018","PP","99","1","1","","","","10.1109/JIOT.2018.2855937","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8410669","Big Data;ehealth;rehabilitation;lokomat.","Open area test sites;Big Data;Legged locomotion;Hip;Medical treatment","","","","","","","","","","","IEEE","IEEE Early Access Articles"
"On the Design of a Blockchain Platform for Clinical Trial and Precision Medicine","Z. Shae; J. J. P. Tsai","NA; NA","2017 IEEE 37th International Conference on Distributed Computing Systems (ICDCS)","","2017","","","1972","1980","","","","10.1109/ICDCS.2017.61","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7980138","blockchain;clinical trial;precision medicine;data integrity;data integration;identity privacy;big data analytics;distributed and parallel computing;patient centric medicine;IoT","Distributed databases;Parallel processing;Big Data;Clinical trials;Data privacy;Computer architecture","Big Data;data analysis;data integration;data integrity;data privacy;medical computing;parallel processing;trusted computing","blockchain platform architecture;clinical trial;precision medicine;parallel computing;distributed computing;Big Data analytics;data integrity;Big Data integration;anonymous identity management component;identity privacy;Internet of Things;IoT devices;data access security;trust data sharing management component;trust medical data ecosystem","","","","","","","","","IEEE","IEEE Conferences"
"Orchestrating Quality of Service in the Cloud of Things Ecosystem","P. P. Jayaraman; K. Mitra; S. Saguna; T. Shah; D. Georgakopoulos; R. Ranjan","NA; NA; NA; NA; NA; NA","2015 IEEE International Symposium on Nanoelectronic and Information Systems","","2015","","","185","190","","","","10.1109/iNIS.2015.64","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7434422","Internet of things;cloud computing;Cloud of Things;Sensing-as-a-Service;Quality of Service;Network","Cloud computing;Quality of service;Medical services;Smart homes;Monitoring;Temperature sensors;Ecosystems","cloud computing;Internet of Things;quality of service","quality of service;Cloud of Things;CoT ecosystem;Internet of Things;IoT;cloud computing","","","","","","","","","IEEE","IEEE Conferences"
"Understanding the impact of network structure on propagation dynamics based on mobile big data","Y. Chen; L. Shu; N. Crespi; G. M. Lee; M. Guizani","Institut Mines-T&#x00E9;l&#x00E9;com, T&#x00E9;l&#x00E9;com SudParis, France; Guangdong University of Petrochemical Technology, China; Institut Mines-T&#x00E9;l&#x00E9;com, T&#x00E9;l&#x00E9;com SudParis, France; Liverpool John Moores University, UK; Qatar University, Qatar","2016 International Wireless Communications and Mobile Computing Conference (IWCMC)","","2016","","","1018","1023","","","","10.1109/IWCMC.2016.7577198","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7577198","Network structure;propagation dynamics;mobile big data;Internet of Things","Mobile communication;Complex networks;Diseases;Internet of things;Maximum likelihood estimation;Mobile computing","Big Data;diseases;medical computing;mobile computing;smart phones","mobile Big Data;network structure impact;propagation dynamics;terrorist attack;propagation network;Internet of Things;IoT;smart devices;Ebola outbreak areas;Apache Spark;data streaming","","","","","","","","","IEEE","IEEE Conferences"
"Wireless sensor network scenario proposal for evaluating SINR in dense urban areas","C. Valdivieso; D. Dik; F. Novillo","ESPOL Polytechnic University, Escuela Superior Polit&#x00E9;cnica del Litoral, ESPOL, GICOM, Facultad de Ingenier&#x00ED;a en Electricidad y Computaci&#x00F3;n (FIEC), Km 30.5 v&#x00ED;a Perimetral, P. O. Box 09-01-5863, Guayaquil, Ecuador; ESPOL Polytechnic University, Escuela Superior Polit&#x00E9;cnica del Litoral, ESPOL, GICOM, Facultad de Ingenier&#x00ED;a en Electricidad y Computaci&#x00F3;n (FIEC), Km 30.5 v&#x00ED;a Perimetral, P. O. Box 09-01-5863, Guayaquil, Ecuador; ESPOL Polytechnic University, Escuela Superior Polit&#x00E9;cnica del Litoral, ESPOL, GICOM, Facultad de Ingenier&#x00ED;a en Electricidad y Computaci&#x00F3;n (FIEC), Km 30.5 v&#x00ED;a Perimetral, P. O. Box 09-01-5863, Guayaquil, Ecuador","2017 IEEE Second Ecuador Technical Chapters Meeting (ETCM)","","2017","","","1","6","","","","10.1109/ETCM.2017.8247547","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8247547","interference;wireless sensor networks;channel capacity;channel congestion","Wireless sensor networks;Interference;Signal to noise ratio;Wireless communication;Buildings;Urban areas;Channel capacity","quality of service;radiofrequency interference;wireless sensor networks","wireless sensor network scenario proposal;SINR;dense urban areas;wireless technologies;Internet of Things;dense wireless scenarios;interference noise ratio tests;WSN;interference problems;frequency 2.4 GHz","","","","","","","","","IEEE","IEEE Conferences"
"Smart Wearable Band for Stress Detection","M. Zubair; C. Yoon; H. Kim; J. Kim; J. Kim","NA; NA; NA; NA; NA","2015 5th International Conference on IT Convergence and Security (ICITCS)","","2015","","","1","4","","","","10.1109/ICITCS.2015.7293017","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7293017","","Stress;Skin;Biomedical monitoring;Immune system;Heart rate;Medical services;Monitoring","Internet of Things;learning (artificial intelligence);medical signal detection;smart phones","IoT basedsmart wearable band;mental stress detection;stress related health problems;Internet of Things;smart phone;stress patterns;signal correlation;machine learning algorithm","","","","","","","","","IEEE","IEEE Conferences"
"Health monitoring systems using IoT and Raspberry Pi — A review","V. Pardeshi; S. Sagar; S. Murmurwar; P. Hage","Department of ExTC Engineering, SSPACE, Wardha, MH, India; Department of ExTC, Engineering SSPACE, Wardha, MH, India; Department of ExTC, Engineering SSPACE, Wardha, MH, India; Department of ExTC, Engineering SSPACE, Wardha, MH, India","2017 International Conference on Innovative Mechanisms for Industry Applications (ICIMIA)","","2017","","","134","137","","","","10.1109/ICIMIA.2017.7975587","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7975587","Raspberry Pi;IoT;GSM;Health Condition;ECG","Monitoring;Temperature measurement;Biomedical monitoring;Medical services;Electrocardiography;Temperature sensors;Blood pressure","biomedical communication;cardiology;diseases;health care;Internet of Things;lung;patient monitoring","health monitoring systems;IoT;Raspberry Pi;cardiac failure;lung failures;heart related diseases;wireless communications;wearable remote health monitoring device;portable remote health monitoring device","","","","","","","","","IEEE","IEEE Conferences"
