"Internet of Things" AND "Healthcare"
"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","3003751","Konstantinos  Karamitsios and Theofanis  Orphanoudakis and Tasos  Dagiuklas","","","","Evaluation of IoT-based Distributed Health Management Systems","9:1--9:6","9","6","CoAP, Connected Health, IEEE 11073, Internet of Things","10.1145/3003733.3003751","","","","","","","2016","","Proceedings of the 20th Pan-Hellenic Conference on Informatics","PCI '16","","978-1-4503-4789-1","Patras, Greece","ACM","New York, NY, USA"
"article","2695861","Lucas M. R. Arbiza and Leandro M. Bertholdo and Carlos Raniery P. dos Santos and Lisandro Z. Granville and Liane M. R. Tarouco","","","","Refactoring Internet of Things Middleware Through Software-defined Network","640--645","","6","internet of things, middleware, refactoring, software-defined network","10.1145/2695664.2695861","","","","","","","2015","","Proceedings of the 30th Annual ACM Symposium on Applied Computing","SAC '15","","978-1-4503-3196-8","Salamanca, Spain","ACM","New York, NY, USA"
"article","1988062","Chien-Liang  Fok and Christine  Julien and Gruia-Catalin  Roman and Chenyang  Lu","","","","Challenges of Satisfying Multiple Stakeholders: Quality of Service in the Internet of Things","55--60","","6","internet of things, multi-dimensional quality of service","10.1145/1988051.1988062","","","","","","","2011","","Proceedings of the 2Nd Workshop on Software Engineering for Sensor Network Applications","SESENA '11","","978-1-4503-0583-9","Waikiki, Honolulu, HI, USA","ACM","New York, NY, USA"
"article","2581685","Antonio J. Jara and Miguel A. Zamora and Antonio F. Skarmeta","","","","Drug Identification and Interaction Checker Based on IoT to Minimize Adverse Drug Reactions and Improve Drug Compliance","5--17","","13","AAL, Drug checker, Drug identification, Internet of things, m-Health","10.1007/s00779-012-0622-2","Personal Ubiquitous Comput.","January   2014","18","1","","January","2014","1617-4909","","","","","","Springer-Verlag","London, UK, UK"
"article","2857565","Alexander  Yohan and Nai-Wei  Lo and Vincentius  Randy and Shih-Jen  Chen and Ming-Yuan  Hsu","","","","A Novel Authentication Protocol for Micropayment with Wearable Devices","18:1--18:7","18","7","Bluetooth LE, Internet of Things (IoT), authentication protocol, wearable devices","10.1145/2857546.2857565","","","","","","","2016","","Proceedings of the 10th International Conference on Ubiquitous Information Management and Communication","IMCOM '16","","978-1-4503-4142-4","Danang, Viet Nam","ACM","New York, NY, USA"
"article","3139940","Muslum Ozgur Ozmen and Attila A. Yavuz","","","","Low-Cost Standard Public Key Cryptography Services for Wireless IoT Systems","65--70","","6","cryptographic optimizations, efficient implementations, internet of things, wireless network security","10.1145/3139937.3139940","","","","","","","2017","","Proceedings of the 2017 Workshop on Internet of Things Security and Privacy","IoTS&#38;P '17","","978-1-4503-5396-0","Dallas, Texas, USA","ACM","New York, NY, USA"
"article","2002290","Calton  Pu","","","","A World of Opportunities: CPS, IOT, and Beyond","229--230","","2","cyber physical systems, distributed events, internet of things","10.1145/2002259.2002290","","","","","","","2011","","Proceedings of the 5th ACM International Conference on Distributed Event-based System","DEBS '11","","978-1-4503-0423-8","New York, New York, USA","ACM","New York, NY, USA"
"article","2757300","Divya  Saxena and Vaskar  Raychoudhury and Nalluri  SriMahathi","","","","SmartHealth-NDNoT: Named Data Network of Things for Healthcare Services","45--50","","6","healthcare, internet of things (iot), named data networking (ndn), ndnot, open mhealth architecture","10.1145/2757290.2757300","","","","","","","2015","","Proceedings of the 2015 Workshop on Pervasive Wireless Healthcare","MobileHealth '15","","978-1-4503-3525-6","Hangzhou, China","ACM","New York, NY, USA"
"article","3064970","Konstantinos  Michalakis and George  Caridakis","","","","IoT Interface for Healthcare Applications","232--233","","2","Ambient Assisted Living, Context Awareness, Healthcare, Interface, Internet of Things, Wearables","10.1145/3056540.3064970","","","","","","","2017","","Proceedings of the 10th International Conference on PErvasive Technologies Related to Assistive Environments","PETRA '17","","978-1-4503-5227-7","Island of Rhodes, Greece","ACM","New York, NY, USA"
"article","3027127","Dmitri  Katz","","","","More Than Numbers: Designing Effective Diabetes Decision Support","286--290","","5","health management, healthcare, internet of personal health, internet of things, quantified self, sensors, smartphone apps, wellbeing","10.1145/3027063.3027127","","","","","","","2017","","Proceedings of the 2017 CHI Conference Extended Abstracts on Human Factors in Computing Systems","CHI EA '17","","978-1-4503-4656-6","Denver, Colorado, USA","ACM","New York, NY, USA"
"article","2933435","Peter  Michal&#225;k and Sarah  Heaps and Michael  Trenell and Paul  Watson","","","","Automating Computational Placement in IoT Environments: Doctoral Symposium","434--437","","4","cost modelling, digital healthcare, edge processing, internet of things, optimisation, stream processing","10.1145/2933267.2933435","","","","","","","2016","","Proceedings of the 10th ACM International Conference on Distributed and Event-based Systems","DEBS '16","","978-1-4503-4021-2","Irvine, California","ACM","New York, NY, USA"
"article","2830855","Farzad  Samie and Lars  Bauer and J&#246;rg  Henkel","","","","An Approximate Compressor for Wearable Biomedical Healthcare Monitoring Systems","133--142","","10","IoT, approximate computing, biomedical healthcare, compression, internet of things, wearable devices","","","","","","","","2015","","Proceedings of the 10th International Conference on Hardware/Software Codesign and System Synthesis","CODES '15","","978-1-4673-8321-9","Amsterdam, The Netherlands","IEEE Press","Piscataway, NJ, USA"
"article","2892472","Mustafa  Hussain and Nadir  Weibel","","","","Can DiCoT Improve Infection Control?: A Distributed Cognition Study of Information Flow in Intensive Care","2126--2133","","8","distributed cognition, healthcare, infection control, information flow, intensive care, internet of things","10.1145/2851581.2892472","","","","","","","2016","","Proceedings of the 2016 CHI Conference Extended Abstracts on Human Factors in Computing Systems","CHI EA '16","","978-1-4503-4082-3","San Jose, California, USA","ACM","New York, NY, USA"
"article","3126501","Iman  Azimi and Arman  Anzanpour and Amir M. Rahmani and Tapio  Pahikkala and Marco  Levorato and Pasi  Liljeberg and Nikil  Dutt","","","","HiCH: Hierarchical Fog-Assisted Computing Architecture for Healthcare IoT","174:1--174:20","174","20","Fog Computing, Hierarchical Computing, Internet of Things, MAPE-K, Machine Learning, Remote Patient Monitoring","10.1145/3126501","ACM Trans. Embed. Comput. Syst.","October 2017","16","5s","","September","2017","1539-9087","","","","","","ACM","New York, NY, USA"
"article","2972709","Dmitri  Katz and Eirik  Arsand and Nick  Dalton and Simon  Holland and Clare  Martin and Carl Magnus Olsson and Blaine A. Price","","","","Designing, Developing, and Evaluating the Future Internet of Personal Health","1068--1073","","6","health management, healthcare, internet of personal health, internet of things, quantified self, sensors, smartphone apps, wellbeing","10.1145/2968219.2972709","","","","","","","2016","","Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct","UbiComp '16","","978-1-4503-4462-3","Heidelberg, Germany","ACM","New York, NY, USA"
"article","2971356","Dmitri  Katz","","","","Investigating the Viability of Automated, Intuitive, and Contextual Insights for Chronic Disease Self-management Using Ubiquitous Computing Technologies","423--428","","6","health management, healthcare, internet of personal health, internet of things, quantified self, sensors, smartphone apps, wellbeing","10.1145/2968219.2971356","","","","","","","2016","","Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct","UbiComp '16","","978-1-4503-4462-3","Heidelberg, Germany","ACM","New York, NY, USA"
"article","2536904","Nawaf  Alharbe and Anthony S. Atkins and Akbar Sheikh Akbari","","","","Application of ZigBee and RFID Technologies in Healthcare in Conjunction with the Internet of Things","191:191--191:195","191","5","Cloud computing, Cloud of Things and Smart Hospital Information System (SHIS), Internet of Things (IoT), Patient tracking, RFID, ZigBee","10.1145/2536853.2536904","","","","","","","2013","","Proceedings of International Conference on Advances in Mobile Computing &#38; Multimedia","MoMM '13","","978-1-4503-2106-8","Vienna, Austria","ACM","New York, NY, USA"
"article","2631644","Hrishikesh  Jayakumar and Kangwoo  Lee and Woo Suk Lee and Arnab  Raha and Younghyun  Kim and Vijay  Raghunathan","","","","Powering the Internet of Things","375--380","","6","energy harvesting, internet of things, low power, perpetual systems, power management, wearable computing","10.1145/2627369.2631644","","","","","","","2014","","Proceedings of the 2014 International Symposium on Low Power Electronics and Design","ISLPED '14","","978-1-4503-2975-0","La Jolla, California, USA","ACM","New York, NY, USA"
"article","2968555","Alexandra  Voit and Elizabeth  Stowell and Dominik  Weber and Christoph  Witte and Daniel  K&#228;rcher and Niels  Henze","","","","Envisioning an Ambient Smart Calendar to Support Aging in Place","1596--1601","","6","aging in place, ambient information system, attention management, internet of things, notifications, smart home","10.1145/2968219.2968555","","","","","","","2016","","Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct","UbiComp '16","","978-1-4503-4462-3","Heidelberg, Germany","ACM","New York, NY, USA"
"article","2973272","Paul  Bogdan and Miroslav  Pajic and Partha Pratim Pande and Vijay  Raghunathan","","","","Making the Internet-of-things a Reality: From Smart Models, Sensing and Actuation to Energy-efficient Architectures","25:1--25:10","25","10","autonomy, compact yet accurate models, internet-of-things, manycore, network control, networks-on-chip","10.1145/2968456.2973272","","","","","","","2016","","Proceedings of the Eleventh IEEE/ACM/IFIP International Conference on Hardware/Software Codesign and System Synthesis","CODES '16","","978-1-4503-4483-8","Pittsburgh, Pennsylvania","ACM","New York, NY, USA"
"article","2732168","Marcio  Cunha","","","","AmbLEDs: Context-Aware I/O for AAL Systems","137--140","","4","ambient assisted living, collaborative systems, collective intelligence, crowdware, internet of things, smart light","10.1145/2732158.2732168","","","","","","","2015","","Proceedings of the 20th International Conference on Intelligent User Interfaces Companion","IUI Companion '15","","978-1-4503-3308-5","Atlanta, Georgia, USA","ACM","New York, NY, USA"
"article","2896437","Shih-Hsiung  Lee and Chih-Nan  Hu and Chu-Sing  Yang","","","","Token-oriented Based for Internet of Things and Clouding Computing Services","52:1--52:4","52","4","Internet of things, cloud computing, machine to machine, token-oriented communication","10.1145/2896387.2896437","","","","","","","2016","","Proceedings of the International Conference on Internet of Things and Cloud Computing","ICC '16","","978-1-4503-4063-2","Cambridge, United Kingdom","ACM","New York, NY, USA"
"article","2962568","Theodoros  Soultanopoulos and Stelios  Sotiriadis and Euripides  Petrakis and Cristiana  Amza","","","","Internet of Things Data Management in the Cloud for Bluetooth Low Energy (BLE) Devices","35--39","","5","Bluetooth Low Energy (BLE), Cloud Computing, Internet of Things, REST services, Sensor data collection service","10.1145/2962564.2962568","","","","","","","2016","","Proceedings of the Third International Workshop on Adaptive Resource Management and Scheduling for Cloud Computing","ARMS-CC'16","","978-1-4503-4227-8","Chicago, IL, USA","ACM","New York, NY, USA"
"article","3078855","Xuyu  Wang and Chao  Yang and Shiwen  Mao","","","","TensorBeat: Tensor Decomposition for Monitoring Multiperson Breathing Beats with Commodity WiFi","8:1--8:27","8","27","Healthcare Internet of Things (IoT), channel state information, commodity WiFi, stable roommate matching, vital sign monitoring, tensor decomposition","10.1145/3078855","ACM Trans. Intell. Syst. Technol.","October 2017","9","1","","September","2017","2157-6904","","","","","","ACM","New York, NY, USA"
"article","3172826","Laura  Pravato and Thomas E. Doyle","","","","IoT for Remote Wireless Electrophysiological Monitoring: Proof of Concept","254--258","","5","ECG, ESP32, ESP8266, IBM Bluemix, IBM watson, IoT, ThingSpeak, electrocardiogram, internet of things, wearables","","","","","","","","2017","","Proceedings of the 27th Annual International Conference on Computer Science and Software Engineering","CASCON '17","","","Markham, Ontario, Canada","IBM Corp.","Riverton, NJ, USA"
"article","2909079","Anjali S. Yeole and D. R. Kalbande","","","","Use of Internet of Things (IoT) in Healthcare: A Survey","71--76","","6","Healthcare, IoT, Sensor","10.1145/2909067.2909079","","","","","","","2016","","Proceedings of the ACM Symposium on Women in Research 2016","WIR '16","","978-1-4503-4278-0","Indore, India","ACM","New York, NY, USA"
"article","3167551","C. E. Ait Zaouiat and A.  Latif","","","","Internet of Things and Machine Learning Convergence: The E-healthcare Revolution","62:1--62:5","62","5","E-healthcare, IoT, Machine Learning","10.1145/3167486.3167551","","","","","","","2017","","Proceedings of the 2Nd International Conference on Computing and Wireless Communication Systems","ICCWCS'17","","978-1-4503-5306-9","Larache, Morocco","ACM","New York, NY, USA"
"article","2896414","Wan Aida Nadia Wan Abdullah and Naimah  Yaakob and Mohamed Elshaikh Elobaid and Mohd Nazri Mohd Warip and Siti Asilah Yah","","","","Energy-Efficient Remote Healthcare Monitoring Using IoT: A Review of Trends and Challenges","29:1--29:8","29","8","IoT, Remote healthcare monitoring, WBAN, energy efficient","10.1145/2896387.2896414","","","","","","","2016","","Proceedings of the International Conference on Internet of Things and Cloud Computing","ICC '16","","978-1-4503-4063-2","Cambridge, United Kingdom","ACM","New York, NY, USA"
"article","2479821","Pramod  Anantharam and Payam  Barnaghi and Amit  Sheth","","","","Data Processing and Semantics for Advanced Internet of Things (IoT) Applications: Modeling, Annotation, Integration, and Perception","5:1--5:5","5","5","annotation, cyber-physical-social systems, healthcare, inference, integration, internet of things (IoT), knowledge engineering, modelling, ontology, reasoning, semantic sensor web, traffic analytics","10.1145/2479787.2479821","","","","","","","2013","","Proceedings of the 3rd International Conference on Web Intelligence, Mining and Semantics","WIMS '13","","978-1-4503-1850-1","Madrid, Spain","ACM","New York, NY, USA"
"article","2906406","Palanivel A. Kodeswaran and Ravi  Kokku and Sayandeep  Sen and Mudhakar  Srivatsa","","","","Idea: A System for Efficient Failure Management in Smart IoT Environments","43--56","","14","activities of daily living, adl mining, assisted living, failure impact analysis, fault diagnostics, internet of things, iot, maintenance scheduling, sensor failure detection, smart homes","10.1145/2906388.2906406","","","","","","","2016","","Proceedings of the 14th Annual International Conference on Mobile Systems, Applications, and Services","MobiSys '16","","978-1-4503-4269-8","Singapore, Singapore","ACM","New York, NY, USA"
"article","2896429","Hanen  Bouali and Jalel  Akaichi","","","","Out-Of-Order Events Processing: Healthcare Use Case","44:1--44:4","44","4","Accuracy, Event Processing, Heathcare, Out-of-order events","10.1145/2896387.2896429","","","","","","","2016","","Proceedings of the International Conference on Internet of Things and Cloud Computing","ICC '16","","978-1-4503-4063-2","Cambridge, United Kingdom","ACM","New York, NY, USA"
"article","2926023","Muthuraman  Thangaraj and Pichaiah Punitha Ponmalar and G  Sujatha and Subramanian  Anuradha","","","","Agent Based Semantic Internet of Things (IoT) in Smart Health Care","41:1--41:9","41","9","Agent, Data Model, Healthcare, Hospital Management, IoT, Ontology, Semantic, Swarm Intelligence","10.1145/2925995.2926023","","","","","","","2016","","Proceedings of the The 11th International Knowledge Management in Organizations Conference on The Changing Face of Knowledge Management Impacting Society","KMO '16","","978-1-4503-4064-9","Hagen, Germany","ACM","New York, NY, USA"
"article","2735564","Hanan  Lutfiyya and Sharief  Oteafy","","","","Convergent Paradigms in the Internet of Things (CT-IoT)","299--300","","2","","","","","","","","","2014","","Proceedings of 24th Annual International Conference on Computer Science and Software Engineering","CASCON '14","","","Markham, Ontario, Canada","IBM Corp.","Riverton, NJ, USA"
"article","2896410","Mabrook  Al-Rakhami and Ahmad  Alhamed","","","","Cloud-based Graphical Simulation Tool of ECG for Educational Purpose","25:1--25:6","25","6","2D simulator, Cloud-based, Electrocardiograph, interactive learning tool","10.1145/2896387.2896410","","","","","","","2016","","Proceedings of the International Conference on Internet of Things and Cloud Computing","ICC '16","","978-1-4503-4063-2","Cambridge, United Kingdom","ACM","New York, NY, USA"
"article","3054982","Xin  Li and Huazhe  Wang and Ye  Yu and Chen  Qian","","","","An IoT Data Communication Framework for Authenticity and Integrity","159--170","","12","Authentication, Cloud, IoT, Partial Data Retrieval, Sampling","10.1145/3054977.3054982","","","","","","","2017","","Proceedings of the Second International Conference on Internet-of-Things Design and Implementation","IoTDI '17","","978-1-4503-4966-6","Pittsburgh, PA, USA","ACM","New York, NY, USA"
"article","2896402","Hajoon  Ko and Jatinder  Singh and Thomas F. J.-M. Pasquier and Changyu  Dong and David  Eyers and Jean  Bacon","","","","Information Flow Control with Minimal Tag Disclosure","17:1--17:4","17","4","Information Flow Control, Private Set Intersection","10.1145/2896387.2896402","","","","","","","2016","","Proceedings of the International Conference on Internet of Things and Cloud Computing","ICC '16","","978-1-4503-4063-2","Cambridge, United Kingdom","ACM","New York, NY, USA"
"article","2896400","Bhaskar  Bhuyan and Nityananda  Sarma","","","","A QoS Aware Routing Protocol in Wireless Sensor Networks with Mobile Base Stations","15:1--15:6","15","6","Delay, Quality of Service, Reliability, Wireless Sensor Networks","10.1145/2896387.2896400","","","","","","","2016","","Proceedings of the International Conference on Internet of Things and Cloud Computing","ICC '16","","978-1-4503-4063-2","Cambridge, United Kingdom","ACM","New York, NY, USA"
"article","1982626","Soundar  Kumara and LiYing  Cui and Jie  Zhang","","","","Sensors, Networks and Internet of Things: Research Challenges in Health Care","2:1--2:4","2","4","large scale networks, sensor networks, sensors","10.1145/1982624.1982626","","","","","","","2011","","Proceedings of the 8th International Workshop on Information Integration on the Web: In Conjunction with WWW 2011","IIWeb '11","","978-1-4503-0620-1","Hyderabad, India","ACM","New York, NY, USA"
"article","2933567","Chetanya  Puri and Arijit  Ukil and Soma  Bandyopadhyay and Rituraj  Singh and Arpan  Pal and Kayapanda  Mandana","","","","iCarMa: Inexpensive Cardiac Arrhythmia Management -- An IoT Healthcare Analytics Solution","3--8","","6","anomaly detection, cardio-vascular system, heart monitoring, iot, m-health, ppg, statistical learning","10.1145/2933566.2933567","","","","","","","2016","","Proceedings of the First Workshop on IoT-enabled Healthcare and Wellness Technologies and Systems","IoT of Health '16","","978-1-4503-4334-3","Singapore, Singapore","ACM","New York, NY, USA"
"article","2248347","Avik  Ghose and Chirabrata  Bhaumik and Diptesh  Das and Amit Kumar Agrawal","","","","Mobile Healthcare Infrastructure for Home and Small Clinic","15--20","","6","intelligent healthcare, iot, mhealth, mobile application, sensor networks, sos, wireless healthcare monitoring","10.1145/2248341.2248347","","","","","","","2012","","Proceedings of the 2Nd ACM International Workshop on Pervasive Wireless Healthcare","MobileHealth '12","","978-1-4503-1292-9","Hilton Head, South Carolina, USA","ACM","New York, NY, USA"
"article","3108936","M. Mazhar Rathore and Anand  Paul and Awais  Ahmad and Marco  Anisetti and Gwanggil  Jeon","","","","Hadoop-Based Intelligent Care System (HICS): Analytical Approach for Big Data in IoT","8:1--8:24","8","24","Big Data, IoT, PMD, healthcare, intelligent building","10.1145/3108936","ACM Trans. Internet Technol.","December 2017","18","1","","November","2017","1533-5399","","","","","","ACM","New York, NY, USA"
"article","2944924","C.  G&#252;ndogan and C.  Adjih and O.  Hahm and E.  Baccelli","","","","Let Healthy Links Bloom: Scalable Link Checks in Low-power Wireless Networks for Smart Health","11--16","","6","RPL, bloom filter, bloom-RPL, scalable unreachability detection","10.1145/2944921.2944924","","","","","","","2016","","Proceedings of the 6th ACM International Workshop on Pervasive Wireless Healthcare","MobiHealth '16","","978-1-4503-4342-8","Paderborn, Germany","ACM","New York, NY, USA"
"proceeding","2933566","","","","Program Chair-Kuldeep  Yadav and Program Chair-Hwee-Pink  Tan and Program Chair-Sharanya  Eswaran","","","","","","","","","","","","","2016","","Proceedings of the First Workshop on IoT-enabled Healthcare and Wellness Technologies and Systems","","","978-1-4503-4334-3","Singapore, Singapore","ACM","New York, NY, USA"
"article","3136885","Shailja  Dahiya and Manoj Kumar Bohra","","","","Element-key Table Based Complex Key Generation (E-CKG) for IoT Based Health Care Networks","59--64","","6","authentication, complex key generation, element key, healthcare networks","10.1145/3136825.3136885","","","","","","","2017","","Proceedings of the 10th International Conference on Security of Information and Networks","SIN '17","","978-1-4503-5303-8","Jaipur, India","ACM","New York, NY, USA"
"article","3128136","Meryam  Benabdouallah and Chakib  Bojji","","","","Comparison Between GA and ACO for Emergency Coverage Problem in a Smart Healthcare Environment","48--55","","8","ambulance, ant colony optimization, emergency, genetic algorithm, healthcare, lateness, smart","10.1145/3128128.3128136","","","","","","","2017","","Proceedings of the 2017 International Conference on Smart Digital Environment","ICSDE '17","","978-1-4503-5281-9","Rabat, Morocco","ACM","New York, NY, USA"
"article","2497331","Avik  Ghose and Priyanka  Sinha and Chirabrata  Bhaumik and Aniruddha  Sinha and Amit  Agrawal and Anirban  Dutta Choudhury","","","","UbiHeld: Ubiquitous Healthcare Monitoring System for Elderly and Chronic Patients","1255--1264","","10","elderly people care, health-monitoring, iot, mhealth, ubiquitous computing","10.1145/2494091.2497331","","","","","","","2013","","Proceedings of the 2013 ACM Conference on Pervasive and Ubiquitous Computing Adjunct Publication","UbiComp '13 Adjunct","","978-1-4503-2215-7","Zurich, Switzerland","ACM","New York, NY, USA"
"article","2967422","Tahir  Nawaz and Bernhard  Rinner and James  Ferryman","","","","User-centric, Embedded Vision-based Human Monitoring: A Concept and a Healthcare Use Case","25--30","","6","Edge computing, Privacy and security protection, White paper","10.1145/2967413.2967422","","","","","","","2016","","Proceedings of the 10th International Conference on Distributed Smart Camera","ICDSC '16","","978-1-4503-4786-0","Paris, France","ACM","New York, NY, USA"
"article","3149217","Adeniyi  Onasanya and Maher  Elshakankiri","","","","IoT Implementation for Cancer Care and Business Analytics/Cloud Services in Healthcare Systems","205--206","","2","(wireless) sensor network, business analytics, cancer care services, cloud services, iot, smart health care system","10.1145/3147213.3149217","","","","","","","2017","","Proceedings of the10th International Conference on Utility and Cloud Computing","UCC '17","","978-1-4503-5149-2","Austin, Texas, USA","ACM","New York, NY, USA"
"article","3020258","Cynthia  Breazeal","","","","Social Robots: From Research to Commercialization","1--1","","1","education, entrepreneurism, healthcare, long-term interaction, social robotics","10.1145/2909824.3020258","","","","","","","2017","","Proceedings of the 2017 ACM/IEEE International Conference on Human-Robot Interaction","HRI '17","","978-1-4503-4336-7","Vienna, Austria","ACM","New York, NY, USA"
"article","2896347","Karthik  Srinivasan and Faiz  Currim and Sudha  Ram and Casey  Lindberg and Esther  Sternberg and Perry  Skeath and Bijan  Najafi and Javad  Razjouyan and Hyo-Ki  Lee and Colin  Foe-Parker and Nicole  Goebel and Reuben  Herzl and Matthias R. Mehl and Brian  Gilligan and Judith  Heerwagen and Kevin  Kampschroer and Kelli  Canada","","","","Feature Importance and Predictive Modeling for Multi-source Healthcare Data with Missing Values","47--54","","8","data science with missing data, mobile-sensors, multi-source data, well-being analysis","10.1145/2896338.2896347","","","","","","","2016","","Proceedings of the 6th International Conference on Digital Health Conference","DH '16","","978-1-4503-4224-7","Montr&#233;al, Qu&#233;bec, Canada","ACM","New York, NY, USA"
"article","2933568","Elder Akpa Akpro Hippocrate and Hirohiko  Suwa and Yutaka  Arakawa and Keiichi  Yasumoto","","","","Food Weight Estimation Using Smartphone and Cutlery","9--14","","6","calorie assessment, eating cutlery, food volume estimation, food weight, image processing","10.1145/2933566.2933568","","","","","","","2016","","Proceedings of the First Workshop on IoT-enabled Healthcare and Wellness Technologies and Systems","IoT of Health '16","","978-1-4503-4334-3","Singapore, Singapore","ACM","New York, NY, USA"
"article","2826166","Oresti  Banos and Muhammad Bilal Amin and Wajahat Ali Khan and Taqdir  Ali and Muhammad  Afzal and Byeong Ho Kang and Sungyoung  Lee","","","","Mining Minds: An Innovative Framework for Personalized Health and Wellness Support","1--8","","8","big data, cloud computing, context-awareness, digital health, human behavior, knowledge bases, quantified-self, user experience","","","","","","","","2015","","Proceedings of the 9th International Conference on Pervasive Computing Technologies for Healthcare","PervasiveHealth '15","","978-1-63190-045-7","Istanbul, Turkey","ICST (Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering)","ICST, Brussels, Belgium, Belgium"
