"Internet of Things" AND "Health"
"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","3102307","Liangxiu  Han","","","","Towards Sustainable Smart Society: Big Data Driven Approaches","","3","","Big data, Internet of Things, Smart cities, Societal challenges","10.1145/3102304.3102307","","","","","","","2017","","Proceedings of the International Conference on Future Networks and Distributed Systems","ICFNDS '17","","978-1-4503-4844-7","Cambridge, United Kingdom","ACM","New York, NY, USA"
"article","2837024","Lina  Yao and Quan Z. Sheng and Anne H. H. Ngu and Xue  Li","","","","Things of Interest Recommendation by Leveraging Heterogeneous Relations in the Internet of Things","9:1--9:25","9","25","Internet of things, data mining, hypergraph, latent relationships, recommendation","10.1145/2837024","ACM Trans. Internet Technol.","April 2016","16","2","","March","2016","1533-5399","","","","","","ACM","New York, NY, USA"
"article","2837236","Asma  Elmangoush and Ronald  Steinke and Thomas  Magedanz","","","","AdM2M: Adaptable Machine-to-machine Transport Framework","45:1--45:5","45","5","Machine-to-Machine, adaptability, communication management, internet of things","10.1145/2837185.2837236","","","","","","","2015","","Proceedings of the 17th International Conference on Information Integration and Web-based Applications & Services","iiWAS '15","","978-1-4503-3491-4","Brussels, Belgium","ACM","New York, NY, USA"
"article","2989044","Martin  Kr&#228;mer and David  Aspinall and Maria  Wolters","","","","POSTER: Weighing in eHealth Security","1832--1834","","3","eHealth, internet-of-things, wireless &#38; mobile security","10.1145/2976749.2989044","","","","","","","2016","","Proceedings of the 2016 ACM SIGSAC Conference on Computer and Communications Security","CCS '16","","978-1-4503-4139-4","Vienna, Austria","ACM","New York, NY, USA"
"article","3105572","Samia  Bouyakoub and Abdelkader  Belkhir and Fay&#231;al M'hamed Bouyakoub and Wassila  Guebli","","","","Smart Airport: An IoT-based Airport Management System","45:1--45:7","45","7","Airport management system, Internet of Things, Smart airport","10.1145/3102304.3105572","","","","","","","2017","","Proceedings of the International Conference on Future Networks and Distributed Systems","ICFNDS '17","","978-1-4503-4844-7","Cambridge, United Kingdom","ACM","New York, NY, USA"
"article","2697079","Zeynep  Tufekci","","","","Algorithms in Our Midst: Information, Power and Choice when Software is Everywhere","1918--1918","","1","algorithms, big data, internet of things, policy, software","10.1145/2675133.2697079","","","","","","","2015","","Proceedings of the 18th ACM Conference on Computer Supported Cooperative Work &#38; Social Computing","CSCW '15","","978-1-4503-2922-4","Vancouver, BC, Canada","ACM","New York, NY, USA"
"article","3154932","Carme  Zambrana and Sebastian  Idelsohn-Zielonka and Mireia  Claramunt-Molet and Maria  Almenara-Masbernat and Eloy  Opisso and Josep Maria Tormos and Felip  Miralles and Eloisa  Vargiu","","","","A Hierarchical Approach to Recognize Purposeful Movements Using Inertial Sensors: Preliminary Experiments and Results","335--341","","7","inertial sensors, internet of things, rehabilitation, remote monitoring","10.1145/3154862.3154932","","","","","","","2017","","Proceedings of the 11th EAI International Conference on Pervasive Computing Technologies for Healthcare","PervasiveHealth '17","","978-1-4503-6363-1","Barcelona, Spain","ACM","New York, NY, USA"
"article","3081031","Gyeongmin  Lee and Seonyeong  Heo and Bongjun  Kim and Jong  Kim and Hanjun  Kim","","","","Integrated IoT Programming with Selective Abstraction","51--60","","10","Esperanto, Integrated programming model, Internet of Things, IoT","10.1145/3140582.3081031","SIGPLAN Not.","May 2017","52","5","","June","2017","0362-1340","","","","","","ACM","New York, NY, USA"
"article","3081031","Gyeongmin  Lee and Seonyeong  Heo and Bongjun  Kim and Jong  Kim and Hanjun  Kim","","","","Integrated IoT Programming with Selective Abstraction","51--60","","10","Esperanto, Integrated programming model, Internet of Things, IoT","10.1145/3078633.3081031","","","","","","","2017","","Proceedings of the 18th ACM SIGPLAN/SIGBED Conference on Languages, Compilers, and Tools for Embedded Systems","LCTES 2017","","978-1-4503-5030-3","Barcelona, Spain","ACM","New York, NY, USA"
"article","3148092","Lucas M. C. e Martins and Francisco L. de Caldas Filho and Rafael T. de Sousa J&#250;nior and William F. Giozza and Jo&#227;o Paulo C.L. da Costa","","","","Increasing the Dependability of IoT Middleware with Cloud Computing and Microservices","203--208","","6","cloud computing, dependability, internet of things (iot), microservices, middleware, soa.","10.1145/3147234.3148092","","","","","","","2017","","Companion Proceedings of the10th International Conference on Utility and Cloud Computing","UCC '17 Companion","","978-1-4503-5195-9","Austin, Texas, USA","ACM","New York, NY, USA"
"article","3168795","Ignacio  Rodr&#237;guez-Rodr&#237;guez and Miguel &#193;ngel Zamora and Jos&#233;-V&#237;ctor  Rodr&#237;guez","","","","Towards a New Diabetes Mellitus Management by Means of Novel Biosensors and Information and Communication Technologies","24--29","","6","Big Data, Biosensors, Cloud, Diabetes, Internet of Things (IoT)","10.1145/3168776.3168795","","","","","","","2017","","Proceedings of the 2017 4th International Conference on Biomedical and Bioinformatics Engineering","ICBBE 2017","","978-1-4503-5484-4","Seoul, Republic of Korea","ACM","New York, NY, USA"
"article","1969439","Antonio J. Jara and Miguel A. Zamora and Antonio F. Skarmeta","","","","An Internet of Things---based Personal Device for Diabetes Therapy Management in Ambient Assisted Living (AAL)","431--440","","10","6LoWPAN, AAL, Diabetes, Insulin therapy, Internet of things, RFID","10.1007/s00779-010-0353-1","Personal Ubiquitous Comput.","April     2011","15","4","","April","2011","1617-4909","","","","","","Springer-Verlag","London, UK, UK"
"article","2972717","Britta F. Schulte","","","","Using Design Fiction to Reflect on Autonomy in Smart Technology for People Living with Dementia","1110--1113","","4","dementia, design fiction, internet of things, smart technologies","10.1145/2968219.2972717","","","","","","","2016","","Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct","UbiComp '16","","978-1-4503-4462-3","Heidelberg, Germany","ACM","New York, NY, USA"
"article","3101230","Agostino  Forestiero","","","","Multi-agent Recommendation System in Internet of Things","772--775","","4","Internet of Things, Multi-agent system, Recommendation systems","10.1109/CCGRID.2017.123","","","","","","","2017","","Proceedings of the 17th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing","CCGrid '17","","978-1-5090-6610-0","Madrid, Spain","IEEE Press","Piscataway, NJ, USA"
"article","2490439","Arijit  Ukil and Soma  Bandyopadhyay and Joel  Joseph and Vijayanand  Banahatti and Sachin  Lodha","","","","Negotiation-based Privacy Preservation Scheme in Internet of Things Platform","75--84","","10","anonymization, implementation, internet of things, masking, negotiation, privacy, utility","10.1145/2490428.2490439","","","","","","","2012","","Proceedings of the First International Conference on Security of Internet of Things","SecurIT '12","","978-1-4503-1822-8","Kollam, India","ACM","New York, NY, USA"
"article","3004020","Jheng-Jia  Huang and Wen-Shenq  Juang and Chun-I  Fan and Yi-Fan  Tseng and Hiroaki  Kikuchi","","","","Lightweight Authentication Scheme with Dynamic Group Members in IoT Environments","88--93","","6","Dynamic Group Members, Internet of Things, Lightweight Authentication","10.1145/3004010.3004020","","","","","","","2016","","Adjunct Proceedings of the 13th International Conference on Mobile and Ubiquitous Systems: Computing Networking and Services","MOBIQUITOUS 2016","","978-1-4503-4759-4","Hiroshima, Japan","ACM","New York, NY, USA"
"article","3027127","Dmitri  Katz","","","","More Than Numbers: Designing Effective Diabetes Decision Support","286--290","","5","health management, healthcare, internet of personal health, internet of things, quantified self, sensors, smartphone apps, wellbeing","10.1145/3027063.3027127","","","","","","","2017","","Proceedings of the 2017 CHI Conference Extended Abstracts on Human Factors in Computing Systems","CHI EA '17","","978-1-4503-4656-6","Denver, Colorado, USA","ACM","New York, NY, USA"
"article","2972711","Rhys James Williams and Catherine  Holloway and Mark  Miodownik","","","","The Ultimate Wearable: Connecting Prosthetic Limbs to the IoPH","1079--1083","","5","data physicalization, data visualization, disability, internet of personal health, internet of things, prosthetics, ubiquitous computing","10.1145/2968219.2972711","","","","","","","2016","","Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct","UbiComp '16","","978-1-4503-4462-3","Heidelberg, Germany","ACM","New York, NY, USA"
"article","2971356","Dmitri  Katz","","","","Investigating the Viability of Automated, Intuitive, and Contextual Insights for Chronic Disease Self-management Using Ubiquitous Computing Technologies","423--428","","6","health management, healthcare, internet of personal health, internet of things, quantified self, sensors, smartphone apps, wellbeing","10.1145/2968219.2971356","","","","","","","2016","","Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct","UbiComp '16","","978-1-4503-4462-3","Heidelberg, Germany","ACM","New York, NY, USA"
"article","2972709","Dmitri  Katz and Eirik  Arsand and Nick  Dalton and Simon  Holland and Clare  Martin and Carl Magnus Olsson and Blaine A. Price","","","","Designing, Developing, and Evaluating the Future Internet of Personal Health","1068--1073","","6","health management, healthcare, internet of personal health, internet of things, quantified self, sensors, smartphone apps, wellbeing","10.1145/2968219.2972709","","","","","","","2016","","Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct","UbiComp '16","","978-1-4503-4462-3","Heidelberg, Germany","ACM","New York, NY, USA"
"article","3056557","Guillermo  Bernal and Sara  Colombo and Mohammed  Al Ai Baky and Federico  Casalegno","","","","Safety++: Designing IoT and Wearable Systems for Industrial Safety Through a User Centered Design Approach","163--170","","8","Internet of Things, Occupational Safety and Health, Personal Protective Equipment, Ubiquitous Computing, Wearable Devices","10.1145/3056540.3056557","","","","","","","2017","","Proceedings of the 10th International Conference on PErvasive Technologies Related to Assistive Environments","PETRA '17","","978-1-4503-5227-7","Island of Rhodes, Greece","ACM","New York, NY, USA"
"article","3019951","Carlos A. Velasco and Yehya  Mohamad and Philip  Ackermann","","","","Architecture of a Web of Things eHealth Framework for the Support of Users with Chronic Diseases","47--53","","7","Internet of Things (IoT), Web of Things (WoT), health care, home hospitalization, hospital, sensor, smart home","10.1145/3019943.3019951","","","","","","","2016","","Proceedings of the 7th International Conference on Software Development and Technologies for Enhancing Accessibility and Fighting Info-exclusion","DSAI 2016","","978-1-4503-4748-8","Vila Real, Portugal","ACM","New York, NY, USA"
"article","3064743","Sarah  Martindale and Ben  Bedwell and Robert  Phillips and Micaella  Pedros","","","","Proof in the Pudding: Designing IoT Plants to Promote Wellbeing","529--540","","12","growing, health, ideation, internet-of-things, iot, participatory design, plants, wellbeing","10.1145/3064663.3064743","","","","","","","2017","","Proceedings of the 2017 Conference on Designing Interactive Systems","DIS '17","","978-1-4503-4922-2","Edinburgh, United Kingdom","ACM","New York, NY, USA"
"article","2970963","Yitong  Huang","","","","How to Design Internet of Things to Encourage Office Workers to Take More Regular Micro-Breaks","32:1--32:3","32","3","Internet of Things, Persuasive technology, environmental persuasion, sedentary behaviours, work health and wellbeing","10.1145/2970930.2970963","","","","","","","2016","","Proceedings of the European Conference on Cognitive Ergonomics","ECCE '16","","978-1-4503-4244-5","Nottingham, United Kingdom","ACM","New York, NY, USA"
"article","3167503","Youness  Khourdifi and Mohamed  Bahaj","","","","Hadoop and MapReduce Technology As a Solution for Wireless Body Area Networks in e-Health","17:1--17:6","17","6","Bigdata, E-health, Hbase, Internet of Things (IoT), Wireless Body Area Network","10.1145/3167486.3167503","","","","","","","2017","","Proceedings of the 2Nd International Conference on Computing and Wireless Communication Systems","ICCWCS'17","","978-1-4503-5306-9","Larache, Morocco","ACM","New York, NY, USA"
"article","2830855","Farzad  Samie and Lars  Bauer and J&#246;rg  Henkel","","","","An Approximate Compressor for Wearable Biomedical Healthcare Monitoring Systems","133--142","","10","IoT, approximate computing, biomedical healthcare, compression, internet of things, wearable devices","","","","","","","","2015","","Proceedings of the 10th International Conference on Hardware/Software Codesign and System Synthesis","CODES '15","","978-1-4673-8321-9","Amsterdam, The Netherlands","IEEE Press","Piscataway, NJ, USA"
"article","3064970","Konstantinos  Michalakis and George  Caridakis","","","","IoT Interface for Healthcare Applications","232--233","","2","Ambient Assisted Living, Context Awareness, Healthcare, Interface, Internet of Things, Wearables","10.1145/3056540.3064970","","","","","","","2017","","Proceedings of the 10th International Conference on PErvasive Technologies Related to Assistive Environments","PETRA '17","","978-1-4503-5227-7","Island of Rhodes, Greece","ACM","New York, NY, USA"
"article","2968555","Alexandra  Voit and Elizabeth  Stowell and Dominik  Weber and Christoph  Witte and Daniel  K&#228;rcher and Niels  Henze","","","","Envisioning an Ambient Smart Calendar to Support Aging in Place","1596--1601","","6","aging in place, ambient information system, attention management, internet of things, notifications, smart home","10.1145/2968219.2968555","","","","","","","2016","","Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct","UbiComp '16","","978-1-4503-4462-3","Heidelberg, Germany","ACM","New York, NY, USA"
"article","2893766","Anis  Zarrad and Anis  Koubaa and Omar  Cheikhrouhou","","","","Poster: 3D Virtual Disaster Management Environment Using Wireless Sensor Networks","267--268","","2","3D Virtual Environment, Disaster Management, Internet-of-Things, Wireless Sensor Networks","","","","","","","","2016","","Proceedings of the 2016 International Conference on Embedded Wireless Systems and Networks","EWSN '16","","978-0-9949886-0-7","Graz, Austria","Junction Publishing","USA"
"article","3126501","Iman  Azimi and Arman  Anzanpour and Amir M. Rahmani and Tapio  Pahikkala and Marco  Levorato and Pasi  Liljeberg and Nikil  Dutt","","","","HiCH: Hierarchical Fog-Assisted Computing Architecture for Healthcare IoT","174:1--174:20","174","20","Fog Computing, Hierarchical Computing, Internet of Things, MAPE-K, Machine Learning, Remote Patient Monitoring","10.1145/3126501","ACM Trans. Embed. Comput. Syst.","October 2017","16","5s","","September","2017","1539-9087","","","","","","ACM","New York, NY, USA"
"article","2635931","Klara  Nahrstedt","","","","Internet of Mobile Things: Challenges and Opportunities","1--2","","2","activity detection, adaptive parallel and distributed architectures and systems, context management, internet of things, mobile computing","10.1145/2628071.2635931","","","","","","","2014","","Proceedings of the 23rd International Conference on Parallel Architectures and Compilation","PACT '14","","978-1-4503-2809-8","Edmonton, AB, Canada","ACM","New York, NY, USA"
"article","2079357","Ruoshui  Liu and Ian J. Wassell","","","","Opportunities and Challenges of Wireless Sensor Networks Using Cloud Services","4:1--4:7","4","7","IPv6, cloud computing, energy crisis, internet of things, smart infrastructure, wireless sensor networks","10.1145/2079353.2079357","","","","","","","2011","","Proceedings of the Workshop on Internet of Things and Service Platforms","IoTSP '11","","978-1-4503-1043-7","Tokyo, Japan","ACM","New York, NY, USA"
"article","2442751","D.  Rotondi and S.  Piccione","","","","Managing Access Control for Things: A Capability Based Approach","263--268","","6","access control, authorization, capability based access control, internet of things, rights delegation, rights revocation","","","","","","","","2012","","Proceedings of the 7th International Conference on Body Area Networks","BodyNets '12","","978-1-936968-60-2","Oslo, Norway","ICST (Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering)","ICST, Brussels, Belgium, Belgium"
"article","1993971","Vipul  Gupta and Ron  Goldman and Poornaprajna  Udupi","","","","A Network Architecture for the Web of Things","3:1--3:6","3","6","Internet of Things, REST, Web of Things, embedded devices, real-world mash-ups, web","10.1145/1993966.1993971","","","","","","","2011","","Proceedings of the Second International Workshop on Web of Things","WoT '11","","978-1-4503-0624-9","San Francisco, California, USA","ACM","New York, NY, USA"
"article","2984752","Kyungmin  Youn","","","","Orchestrated Informal Care Coordination: Designing a Connected Network of Tools in Support of Collective Care Activities for Informal Caregivers","167--168","","2","caregiver, caregiving, connected home, field study, internet of things, qualitative methods","10.1145/2984751.2984752","","","","","","","2016","","Proceedings of the 29th Annual Symposium on User Interface Software and Technology","UIST '16 Adjunct","","978-1-4503-4531-6","Tokyo, Japan","ACM","New York, NY, USA"
"article","2820977","Laurynas  Riliskis and James  Hong and Philip  Levis","","","","Ravel: Programming IoT Applications As Distributed Models, Views, and Controllers","1--6","","6","internet of things, programming distributed system, programming paradigm, wireless sensor network","10.1145/2820975.2820977","","","","","","","2015","","Proceedings of the 2015 International Workshop on Internet of Things Towards Applications","IoT-App '15","","978-1-4503-3838-7","Seoul, South Korea","ACM","New York, NY, USA"
"article","3172826","Laura  Pravato and Thomas E. Doyle","","","","IoT for Remote Wireless Electrophysiological Monitoring: Proof of Concept","254--258","","5","ECG, ESP32, ESP8266, IBM Bluemix, IBM watson, IoT, ThingSpeak, electrocardiogram, internet of things, wearables","","","","","","","","2017","","Proceedings of the 27th Annual International Conference on Computer Science and Software Engineering","CASCON '17","","","Markham, Ontario, Canada","IBM Corp.","Riverton, NJ, USA"
"article","2602403","Florian  Zeiger and Marco  Huber","","","","Demonstration Abstract: Participatory Sensing Enabled Environmental Monitoring in Smart Cities","337--338","","2","data analytics, environmental sensing, internet of things, participatory sensing, sensor networks","","","","","","","","2014","","Proceedings of the 13th International Symposium on Information Processing in Sensor Networks","IPSN '14","","978-1-4799-3146-0","Berlin, Germany","IEEE Press","Piscataway, NJ, USA"
"article","3051100","Amelie  Gyrard and Pankesh  Patel and Soumya Kanti  Datta and Muhammad Intizar  Ali","","","","Semantic Web Meets Internet of Things and Web of Things: [2Nd Edition]","917--920","","4","data interoperability, internet of things (iot), ontologies, semantic web of things (swot), web of things (wot)","10.1145/3041021.3051100","","","","","","","2017","","Proceedings of the 26th International Conference on World Wide Web Companion","WWW '17 Companion","","978-1-4503-4914-7","Perth, Australia","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, Switzerland"
"article","3078855","Xuyu  Wang and Chao  Yang and Shiwen  Mao","","","","TensorBeat: Tensor Decomposition for Monitoring Multiperson Breathing Beats with Commodity WiFi","8:1--8:27","8","27","Healthcare Internet of Things (IoT), channel state information, commodity WiFi, stable roommate matching, vital sign monitoring, tensor decomposition","10.1145/3078855","ACM Trans. Intell. Syst. Technol.","October 2017","9","1","","September","2017","2157-6904","","","","","","ACM","New York, NY, USA"
"article","2986427","Birgitta  Cappelen and Anders-Petter  Andersson","","","","Health Improving Multi-Sensorial and Musical Environments","178--185","","8","Health, Internet of things, IoT, MSE, Multi-sensory environment, Music Interfaces, Music and Health, Music therapy, Musical Interaction, Sensory Integration, Snoezelen, Tangible Interaction","10.1145/2986416.2986427","","","","","","","2016","","Proceedings of the Audio Mostly 2016","AM '16","","978-1-4503-4822-5","Norrk&#246;ping, Sweden","ACM","New York, NY, USA"
"article","3081342","Judson  Wilson and Riad S. Wahby and Henry  Corrigan-Gibbs and Dan  Boneh and Philip  Levis and Keith  Winstein","","","","Trust but Verify: Auditing the Secure Internet of Things","464--474","","11","IoT, TLS, TLS 1.3, TLS-RAR, TLS-rotate and release, auditing, decrypt, internet of things, middlebox, proxy, transport layer security","10.1145/3081333.3081342","","","","","","","2017","","Proceedings of the 15th Annual International Conference on Mobile Systems, Applications, and Services","MobiSys '17","","978-1-4503-4928-4","Niagara Falls, New York, USA","ACM","New York, NY, USA"
"article","2998462","Remo Manuel Frey and Benjamin  Ryder and Klaus  Fuchs and Alexander  Ilic","","","","Universal Food Allergy Number","157--158","","2","Allergy Check, Barcode, Food Allergies, GS1, Health","10.1145/2991561.2998462","","","","","","","2016","","Proceedings of the 6th International Conference on the Internet of Things","IoT'16","","978-1-4503-4814-0","Stuttgart, Germany","ACM","New York, NY, USA"
"article","2818889","Harishchandra  Dubey and Jing  Yang and Nick  Constant and Amir Mohammad Amiri and Qing  Yang and Kunal  Makodiya","","","","Fog Data: Enhancing Telehealth Big Data Through Fog Computing","14:1--14:6","14","6","Big Data, Body Area Network, Cyber-physical Systems, Edge Computing, Fog Computing, Internet of Things, Wearable Devices","10.1145/2818869.2818889","","","","","","","2015","","Proceedings of the ASE BigData &#38; SocialInformatics 2015","ASE BD&#38;SI '15","","978-1-4503-3735-9","Kaohsiung, Taiwan","ACM","New York, NY, USA"
"article","2816981","Xin  Deng and Donghui  Wu","","","","Senior Health Management Through Internet of Things and Real-time Big Data Analytics","674--674","","1","big data platform, data integration, health informatics, predictive analytics, real-time alerts, real-time data collection","10.1145/2808719.2816981","","","","","","","2015","","Proceedings of the 6th ACM Conference on Bioinformatics, Computational Biology and Health Informatics","BCB '15","","978-1-4503-3853-0","Atlanta, Georgia","ACM","New York, NY, USA"
"article","2677949","Dharm Singh Jat","","","","Towards an Improvement of Wireless Connectivity for the Internet of Things Devices","94:1--94:6","94","6","IoT, e-Agriculture, e-Health, multimedia over wireless networks, video surveillance","10.1145/2677855.2677949","","","","","","","2014","","Proceedings of the 2014 International Conference on Information and Communication Technology for Competitive Strategies","ICTCS '14","","978-1-4503-3216-3","Udaipur, Rajasthan, India","ACM","New York, NY, USA"
"article","3125656","Thomas  Chiu and David Calero Luis and Vinesh  Jethva","","","","Internet of Things BLE Security","37--37","","1","acm, ble","10.1145/3125649.3125656","","","","","","","2017","","Proceedings of the 6th Annual Conference on Research in Information Technology","RIIT '17","","978-1-4503-5120-1","Rochester, New York, USA","ACM","New York, NY, USA"
"article","3007145","James Jin Kang and Tom H. Luan and Henry  Larkin","","","","Inference System of Body Sensors for Health and Internet of Things Networks","94--98","","5","Body sensor network (BSN), Body sensors, IoT, Personal sensor device (PSD), WBAN, mHealth","10.1145/3007120.3007145","","","","","","","2016","","Proceedings of the 14th International Conference on Advances in Mobile Computing and Multi Media","MoMM '16","","978-1-4503-4806-5","Singapore, Singapore","ACM","New York, NY, USA"
